MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	0.00539914655831429	0.004277853532403242	0.011435082094249083	0.002587812953546139	0.0025605424165405567	0.001517967176550883
AC>CG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AC>CT	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AC>GA	0.01633932615750382	0.016533097053858605	0.018956884255991704	0.006040128538671752	0.01833081045012174	0.010814258916646698
AC>GG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AC>GT	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AC>TA	0.024455423179794402	0.0285491977696438	0.013332415681179554	0.008576731606384176	0.0027523061991056846	0.015152672978092595
AC>TG	0.008061894146885606	0.00671739141313689	6.337183246311422e-05	0.004551005498069571	0.0018600929168314905	0.006122782648647748
AC>TT	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AT>CA	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AT>CC	0.009059538287086373	0.001937349718476374	0.007025783080583399	0.0020696059308344655	0.003124154628312681	0.006418788561010539
AT>CG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AT>GA	0.007085297967811736	0.0077389953005573865	0.004143669948704579	0.0036902731222653528	0.005865873463335447	0.0030719741881815327
AT>GC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
AT>TA	0.006685220919825952	0.004310029028480737	0.017897812062559144	0.0072118544704911376	0.005127865262632743	0.004127259990430805
CC>AA	2.0195100321555397e-05	1.4135382152439628e-05	1.7441411086830762e-05	0.037985553693617634	9.744928370810738e-06	0.3906408172514906
CC>AG	0.17908772542509535	0.035630621033624736	2.5016872948135926e-05	0.03876514321267326	0.024588556580367064	0.02831326552115161
CC>AT	0.07206718491947489	0.027122369117532703	0.04471786482766523	0.008576258010174014	0.009310348299171286	0.005719692437777427
CC>GA	0.028293102134936514	0.03692947555005048	0.015580642223672688	0.008696198610687133	0.0034375930577728773	0.026604080043640486
CC>GG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
CC>GT	0.016024426387472583	0.02551653153738395	0.01535204648225772	0.007636982414199641	0.008347056207427764	0.014215023876992442
CC>TA	0.03978416350222081	0.012402275028360539	0.030867112537650124	0.02242141965861227	0.030334819418086075	0.01567563414884662
CC>TG	0.00829210918006235	0.019104493705890492	0.009577492671148017	0.009122888016524182	0.0036149868682817518	0.005926926784013631
CC>TT	2.1054087759569267e-05	0.2271947762005463	0.00900307555778959	0.032505805705738605	0.011915232416538423	0.014063175376556963
CG>AT	0.007119815043915878	0.005073701260698726	0.004579166212473259	0.0022091522765549597	0.006185369876160015	0.003388734087639023
CG>GC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
CG>GT	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
CG>TA	0.0036390907944830056	0.008461303005606168	0.006187675909192573	6.403629607423985e-05	0.004784188304256531	0.005144825732592532
CG>TC	0.022024104636966513	0.028085914297419853	0.018920654403215546	0.004437326888604787	0.006991089819833481	0.010367573649925058
CG>TT	0.0021388514744709636	0.00726350443183037	0.020292643832484223	0.003867173840687125	0.008541749766057668	0.007301902690899927
CT>AA	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
CT>AC	0.004179533027854632	0.007758479325517934	0.003377162301937157	0.002180130654232926	0.0062913336040461825	0.0048514439584929885
CT>AG	0.015918861190463453	0.019563916868113058	0.0054129031219417815	0.01440726194656842	0.011572661625632464	0.006742787852939121
CT>GA	0.003023229773255783	0.005183283644206919	0.022843402023257416	0.008068631771069097	0.007121075004033628	0.003969200555366115
CT>GC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
CT>GG	0.01895263408569008	0.022562154348209636	0.011945149137955014	0.0064012502504809275	0.024968642396288487	0.004241393639927082
CT>TA	0.034280421271068916	0.008533292695403816	0.005585642433349373	0.012417220096707145	0.013351722205854793	0.02591993289223827
CT>TC	0.0035383914636137586	0.006168557387597199	0.008938144534719564	0.0011792714114562842	0.00491478289150109	0.003031062267230785
CT>TG	0.031221557566535316	0.029105947928377417	0.033379787289171264	0.00893643236970926	2.9015411026752275e-05	0.013941608567410906
GC>AA	1.8474842116944502e-05	1.7331217493913678e-05	2.1770196980893294e-05	0.5217050532499949	9.673737754430552e-06	1.8432883896224438e-05
GC>AG	0.002748403343902813	0.014064094466150652	0.051403295012520785	0.0047373478947573735	0.023029353876093714	0.018260026666921666
GC>AT	0.03631814954315725	0.030123092413577978	0.011593079040796962	0.013518389677402955	0.03821525474701275	0.04398058794800305
GC>CA	0.016948885247863168	0.014644654735457152	0.029631330782831356	0.006712911587455513	0.013470910191123646	0.0030585665651112017
GC>CG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
GC>TA	0.00314565682938337	0.018612212415973772	0.0055539208454623195	0.005841386403335491	0.005525061830060925	0.009800485982608128
TA>AT	0.014466229507767518	0.02851340937504574	0.027585719330515228	0.0013294416639837436	0.01574253864428101	0.002301608943253086
TA>CG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TA>CT	0.034062413656586916	0.016029428479093135	0.02670058278763463	0.00896486350155404	0.0012900430120680539	0.008931094783019945
TA>GC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TA>GG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TA>GT	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TC>AA	2.3800176474875202e-05	0.01109003217917343	0.21741745552441596	0.014937725862275762	0.022702546922407675	0.052488560796157144
TC>AG	0.02230338180934268	0.03715561630166844	0.014151834069237642	0.012872876488280543	0.078589036884253	0.042363747236990434
TC>AT	1.3352162914870291e-05	3.0896537171913135e-05	2.2669379898824597e-05	0.018459612031606638	0.3704351194294001	0.011075734195431982
TC>CA	0.0364136578630981	0.002532845930888546	0.01330796982610991	0.012323757020340054	0.011236141066107545	0.018373173894603193
TC>CG	0.02684247689755163	0.025466191435396014	0.01426742207825858	0.0034662378771675626	0.014302995475115191	0.00595888275111823
TC>CT	0.027841498550782263	0.02817145555467325	0.03340299679463594	0.015345570036726031	0.013687246001367987	0.015267882286831973
TC>GA	0.08522907317064674	0.021832580943278557	0.031500373539796796	0.018654953346026862	0.03224127142850606	0.015091178127420427
TC>GG	0.011434437033009696	0.013720680832193466	0.01082563312338607	0.007048681706874049	0.008746003641317657	0.002612537111114458
TC>GT	0.005169945506137689	0.027501698087265443	0.018319626646067868	0.004122814344615714	0.03404140048308667	0.01686799472951558
TG>AA	0.02294373921560388	0.028093525498464562	0.004418512839401955	0.012956268019214198	0.008741039030996708	0.020209369181732956
TG>AC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TG>AT	0.015807617468969207	0.013742971696774475	0.06513253094365913	0.01387015665599168	0.01415529030765903	0.006932821765231741
TG>CA	0.005638149565493222	0.008226476835746628	0.007169348026460891	0.0007853895102016395	0.006257811962253375	0.0021430993814040753
TG>CC	0.009227540882784524	0.007306426783300898	0.005622243893837245	0.0015074692740502844	0.004185849689747556	0.0030874743267001272
TG>CT	0.017934032141965872	0.018519950020179136	0.016557738258946606	0.006490401053724781	0.023611519320532657	0.020159433827969527
TG>GA	0.004090576950329705	0.011769505514894262	0.0033112795235259304	0.00138803935648563	0.0055055880142390375	0.006799168704310432
TG>GC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TG>GT	0.009996069017142872	0.0010938145642285235	0.010683593708624055	0.012767548920479991	0.0064331090983614555	0.015472722844788223
TT>AA	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TT>AC	0.0030624461480329044	0.009461613520519071	0.01942192150563642	0.00345112912497522	0.00928335077896918	0.008601889750752888
TT>AG	0.0026897301488740294	0.0034428301673566845	0.005816105952544603	0.0033263408537701857	0.0044254050393647045	0.004345024365344822
TT>CA	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TT>CC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TT>CG	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TT>GA	0.007827157855717814	0.0018314473851205547	0.008429925994035633	0.003244224294758169	0.0029479887525667436	0.004150321069755591
TT>GC	7.137325446819887e-05	7.14554256167806e-05	7.202181744408639e-05	7.461291243089363e-05	6.525039231443467e-05	7.307641511336746e-05
TT>GG	0.009306516737221196	0.0034802105526371935	0.006472505224519409	0.0037005562541404893	0.003625622823892627	0.002536475362527805
