MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
AC>CA	0.00655748	0.01115397	0.00006284	0.00451317	0.00200713	0.00383746	0.01059995	0.00251668	0.00268189
AC>CG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AC>CT	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AC>GA	0.03461867	0.00997885	0.00181015	0.01245392	0.01195093	0.00922671	0.01397888	0.00360578	0.02406975
AC>GG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AC>GT	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AC>TA	0.02294599	0.01370210	0.00629009	0.01313559	0.00505923	0.00771361	0.01558157	0.02468158	0.02141310
AC>TG	0.00120396	0.00006767	0.00006613	0.01782811	0.00200821	0.00006654	0.00355359	0.00370076	0.00427344
AC>TT	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AT>CA	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AT>CC	0.00497048	0.00578807	0.00457791	0.01630871	0.00005431	0.00153726	0.00790929	0.00005987	0.00577400
AT>CG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AT>GA	0.01112687	0.00738178	0.00176576	0.00446262	0.00279424	0.00129079	0.00324755	0.00911585	0.00231817
AT>GC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
AT>TA	0.00714722	0.00685112	0.01139639	0.00205083	0.01098280	0.00005915	0.00561102	0.01052855	0.00803017
CC>AA	0.00002189	0.00001722	0.00001338	0.00001987	0.00001353	0.62836807	0.00001514	0.00001572	0.00002167
CC>AG	0.00002709	0.00002352	0.01741133	0.33919759	0.00001090	0.04084052	0.00001912	0.00002174	0.02185156
CC>AT	0.20718015	0.00740330	0.00406445	0.01385227	0.00001648	0.00228810	0.01662616	0.01219589	0.02151650
CC>GA	0.02244702	0.02979174	0.00003700	0.03647362	0.02102039	0.00763817	0.00556399	0.01904812	0.02265008
CC>GG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
CC>GT	0.01297457	0.03228463	0.00463663	0.00402383	0.01716510	0.00590811	0.03140544	0.01833878	0.00896424
CC>TA	0.00714466	0.04104535	0.01943169	0.04937340	0.02617485	0.01544930	0.00896109	0.03933617	0.00003830
CC>TG	0.01497478	0.02613703	0.00350085	0.00885275	0.01221428	0.00274876	0.00206558	0.01064219	0.00338509
CC>TT	0.00209968	0.00002709	0.01699258	0.00887838	0.00974169	0.04315384	0.00004065	0.33507483	0.00002896
CG>AT	0.00921354	0.00365604	0.00501484	0.00628750	0.00409820	0.00139160	0.00941923	0.00435389	0.00777800
CG>GC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
CG>GT	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
CG>TA	0.00201275	0.00911338	0.00600224	0.00313523	0.00669306	0.00281016	0.00804470	0.00278234	0.00164488
CG>TC	0.01912464	0.02813989	0.00833975	0.03250516	0.00930321	0.00280982	0.01710086	0.00742546	0.01631274
CG>TT	0.01687824	0.01941960	0.00368080	0.00189805	0.01824521	0.00408072	0.00138089	0.00664557	0.00791055
CT>AA	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
CT>AC	0.01218169	0.00750397	0.00364444	0.00682849	0.00344222	0.00248507	0.00777779	0.00116702	0.00513116
CT>AG	0.01313892	0.02620741	0.00225588	0.02483535	0.00490402	0.00803713	0.02582912	0.01604061	0.00362357
CT>GA	0.00360322	0.01411376	0.00693528	0.01400276	0.01223314	0.01313246	0.00641285	0.00776740	0.00824268
CT>GC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
