MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
AC>CA	3.18E-03	4.50E-03	1.70E-06	2.52E-03	1.41E-03	1.81E-03	3.67E-03	1.72E-03	1.86E-03
AC>CG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AC>CT	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AC>GA	1.22E-02	6.99E-03	1.75E-03	7.13E-03	6.67E-03	4.79E-03	8.01E-03	3.56E-03	9.95E-03
AC>GG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AC>GT	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AC>TA	1.29E-02	7.76E-03	4.41E-03	7.54E-03	3.07E-03	5.48E-03	9.09E-03	9.22E-03	9.90E-03
AC>TG	1.14E-03	2.56E-06	2.10E-06	6.04E-03	1.95E-03	1.46E-06	3.49E-03	2.69E-03	3.20E-03
AC>TT	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AT>CA	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AT>CC	3.42E-03	4.15E-03	3.22E-03	6.70E-03	2.44E-06	1.01E-03	4.83E-03	2.90E-06	3.65E-03
AT>CG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AT>GA	4.37E-03	4.30E-03	1.18E-03	2.13E-03	1.53E-03	1.23E-03	2.23E-03	3.07E-03	1.57E-03
AT>GC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
AT>TA	5.22E-03	3.93E-03	4.84E-03	1.39E-03	5.02E-03	2.32E-06	3.35E-03	7.24E-03	3.80E-03
CC>AA	2.16E-06	2.53E-06	1.89E-06	1.98E-06	2.19E-06	2.22E-02	2.77E-06	2.13E-06	2.73E-06
CC>AG	3.03E-06	3.64E-06	1.21E-02	4.17E-02	2.16E-06	1.98E-02	4.97E-06	3.88E-06	1.52E-02
CC>AT	3.02E-02	7.38E-03	4.05E-03	9.93E-03	3.24E-06	2.26E-03	1.66E-02	7.51E-03	1.52E-02
CC>GA	1.08E-02	1.26E-02	2.99E-06	1.44E-02	1.02E-02	5.32E-03	5.53E-03	9.24E-03	1.21E-02
CC>GG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
CC>GT	7.30E-03	1.24E-02	3.20E-03	3.98E-03	7.70E-03	4.08E-03	1.36E-02	1.13E-02	4.98E-03
