MutationType	DBS78A	DBS78B	DBS78C	DBS78D
AC>CA	1.56E-03	1.49E-03	9.05E-04	1.50E-03
AC>CG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AC>CT	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AC>GA	4.73E-03	4.21E-03	3.57E-03	3.80E-03
AC>GG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AC>GT	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AC>TA	6.49E-03	4.29E-03	3.25E-03	5.05E-03
AC>TG	1.55E-03	2.35E-03	1.95E-03	1.44E-03
AC>TT	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AT>CA	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AT>CC	2.52E-03	1.94E-03	1.08E-03	2.71E-03
AT>CG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AT>GA	1.93E-03	7.69E-04	1.21E-03	1.52E-03
AT>GC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
AT>TA	2.87E-03	3.43E-03	3.01E-03	3.67E-03
CC>AA	1.76E-06	3.08E-02	1.98E-02	1.82E-02
CC>AG	1.40E-02	1.89E-02	1.41E-02	1.43E-02
CC>AT	1.28E-02	8.01E-03	7.38E-03	7.05E-03
CC>GA	6.31E-03	5.60E-03	4.04E-03	5.15E-03
CC>GG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
CC>GT	5.45E-03	4.89E-03	3.26E-03	4.50E-03
CC>TA	9.69E-03	7.48E-03	7.43E-03	7.38E-03
CC>TG	4.21E-03	2.87E-03	2.70E-03	2.46E-03
CC>TT	1.98E-02	1.54E-02	1.13E-02	1.50E-02
CG>AT	1.50E-03	1.57E-03	1.29E-03	1.26E-03
CG>GC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
CG>GT	1.06E-06	8.46E-07	7.41E-07	7.30E-07
CG>TA	1.67E-03	1.60E-03	1.22E-03	9.11E-04
CG>TC	5.70E-03	3.21E-03	3.05E-03	4.71E-03
CG>TT	4.13E-03	3.41E-03	3.17E-03	2.84E-03
CT>AA	1.06E-06	8.46E-07	7.41E-07	7.30E-07
CT>AC	1.69E-03	1.53E-03	1.18E-03	1.28E-03
CT>AG	5.57E-03	2.43E-03	3.98E-03	3.71E-03
CT>GA	2.24E-03	3.33E-03	3.04E-03	3.70E-03
CT>GC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
CT>GG	4.37E-03	4.45E-03	3.40E-03	4.64E-03
CT>TA	9.08E-03	4.96E-03	5.67E-03	4.51E-03
CT>TC	1.96E-03	1.53E-03	1.02E-03	1.30E-03
CT>TG	7.24E-03	5.88E-03	4.86E-03	3.39E-03
GC>AA	1.69E-06	2.08E-06	1.10E-02	1.48E-06
GC>AG	6.90E-03	6.81E-03	5.45E-03	6.36E-03
GC>AT	1.27E-02	8.38E-03	7.87E-03	9.67E-03
GC>CA	3.07E-03	3.52E-03	2.66E-03	5.51E-03
GC>CG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
GC>TA	4.94E-03	2.99E-03	1.46E-03	3.17E-03
TA>AT	6.19E-03	6.91E-03	4.39E-03	2.51E-03
TA>CG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TA>CT	5.93E-03	4.75E-03	3.26E-03	3.42E-06
TA>GC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TA>GG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TA>GT	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TC>AA	1.20E-02	2.35E-02	1.34E-02	1.45E-02
TC>AG	1.48E-02	7.72E-03	5.04E-03	1.34E-02
TC>AT	3.38E-06	2.16E-06	7.63E-03	1.29E-02
TC>CA	3.37E-03	3.32E-03	3.42E-03	4.00E-03
TC>CG	6.33E-03	4.75E-03	3.59E-03	3.47E-03
TC>CT	8.54E-03	5.61E-03	6.19E-03	5.66E-03
TC>GA	1.56E-02	1.09E-02	7.71E-03	1.03E-02
TC>GG	2.00E-03	2.74E-03	2.45E-03	2.76E-03
TC>GT	5.74E-03	6.43E-03	2.22E-03	6.47E-03
TG>AA	4.25E-03	6.31E-03	6.21E-03	4.69E-03
TG>AC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TG>AT	1.06E-02	4.49E-03	4.30E-03	5.34E-03
TG>CA	1.49E-03	1.53E-03	1.12E-03	1.51E-03
TG>CC	1.75E-03	2.15E-03	1.21E-03	1.39E-03
TG>CT	7.63E-03	3.88E-03	5.36E-03	6.88E-03
TG>GA	3.45E-03	2.32E-03	1.23E-03	5.41E-04
TG>GC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TG>GT	3.85E-03	2.41E-03	2.97E-03	1.32E-03
TT>AA	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TT>AC	3.20E-03	1.98E-03	1.77E-03	3.35E-03
TT>AG	1.97E-03	1.27E-03	1.03E-03	1.33E-03
TT>CA	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TT>CC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TT>CG	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TT>GA	1.95E-03	1.58E-03	1.10E-03	1.13E-03
TT>GC	1.06E-06	8.46E-07	7.41E-07	7.30E-07
TT>GG	1.41E-03	1.55E-03	1.06E-03	1.27E-03
