MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
AC>CA	0.011217693992512068	0.0038882515538716687	0.0012073207257344621	0.00343430364713034	0.007878021060423634	4.791047649632674e-05	0.004969348269393474	0.01306189536007878	0.007362619310030519	0.0022752909535483923	0.004263117075242917
AC>CG	7.057421292605189e-05	6.844048596879778e-05	7.624810314155184e-05	7.417145995229173e-05	6.770980386742546e-05	6.286361616124244e-05	6.851947958542344e-05	6.429974916197048e-05	7.861377259056704e-05	7.465167849053008e-05	7.350074471711802e-05
AC>CT	7.057421292605189e-05	6.844048596879778e-05	7.624810314155184e-05	7.417145995229173e-05	6.770980386742546e-05	6.286361616124244e-05	6.851947958542344e-05	6.429974916197048e-05	7.861377259056704e-05	7.465167849053008e-05	7.350074471711802e-05
AC>GA	0.13564031620517197	0.004785165855628711	0.007670970173499171	0.0037287986373485183	0.00836685143451632	2.594526390437372e-05	0.00154752945504697	0.004776972047576085	0.008521177580814766	0.007136713817302128	3.906848067648146e-05
AC>GG	7.057421292605189e-05	6.844048596879778e-05	7.624810314155184e-05	7.417145995229173e-05	6.770980386742546e-05	6.286361616124244e-05	6.851947958542344e-05	6.429974916197048e-05	7.861377259056704e-05	7.465167849053008e-05	7.350074471711802e-05
AC>GT	7.057421292605189e-05	6.844048596879778e-05	7.624810314155184e-05	7.417145995229173e-05	6.770980386742546e-05	6.286361616124244e-05	6.851947958542344e-05	6.429974916197048e-05	7.861377259056704e-05	7.465167849053008e-05	7.350074471711802e-05
AC>TA	0.026617562568890207	0.025814754897657034	0.0033627051229366935	0.013123583876376877	0.012809823510681185	0.0031898639087816908	0.03535846115833768	0.004556463267886408	0.004375283019800236	0.004479265279355005	0.048440297941934315
AC>TG	0.005859392348005106	0.009743712284337866	6.342947690427537e-05	0.0011709880310566709	0.009504419448542951	4.950257945589935e-05	0.0123506346692011	0.0014463245681326953	0.013279635483377206	0.0010395885741672829	0.002615883570979349
AC>TT	7.057421292605189e-05	6.844048596879778e-05	7.624810314155184e-05	7.417145995229173e-05	6.770980386742546e-05	6.286361616124244e-05	6.851947958542344e-05	6.429974916197048e-05	7.861377259056704e-05	7.465167849053008e-05	7.350074471711802e-05
AT>CA	7.057421292605189e-05	6.844048596879778e-05	7.624810314155184e-05	7.417145995229173e-05	6.770980386742546e-05	6.286361616124244e-05	6.851947958542344e-05	6.429974916197048e-05	7.861377259056704e-05	7.465167849053008e-05	7.350074471711802e-05
AT>CC	0.007184565536954323	0.009992334093173365	5.956356705307068e-05	5.838086544827092e-05	0.012515526862019517	0.0010001595510251112	0.016721356656732193	0.0042053072117293295	0.010198966242387541	0.003551811682730962	0.0038770100560820233
