MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
AC>CA	5.77E-03	2.67E-03	1.15E-03	1.88E-03	4.78E-03	1.98E-06	2.84E-03	4.49E-03	4.07E-03	2.21E-03	2.38E-03
AC>CG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AC>CT	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AC>GA	2.60E-02	4.75E-03	4.18E-03	3.69E-03	5.80E-03	3.66E-06	1.51E-03	3.30E-03	5.89E-03	5.08E-03	3.39E-06
AC>GG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AC>GT	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AC>TA	1.33E-02	1.61E-02	3.32E-03	7.35E-03	8.92E-03	3.16E-03	1.55E-02	4.53E-03	4.33E-03	4.43E-03	1.67E-02
AC>TG	4.41E-03	4.97E-03	3.02E-06	1.11E-03	6.67E-03	2.96E-06	5.32E-03	1.38E-03	7.94E-03	9.77E-04	2.55E-03
AC>TT	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AT>CA	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AT>CC	7.13E-03	7.07E-03	3.78E-06	3.02E-06	6.22E-03	9.50E-04	5.28E-03	4.16E-03	7.63E-03	3.49E-03	2.81E-03
AT>CG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AT>GA	5.94E-03	4.47E-03	1.66E-03	1.56E-03	3.02E-03	1.93E-03	3.10E-03	1.45E-03	2.65E-03	3.57E-03	2.90E-03
AT>GC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
AT>TA	9.37E-03	4.87E-03	3.13E-03	2.70E-06	8.86E-03	3.67E-06	3.50E-03	5.83E-03	6.22E-03	6.81E-03	4.14E-03
CC>AA	4.22E-06	3.59E-06	2.76E-06	2.03E-02	3.53E-06	1.80E-06	3.07E-06	2.42E-06	3.01E-06	3.01E-06	2.95E-06
CC>AG	4.78E-06	5.19E-06	9.59E-03	1.08E-02	3.20E-06	1.58E-02	5.09E-02	2.65E-06	5.28E-06	1.27E-02	1.28E-02
CC>AT	1.32E-02	3.53E-02	3.23E-06	9.20E-03	1.67E-02	9.94E-03	4.66E-06	5.53E-03	3.81E-06	1.36E-02	8.95E-03
CC>GA	1.17E-02	1.21E-02	5.87E-03	6.41E-03	1.21E-02	3.42E-06	4.53E-06	1.58E-02	2.16E-02	5.21E-03	1.41E-02
CC>GG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
CC>GT	1.05E-02	1.49E-02	4.85E-03	5.56E-03	3.26E-06	6.04E-03	1.18E-02	1.07E-02	8.00E-03	6.81E-03	5.99E-03
CC>TA	2.84E-02	1.69E-02	7.64E-03	7.50E-03	1.60E-02	1.28E-02	1.40E-02	1.19E-02	1.90E-02	1.30E-02	2.12E-02
CC>TG	9.61E-03	5.16E-03	3.40E-03	2.72E-03	1.09E-02	8.25E-03	5.61E-03	2.89E-03	8.57E-03	1.84E-03	3.90E-03
CC>TT	4.78E-06	2.85E-06	9.81E-03	1.06E-02	6.91E-06	1.21E-02	3.31E-06	3.85E-06	3.48E-06	1.48E-02	4.21E-02
CG>AT	5.11E-03	1.97E-03	1.59E-03	1.96E-03	2.24E-03	2.15E-03	1.51E-03	2.96E-03	2.92E-03	2.21E-03	3.34E-03
CG>GC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
CG>GT	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
