MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	6.548639182331802e-07	0.001117212441117014	0.0020083760409214334	5.124886252853382e-07	5.129068311712596e-05	4.618453806889041e-06	0.004120322900153421	0.001706398713698339	0.003811600273517494	0.0014505620715378124	0.003922427232585808
1:Del:C:1	0.015525513536476864	0.023404423264552558	0.005299838814304773	1.1351116313562671e-08	0.9344931463400523	3.0134536310318556e-05	6.717316576517381e-06	4.823070761470166e-06	7.27423624387787e-06	4.167551370907555e-06	3.825223620879114e-06
1:Del:C:2	2.478331937254552e-05	0.017951762887332735	0.5998986318707467	4.730477608442622e-07	0.008976818916255524	0.013198074494130196	0.0004227724087892663	6.430343118305852e-06	7.895550533021379e-06	3.1875098822335228e-06	3.7733445987046346e-06
1:Del:C:3	0.17141762811293806	0.15282631677625128	0.1092374078334918	0.009721464239843651	1.5753945926159456e-05	3.057028360823703e-05	0.0032624693854510648	2.2108158404971316e-06	6.935454901698298e-06	4.7846446638762545e-06	6.244389930998296e-06
1:Del:C:4	0.0739372910936936	0.14126475972625485	0.06306390972085865	0.05364506265723321	6.934201879480772e-06	0.004756315541995567	0.046572879337134054	7.094367477596582e-06	1.3309261381285372e-05	1.0137773284668582e-05	0.0176330447937327
1:Del:C:5	0.012758759667030972	0.013953595234988824	0.004684416157018253	0.1800139689252622	8.862034155280677e-06	0.00018125184384227094	0.03854021544176855	6.6038379145538785e-06	1.2806008127578631e-05	1.4496392084121605e-05	0.0034586289098418395
1:Del:T:0	1.3821979905515036e-06	0.00024382316952422655	1.6361936301242016e-06	5.060482040117146e-05	6.048000144195006e-05	0.00014492165255385696	0.000896166030012561	0.0009675734890455108	0.0016153864307549763	0.0004248583176983326	0.0006478698632539211
1:Del:T:1	0.005951219288287272	0.009514788883257097	0.00929889314443244	3.869070586877872e-06	0.013963512397591178	0.8642475594712171	7.853221499469024e-06	5.304101008126357e-06	6.42202097272578e-06	3.701615196405328e-06	3.953763651528182e-06
1:Del:T:2	0.044972405896673236	0.3648226515444321	0.11428537570549603	1.957703026581233e-05	1.5329477289090695e-05	0.05388665580153894	0.01170607687015964	3.932426435918994e-06	7.757597912435206e-06	4.211259211691261e-06	5.048935105378405e-06
1:Del:T:3	0.44690250023437933	0.0052169986068018185	0.03436744602637797	0.0061067266999117464	8.2448911901641e-06	3.0875329351450394e-05	1.8366891066534662e-05	3.3569377080766573e-06	7.744045853996795e-06	3.315833184084719e-06	9.019884267521168e-06
1:Del:T:4	0.12615688126173458	0.0726634384608739	0.034840375117270624	0.04537185975209468	1.0294937952483934e-05	0.006514601656059919	0.17655412941075266	6.59380355614303e-06	7.168808158060831e-06	3.5598909074489407e-06	8.582333392344783e-06
1:Del:T:5	0.06583915711449512	0.04930381290759366	0.009052169415698093	0.4398842831452688	2.476528675499975e-06	1.2863731395403496e-05	0.0369747509999191	7.045735420282047e-08	2.271311560283114e-06	9.566866702688989e-07	0.012264015901230153
1:Ins:C:0	3.006727884743062e-07	3.975282347331207e-06	0.005690777714837717	0.00041614863158431585	0.0008966732715118534	0.0015629382245691955	0.004352107876748808	0.0019080681374665195	0.0070729796672821975	0.003104450478531362	0.00321809629025059
