Sample Names	MutationType	DBS78A	DBS78B	DBS78C	DBS78D
PD3851a_non-exome	AC>CA	0.0	0.1504981079437721	0.0	0.8495018920562278
PD3851a_non-exome	AC>CG	0.0	0.3096447112933686	0.0	0.6903552887066314
PD3851a_non-exome	AC>CT	0.0	0.9992661691889847	0.0	0.0007338308110152646
PD3851a_non-exome	AC>GA	0.0	0.8187998761801786	0.0	0.18120012381982148
PD3851a_non-exome	AC>GG	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	AC>GT	0.0	0.402937795707647	0.0	0.597062204292353
PD3851a_non-exome	AC>TA	0.0	0.15583005707870334	0.0	0.8441699429212967
PD3851a_non-exome	AC>TG	0.0	0.9997102165147761	0.0	0.00028978348522395585
PD3851a_non-exome	AC>TT	0.0	0.07975686937905309	0.0	0.9202431306209469
PD3851a_non-exome	AT>CA	0.0	0.3665646779130194	0.0	0.6334353220869806
PD3851a_non-exome	AT>CC	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	AT>CG	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	AT>GA	0.0	0.3564925148367102	0.0	0.6435074851632898
PD3851a_non-exome	AT>GC	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	AT>TA	0.0	0.2753604939737439	0.0	0.7246395060262562
PD3851a_non-exome	CC>AA	0.0	0.6588050429478117	0.0	0.34119495705218833
PD3851a_non-exome	CC>AG	0.0	0.26799438653783536	0.0	0.7320056134621646
PD3851a_non-exome	CC>AT	0.0	0.6885920394516708	0.0	0.3114079605483292
PD3851a_non-exome	CC>GA	0.0	0.26587921770866424	0.0	0.7341207822913358
PD3851a_non-exome	CC>GG	0.0	0.0001252307578001834	0.0	0.9998747692421999
PD3851a_non-exome	CC>GT	0.0	0.5393683357298391	0.0	0.4606316642701609
PD3851a_non-exome	CC>TA	0.0	0.2934007122030753	0.0	0.7065992877969247
PD3851a_non-exome	CC>TG	0.0	0.5087146828556044	0.0	0.49128531714439555
PD3851a_non-exome	CC>TT	0.0	0.5752230728822404	0.0	0.42477692711775955
PD3851a_non-exome	CG>AT	0.0	0.9975406618818554	0.0	0.002459338118144619
PD3851a_non-exome	CG>GC	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	CG>GT	0.0	0.4404108200262612	0.0	0.5595891799737388
PD3851a_non-exome	CG>TA	0.0	0.12220615850039422	0.0	0.8777938414996058
PD3851a_non-exome	CG>TC	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	CG>TT	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	CT>AA	0.0	0.491747322905171	0.0	0.5082526770948291
PD3851a_non-exome	CT>AC	0.0	0.5078309202410382	0.0	0.49216907975896185
PD3851a_non-exome	CT>AG	0.0	0.19637228134080645	0.0	0.8036277186591936
PD3851a_non-exome	CT>GA	0.0	0.967152294575993	0.0	0.032847705424006904
PD3851a_non-exome	CT>GC	0.0	0.15154689306585215	0.0	0.8484531069341479
PD3851a_non-exome	CT>GG	0.0	0.14343080565555683	0.0	0.8565691943444432
PD3851a_non-exome	CT>TA	0.0	0.37626953697089	0.0	0.6237304630291101
PD3851a_non-exome	CT>TC	0.0	0.4811068355834618	0.0	0.5188931644165382
PD3851a_non-exome	CT>TG	0.0	1.1904043142716845e-05	0.0	0.9999880959568573
PD3851a_non-exome	GC>AA	0.0	0.5498862894278914	0.0	0.4501137105721086
PD3851a_non-exome	GC>AG	0.0	0.6345160127086947	0.0	0.36548398729130527
PD3851a_non-exome	GC>AT	0.0	0.11215425475124437	0.0	0.8878457452487556
PD3851a_non-exome	GC>CA	0.0	0.026794626367806045	0.0	0.973205373632194
PD3851a_non-exome	GC>CG	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	GC>TA	0.0	0.7730153014301173	0.0	0.22698469856988265
PD3851a_non-exome	TA>AT	0.0	0.12877219742653467	0.0	0.8712278025734653
PD3851a_non-exome	TA>CG	0.0	0.0002242666475323383	0.0	0.9997757333524676
PD3851a_non-exome	TA>CT	0.0	0.4081108490758881	0.0	0.5918891509241119
PD3851a_non-exome	TA>GC	0.0	0.3570649606799284	0.0	0.6429350393200717
PD3851a_non-exome	TA>GG	0.0	0.0012255804167344818	0.0	0.9987744195832655
PD3851a_non-exome	TA>GT	0.0	0.8580411445762448	0.0	0.14195885542375522
PD3851a_non-exome	TC>AA	0.0	0.6609740895065538	0.0	0.33902591049344616
PD3851a_non-exome	TC>AG	0.0	0.20563132954673619	0.0	0.7943686704532639
PD3851a_non-exome	TC>AT	0.0	0.7484683924322447	0.0	0.2515316075677553
PD3851a_non-exome	TC>CA	0.0	0.5414929987395378	0.0	0.45850700126046207
PD3851a_non-exome	TC>CG	0.0	0.9994690989182602	0.0	0.0005309010817398461
PD3851a_non-exome	TC>CT	0.0	0.7020337042943244	0.0	0.2979662957056756
PD3851a_non-exome	TC>GA	0.0	0.43311901381102613	0.0	0.5668809861889739
PD3851a_non-exome	TC>GG	0.0	0.21907345637288483	0.0	0.7809265436271151
