MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
AC>CA	0.00113603	0.00006315	0.00283046	0.00005363	0.00379284	0.00129432	0.00308992	0.01218753	0.00801150	0.00587878	0.01543970	0.00960315
AC>CG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AC>CT	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AC>GA	0.00211205	0.00910369	0.02096550	0.02582715	0.00296161	0.00306151	0.01540700	0.02482115	0.04356647	0.00631468	0.00607879	0.00998232
AC>GG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AC>GT	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AC>TA	0.00551527	0.02976420	0.03139094	0.01795943	0.00571129	0.00155605	0.00005850	0.02032261	0.01735567	0.02143654	0.02874790	0.00437742
AC>TG	0.00176454	0.00448923	0.01811470	0.00922946	0.00004957	0.00006056	0.00006208	0.00788056	0.01072173	0.00005355	0.01182419	0.00380060
AC>TT	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AT>CA	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AT>CC	0.00190794	0.00491155	0.00560609	0.01025938	0.00005159	0.00113470	0.00006288	0.00797638	0.00704188	0.00005901	0.02410661	0.00213892
AT>CG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AT>GA	0.00458131	0.00677478	0.00766793	0.01433017	0.00247348	0.00207588	0.00315331	0.00702574	0.00005634	0.00556025	0.00436484	0.00499718
AT>GC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
AT>TA	0.00110956	0.00479485	0.02797995	0.00937561	0.00222202	0.00734711	0.01527009	0.01727898	0.00206040	0.00876786	0.01267591	0.00620830
CC>AA	0.00001626	0.00002663	0.00002636	0.00002472	0.00001459	0.74972940	0.00002032	0.00001617	0.00002207	0.00001713	0.00002325	0.00001988
CC>AG	0.00937727	0.00002943	0.00002662	0.00002705	0.00000760	0.01072227	0.00002419	0.00002145	0.51895692	0.01354383	0.00002284	0.00001833
CC>AT	0.00942075	0.00004073	0.00003266	0.22303968	0.01214640	0.01419756	0.01344584	0.00869150	0.01166090	0.01674131	0.00003288	0.03848125
CC>GA	0.00335399	0.10491526	0.00004020	0.02128658	0.00002509	0.01006831	0.00458073	0.02404586	0.00952023	0.03193408	0.01506038	0.01106045
CC>GG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
CC>GT	0.00266652	0.01481286	0.03472906	0.01916893	0.01080331	0.00978091	0.00457278	0.00557533	0.00003902	0.01020055	0.03547496	0.00714989
CC>TA	0.00002777	0.01040513	0.21016028	0.00002345	0.03783384	0.00714501	0.03198998	0.00002170	0.00799242	0.02069223	0.01748970	0.00002910
CC>TG	0.00613468	0.00005109	0.03623123	0.01628320	0.00148118	0.00115583	0.00886530	0.01845774	0.00306185	0.00356088	0.03976762	0.00782147
CC>TT	0.00874014	0.00002984	0.00002966	0.00002044	0.00130056	0.01107595	0.00001891	0.00501623	0.00001581	0.53856354	0.00002686	0.00002389
