Sample Names	MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
PD3851a_non-exome	AC>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.00021819535497600597	0.0	7.874826005537723e-05	0.0	0.9997030563849687	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CG	0.0	0.0	0.0	0.0	0.0	0.0	0.4507457042191787	0.0	0.17532786085440136	0.0	0.37392643492641997	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CT	0.0	0.0	0.0	0.0	0.0	0.0	0.0011689343273954833	0.0	0.00038427008488280785	0.0	0.9984467955877216	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.4825956546615813	0.0	2.420832984030174e-05	0.0	0.5173801370085783	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GG	0.0	0.0	0.0	0.0	0.0	0.0	0.4448533511284723	0.0	0.1970070316943593	0.0	0.35813961717716847	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GT	0.0	0.0	0.0	0.0	0.0	0.0	0.4407980621702876	0.0	0.2027502522409166	0.0	0.3564516855887958	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TA	0.0	0.0	0.0	0.0	0.0	0.0	6.57535668270853e-05	0.0	0.999863631258022	0.0	7.061517515105471e-05	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TG	0.0	0.0	0.0	0.0	0.0	0.0	0.43162933585544566	0.0	0.1833399381535271	0.0	0.38503072599102717	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TT	0.0	0.0	0.0	0.0	0.0	0.0	8.666645757190025e-05	0.0	2.0049684901413938e-05	0.0	0.9998932838575267	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.00015638192021154746	0.0	0.9996808350383394	0.0	0.00016278304144903447	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CC	0.0	0.0	0.0	0.0	0.0	0.0	0.44485439472562727	0.0	0.19700747306842195	0.0	0.35813813220595087	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CG	0.0	0.0	0.0	0.0	0.0	0.0	0.44485337117835294	0.0	0.19700704057361684	0.0	0.35813958824803027	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.4336178636731304	0.0	0.17109978685015184	0.0	0.3952823494767177	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GC	0.0	0.0	0.0	0.0	0.0	0.0	0.44485334110353264	0.0	0.19700702725473082	0.0	0.3581396316417366	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.42727996437314103	0.0	0.19671660244251377	0.0	0.37600343318434526	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AA	0.0	0.0	0.0	0.0	0.0	0.0	0.8886638584424621	0.0	0.0045497571827096085	0.0	0.10678638437482828	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AG	0.0	0.0	0.0	0.0	0.0	0.0	3.400335558972664e-05	0.0	5.922873985724549e-05	0.0	0.999906767904553	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.962124044923229e-06	0.0	0.9999900378759551	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GA	0.0	0.0	0.0	0.0	0.0	0.0	4.43542476463411e-05	0.0	1.602285823089631e-05	0.0	0.9999396228941226	0.0	0.0	0.0	0.0
