MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	0.05346545842912746	2.4472776931361296e-05	0.01667551437349175	2.8089943407394456e-05	0.01999769913345517	5.556027499551419e-05
AC>CG	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AC>CT	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AC>GA	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AC>GG	0.028472385927670985	2.261037726341078e-05	2.6080592552516607e-05	1.5224252814505235e-05	0.04979702832060866	0.09953666017208888
AC>GT	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AC>TA	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AC>TG	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AC>TT	0.061677898972993715	0.09958565245836773	0.05695546451777318	1.4622612020449843e-05	3.689913032758341e-05	3.667845157906413e-05
AT>CA	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AT>CC	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AT>CG	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AT>GA	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AT>GC	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
AT>TA	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
CC>AA	0.04994225334085058	0.07490402955282098	0.46740941631796884	1.8172366435473827e-05	0.06985110710391051	2.9285558558378445e-05
CC>AG	1.6411919834524723e-05	1.3918815405489226e-05	0.05691139041088206	2.087212177763584e-06	3.325766901980387e-05	0.4440887649809156
CC>AT	3.559512661013287e-05	0.019974358205581667	0.021259525828281767	2.8079225739929824e-05	5.055609144619666e-05	0.02223544431690243
CC>GA	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
CC>GG	4.228245707054157e-05	2.8312744325376117e-05	4.036504760733806e-05	4.0671962051419544e-05	5.8116302170674317e-05	6.730266759404912e-05
CC>GT	0.09020308721082984	1.9611257812357508e-05	1.566731944108989e-05	0.014707270659378801	3.625687095336616e-05	0.03982155778267042
CC>TA	0.028525010082739756	0.037577196884558364	1.8346411525271834e-05	0.10549323203595122	3.7881538446526974e-05	4.766570637002587e-05
CC>TG	0.03326730559128919	2.2528799945575884e-05	4.45482484792592e-05	0.022191360756557806	3.3322178256867116e-05	0.0997122305969242
CC>TT	1.8950578169096844e-05	0.03077677507799308	1.973133294412027e-06	0.4856787919998169	1.5670361030117874e-05	3.43558498016594e-05
