MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
AC>CA	0.006557475389854517	0.011153969156172632	6.283840314911989e-05	0.0045131728889828086	0.002007129311823519	0.003837463144979362	0.010599953021058657	0.0025166824064702573	0.0026818869385654884
AC>CG	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AC>CT	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AC>GA	0.034618666856416284	0.009978853207273156	0.0018101546548223268	0.012453924990343998	0.011950934556443827	0.009226705877457183	0.013978875166988777	0.0036057820149229276	0.024069752490807634
AC>GG	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AC>GT	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AC>TA	0.022945994515733523	0.01370210418287267	0.0062900920169871215	0.013135590431344706	0.00505923195059097	0.007713606836781158	0.015581566367867101	0.02468157812186291	0.02141309768709713
AC>TG	0.0012039642435411225	6.767394061171216e-05	6.613118930545169e-05	0.017828105825537933	0.002008210999216923	6.653671443928033e-05	0.0035535905284632464	0.00370076170899362	0.004273441350111777
AC>TT	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AT>CA	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AT>CC	0.004970477922264157	0.005788073489262994	0.0045779065010719934	0.01630870608908784	5.4309821704615996e-05	0.00153725828070795	0.007909294172471467	5.9874395932032104e-05	0.005774004039176361
AT>CG	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AT>GA	0.011126870407557969	0.007381781795993447	0.001765756977814211	0.004462616687184588	0.002794243797628345	0.0012907884225569432	0.0032475530224473914	0.00911585350331734	0.002318165280667017
AT>GC	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
AT>TA	0.00714722236043599	0.006851123700289463	0.011396392009373812	0.002050830146769537	0.010982797571947837	5.9149001450956955e-05	0.005611023404465717	0.010528552262530865	0.008030168883912362
CC>AA	2.189174133112228e-05	1.7222250749143443e-05	1.3381528766419176e-05	1.9872536353289966e-05	1.3525311966151053e-05	0.6283680687348048	1.5144535680625127e-05	1.5717625750948557e-05	2.167083389535603e-05
CC>AG	2.709472056932801e-05	2.3523172763381673e-05	0.017411329953674507	0.3391975876127579	1.0904556775519214e-05	0.040840516388288915	1.912211663190888e-05	2.173517634000699e-05	0.021851564865417807
CC>AT	0.20718014931517245	0.007403296830018167	0.004064449821336565	0.013852266083740223	1.64758965726832e-05	0.0022881032399317955	0.016626161365245352	0.012195894368613196	0.02151650454591946
CC>GA	0.022447019868626673	0.02979173592830193	3.7000439491900275e-05	0.03647362075009823	0.021020388890641093	0.007638167134429826	0.005563991119568948	0.019048116112814265	0.022650080528304292
CC>GG	6.742724084081904e-05	7.562614264315926e-05	7.45585777622182e-05	6.999917750363238e-05	6.539321633075209e-05	7.353571612232676e-05	6.817644643888343e-05	7.10653445518498e-05	7.488466593107054e-05
