MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.32E-06	2.08E-06	1.41E-06	4.27E-04	1.47E-03	3.36E-08	1.45E-03	1.05E-04	7.74E-04	4.02E-03	3.03E-03	1.30E-03
1:Del:C:1	2.01E-02	2.69E-06	2.41E-02	2.01E-02	3.30E-02	1.51E-07	3.60E-06	4.92E-07	7.82E-03	1.32E-02	8.56E-07	8.55E-07
1:Del:C:2	1.73E-02	8.23E-03	1.55E-02	5.85E-02	2.17E-06	1.07E-07	2.33E-02	5.76E-07	6.13E-07	1.03E-06	8.86E-07	8.71E-07
1:Del:C:3	4.50E-02	3.55E-02	2.30E-02	2.47E-02	3.82E-03	2.22E-03	3.94E-06	6.28E-07	7.79E-03	9.13E-07	1.69E-03	2.48E-06
1:Del:C:4	4.56E-02	1.42E-02	1.82E-02	1.38E-02	1.62E-06	8.39E-03	2.75E-06	1.49E-06	1.39E-06	4.78E-04	1.03E-02	1.20E-06
1:Del:C:5	9.60E-03	7.10E-03	4.10E-03	2.19E-03	1.04E-03	8.53E-03	1.68E-06	1.83E-06	9.95E-04	4.80E-04	1.17E-02	7.86E-04
1:Del:T:0	1.51E-06	1.95E-06	1.44E-06	7.91E-04	1.74E-06	5.99E-05	2.45E-06	4.07E-04	5.44E-05	7.84E-04	8.49E-04	6.74E-04
1:Del:T:1	1.20E-02	7.72E-03	1.09E-02	1.50E-02	2.05E-02	1.06E-04	5.52E-02	5.69E-07	5.81E-03	8.16E-07	8.96E-07	8.68E-07
1:Del:T:2	4.15E-06	1.10E-02	7.02E-02	3.29E-02	1.73E-06	1.92E-06	1.40E-02	9.24E-07	1.37E-06	1.14E-06	4.16E-06	1.57E-06
1:Del:T:3	1.41E-05	5.27E-02	1.75E-02	1.49E-02	1.91E-06	3.49E-03	1.04E-02	4.41E-07	7.42E-07	7.01E-07	8.21E-06	9.34E-07
1:Del:T:4	3.60E-02	3.51E-02	5.22E-02	1.12E-02	7.35E-03	7.89E-03	3.72E-06	9.54E-07	6.40E-03	3.28E-02	2.32E-02	1.24E-02
1:Del:T:5	2.00E-02	1.43E-02	1.74E-02	7.67E-03	5.06E-03	1.58E-02	3.44E-06	6.87E-08	4.52E-03	1.73E-06	1.06E-02	9.09E-07
1:Ins:C:0	6.65E-06	2.25E-03	1.10E-06	2.24E-03	8.44E-04	3.22E-04	1.74E-03	1.19E-03	1.08E-03	3.43E-03	3.64E-03	1.63E-03
1:Ins:C:1	1.41E-02	3.12E-06	6.47E-07	1.25E-02	1.66E-06	1.62E-08	1.99E-06	3.66E-03	4.21E-03	1.15E-02	1.16E-02	6.62E-03
1:Ins:C:2	8.38E-03	6.39E-06	2.49E-06	6.31E-03	2.70E-06	1.21E-03	1.07E-05	1.52E-03	5.17E-03	4.78E-03	6.63E-03	6.29E-03
1:Ins:C:3	6.32E-03	2.17E-06	1.45E-06	1.86E-06	1.97E-03	3.99E-04	2.89E-03	1.25E-03	1.81E-03	3.62E-03	6.96E-03	2.27E-03
1:Ins:C:4	1.18E-02	5.45E-03	1.57E-06	3.25E-06	1.67E-06	4.65E-04	4.87E-06	1.96E-03	5.01E-03	6.63E-03	1.06E-02	5.23E-03
1:Ins:C:5	1.63E-06	8.60E-07	1.47E-06	2.18E-06	1.50E-06	8.41E-03	6.09E-03	1.55E-06	5.56E-03	9.46E-03	2.44E-02	1.41E-02
1:Ins:T:0	5.23E-07	1.13E-03	1.09E-06	1.58E-06	2.07E-06	4.19E-04	8.32E-03	1.13E-03	1.08E-02	9.58E-03	3.71E-03	6.48E-03
1:Ins:T:1	6.28E-07	2.73E-02	5.51E-07	2.19E-06	1.28E-06	7.63E-08	2.99E-06	1.18E-02	2.37E-02	2.98E-02	9.18E-03	3.41E-02
1:Ins:T:2	1.92E-04	8.53E-06	9.14E-07	1.74E-06	5.64E-03	1.32E-03	8.19E-03	1.89E-03	2.69E-03	1.21E-02	1.35E-02	1.24E-02
1:Ins:T:3	1.95E-03	9.09E-03	8.16E-03	2.05E-02	1.76E-06	1.40E-03	6.53E-03	3.39E-03	3.56E-03	4.97E-03	1.16E-02	3.95E-03
