MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.8651628124644048e-06	3.6277864031338445e-06	2.0376864810600635e-06	0.00043150582610470184	0.002122370015108288	4.818563397179787e-08	0.0020458495977242327	0.0001245674715998272	0.0013011071671523192	0.010958114400485405	0.005380266807984905	0.0035343602250274366
1:Del:C:1	0.025980143957076506	2.2649632387626226e-05	0.03842202568100864	0.03400987933706953	0.8978398511807124	2.0211286937410479e-07	2.1643197267925037e-05	5.518411891595558e-06	0.007820039447327076	0.013162088825189737	4.2920240521956055e-06	4.013565256855145e-06
1:Del:C:2	0.03794184403382132	0.008919046581862251	0.021783390370122408	0.6499187263832634	1.436711204405583e-05	1.8617680931735475e-07	0.04898989092027174	4.4978800014898e-06	3.3955588852071135e-06	7.4170278291300445e-06	3.2637265197384598e-06	3.7803955478921123e-06
1:Del:C:3	0.2966631578539667	0.09783734907062656	0.047481112580741565	0.05433666030219229	0.003837585458997713	0.005585446918667003	2.96265065571788e-05	3.345906136882221e-06	0.007796794535772733	3.644527481346434e-06	0.0016923530724990124	9.51817216900963e-06
1:Del:C:4	0.34729422599518783	0.019436514543478247	0.03592801992343387	0.01963335709844311	1.0059299586373528e-05	0.05850895186259777	1.9202544374744928e-05	7.332125772545441e-06	8.113495048670909e-06	0.0004848760100742311	0.010260096889381598	7.231838253810944e-06
1:Del:C:5	0.030595255154798905	0.011463182559236885	0.009307110248672264	0.0033735197551569246	0.0010468833599323565	0.19094962461022078	1.5592295555203842e-05	1.0040941742772701e-05	0.0010620564580979893	0.0004947256883307698	0.012947384714243526	0.0008051137044124819
1:Del:T:0	2.939978801445401e-06	3.4922510331251527e-06	2.164582291423282e-06	0.000795825830605897	7.834235166607565e-06	6.0442088611030916e-05	1.067740232674197e-05	0.001293899735234542	7.679001503978119e-05	0.0016527203129427903	0.0014330939980936818	0.0013024299581654
1:Del:T:1	0.0169942373258588	0.007758162378230319	0.01982092354702824	0.01500046916029684	0.03539725823920132	0.00010682779794327265	0.75153079251351	4.520258929119336e-06	0.005810894823800557	5.852272230792247e-06	4.852515153667506e-06	4.245871108802627e-06
1:Del:T:2	2.1972213532232368e-05	0.015713578487767183	0.5872081541813714	0.08576454564510337	1.2776355771393354e-05	2.2565817185219808e-06	0.014051739097002762	5.196264925189098e-06	6.491600068632882e-06	6.406111265278014e-06	8.454603813845551e-06	6.397981478843915e-06
1:Del:T:3	5.679340598968944e-05	0.5855616639057796	0.02390386077236144	0.014956978204304505	1.0335764533438924e-05	0.007950036269833571	0.010386723848500878	2.9737193481575256e-06	3.0813954708719392e-06	3.6771248858258333e-06	1.565721807044914e-05	5.831404647930564e-06
