MutationType	DBS78A	DBS78B	DBS78C
AC>CA	1.36E-03	3.35E-03	2.19E-03
AC>CG	9.25E-04	9.51E-04	9.02E-04
AC>CT	2.19E-03	3.74E-03	4.35E-04
AC>GA	5.24E-03	3.53E-03	1.12E-03
AC>GG	5.42E-04	1.09E-03	7.97E-04
AC>GT	1.33E-07	2.91E-03	6.14E-07
AC>TA	2.98E-03	4.21E-03	6.34E-03
AC>TG	5.42E-04	3.72E-03	4.34E-07
AC>TT	1.66E-03	2.43E-03	2.64E-03
AT>CA	1.29E-03	4.35E-03	8.48E-04
AT>CC	1.80E-07	6.34E-07	2.80E-07
AT>CG	1.80E-07	6.34E-07	2.80E-07
AT>GA	1.46E-03	4.47E-03	1.46E-03
AT>GC	1.80E-07	6.34E-07	2.80E-07
AT>TA	1.09E-03	9.81E-04	5.56E-07
CC>AA	3.05E-02	4.21E-02	7.39E-03
CC>AG	9.90E-03	1.18E-02	7.84E-03
CC>AT	8.24E-03	8.87E-03	3.65E-03
CC>GA	2.87E-03	6.68E-03	3.31E-03
CC>GG	1.66E-03	1.06E-03	1.05E-07
CC>GT	3.02E-03	4.04E-03	1.06E-02
CC>TA	2.46E-03	1.56E-03	3.03E-03
CC>TG	1.85E-03	9.51E-04	2.09E-03
CC>TT	5.77E-03	1.12E-02	2.05E-02
CG>AT	6.71E-07	1.25E-03	6.33E-07
CG>GC	1.80E-07	6.34E-07	2.80E-07
CG>GT	5.31E-04	5.05E-03	2.10E-03
CG>TA	3.43E-03	2.95E-03	2.68E-03
CG>TC	1.80E-07	6.34E-07	2.80E-07
CG>TT	1.80E-07	6.34E-07	2.80E-07
CT>AA	4.07E-03	5.40E-03	6.41E-03
CT>AC	1.04E-03	1.63E-03	5.95E-07
CT>AG	8.05E-03	6.35E-03	3.64E-03
CT>GA	1.91E-03	1.86E-03	1.99E-07
CT>GC	1.91E-07	3.27E-03	1.67E-03
CT>GG	9.73E-04	1.39E-03	1.69E-03
CT>TA	2.03E-03	9.59E-03	1.35E-02
CT>TC	2.24E-03	2.19E-03	5.39E-03
CT>TG	1.95E-03	5.41E-03	4.33E-03
GC>AA	8.78E-03	7.93E-03	6.84E-03
GC>AG	6.60E-03	1.23E-02	7.34E-03
GC>AT	4.19E-03	6.56E-03	6.96E-03
GC>CA	1.78E-03	4.71E-03	2.64E-03
GC>CG	1.80E-07	6.34E-07	2.80E-07
GC>TA	2.57E-03	9.51E-04	1.62E-03
TA>AT	1.19E-03	3.51E-03	2.42E-03
TA>CG	5.98E-04	9.65E-04	8.91E-04
TA>CT	2.53E-03	6.33E-03	3.19E-03
TA>GC	1.80E-07	6.34E-07	2.80E-07
TA>GG	2.17E-03	5.69E-04	2.34E-03
TA>GT	2.69E-03	3.62E-03	6.70E-04
TC>AA	1.14E-02	1.98E-02	5.61E-03
TC>AG	4.87E-03	1.09E-03	9.92E-03
TC>AT	9.56E-03	9.98E-03	1.38E-02
TC>CA	8.81E-03	1.36E-02	5.09E-03
TC>CG	1.58E-03	2.19E-03	9.70E-04
TC>CT	3.80E-03	2.71E-03	4.40E-03
TC>GA	6.19E-03	9.41E-03	1.17E-07
TC>GG	7.40E-04	6.95E-04	3.93E-03
TC>GT	4.10E-03	5.33E-03	7.66E-03
TG>AA	3.51E-03	1.88E-03	2.22E-07
TG>AC	1.78E-03	3.54E-07	5.48E-07
TG>AT	5.37E-03	1.07E-02	4.24E-04
TG>CA	4.32E-03	9.25E-03	9.91E-03
TG>CC	1.55E-03	7.88E-03	3.56E-03
TG>CT	1.19E-02	1.29E-02	5.15E-03
TG>GA	1.34E-03	9.21E-04	7.96E-04
TG>GC	1.07E-03	1.14E-03	1.94E-03
TG>GT	2.93E-03	2.83E-03	3.93E-03
TT>AA	1.96E-03	2.92E-03	7.66E-03
TT>AC	4.02E-04	1.72E-03	5.43E-07
TT>AG	1.22E-03	1.77E-03	3.98E-03
TT>CA	2.37E-07	7.33E-07	2.21E-03
TT>CC	1.55E-03	4.41E-07	1.55E-03
TT>CG	2.47E-07	3.22E-03	1.89E-03
TT>GA	1.80E-07	6.34E-07	2.80E-07
TT>GC	1.38E-03	1.14E-03	1.61E-03
TT>GG	6.16E-04	1.12E-03	5.90E-07
