Sample Names	MutationType	DBS2	DBS4	DBS6	DBS11	DBS13	DBS18
PD3851a	AC>CA	0.09778241550762994	0.9022175844923701	0.0	0.0	0.0	0.0
PD3851a	AC>CG	0.4340483797352807	0.5659516202647193	0.0	0.0	0.0	0.0
PD3851a	AC>CT	0.9999999999999449	5.50146661694157e-14	0.0	0.0	0.0	0.0
PD3851a	AC>GA	0.060698603671789676	0.9393013963282103	0.0	0.0	0.0	0.0
PD3851a	AC>GG	0.4165140669219244	0.5834859330780756	0.0	0.0	0.0	0.0
PD3851a	AC>GT	0.9999666747996024	3.332520039752204e-05	0.0	0.0	0.0	0.0
PD3851a	AC>TA	0.5830020726330001	0.4169979273669999	0.0	0.0	0.0	0.0
PD3851a	AC>TG	0.12566686425607587	0.874333135743924	0.0	0.0	0.0	0.0
PD3851a	AC>TT	0.9560610501308631	0.04393894986913682	0.0	0.0	0.0	0.0
PD3851a	AT>CA	0.04716299410150649	0.9528370058984935	0.0	0.0	0.0	0.0
PD3851a	AT>CC	0.41686104631789406	0.583138953682106	0.0	0.0	0.0	0.0
PD3851a	AT>CG	0.3459623893805309	0.654037610619469	0.0	0.0	0.0	0.0
PD3851a	AT>GA	0.38350651460036567	0.6164934853996343	0.0	0.0	0.0	0.0
PD3851a	AT>GC	0.2851340373679935	0.7148659626320064	0.0	0.0	0.0	0.0
PD3851a	AT>TA	0.1081746589421861	0.8918253410578137	0.0	0.0	0.0	0.0
PD3851a	CC>AA	1.0	8.055385279287163e-18	0.0	0.0	0.0	0.0
PD3851a	CC>AG	0.9413159269774302	0.058684073022569845	0.0	0.0	0.0	0.0
PD3851a	CC>AT	0.8842793677874005	0.11572063221259957	0.0	0.0	0.0	0.0
PD3851a	CC>GA	0.8567680123028438	0.1432319876971562	0.0	0.0	0.0	0.0
PD3851a	CC>GG	0.8809356824342619	0.11906431756573817	0.0	0.0	0.0	0.0
PD3851a	CC>GT	0.9429358919384342	0.057064108061565824	0.0	0.0	0.0	0.0
PD3851a	CC>TA	0.9912214938560987	0.00877850614390135	0.0	0.0	0.0	0.0
PD3851a	CC>TG	0.9716491323951358	0.02835086760486405	0.0	0.0	0.0	0.0
PD3851a	CC>TT	0.41686104631789406	0.583138953682106	0.0	0.0	0.0	0.0
PD3851a	CG>AT	0.8263133091669791	0.17368669083302082	0.0	0.0	0.0	0.0
PD3851a	CG>GC	0.9886159087986972	0.011384091201302878	0.0	0.0	0.0	0.0
PD3851a	CG>GT	0.9999999999999954	4.556327006808174e-15	0.0	0.0	0.0	0.0
PD3851a	CG>TA	0.41686104631789406	0.583138953682106	0.0	0.0	0.0	0.0
PD3851a	CG>TC	0.9999999999999973	2.7126042318176006e-15	0.0	0.0	0.0	0.0
