MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
AC>CA	5.650826892633632e-07	5.75741307784483e-07	6.297841418312355e-07	7.538260717865342e-07	0.002128946241396079	3.098113023283777e-06	2.3723998083369223e-06	9.6569115157763e-07	0.03125699598472238	0.006683820009482133	4.431599427334731e-06	0.04715671782105346	0.03278518270544737
AC>CG	0.01365452203899622	9.261254490411374e-07	1.094715298677329e-06	0.0021286005482011204	1.4599059795727954e-06	4.032927154185017e-06	2.7536781601611438e-06	0.002128917646246009	1.971857318494585e-06	2.6981705332218553e-06	4.811362032342004e-06	5.933814724228448e-06	5.5387404245266225e-06
AC>CT	7.68130394135369e-07	0.004945581385300102	1.1515519645399762e-06	0.016022257345139224	1.8455904842085148e-05	3.7307916954887333e-06	0.0027221452889762076	0.02065875492990017	0.0054652840841299625	0.010525863887525588	0.006742603548605075	6.187211420183303e-06	1.907610776470392e-05
AC>GA	3.3146833402497575e-07	0.02759584877640009	1.4443101974848104e-06	0.0031533705496940454	5.368880010792054e-07	0.026838089673856303	0.010621891805703854	0.009899708073658076	1.5447340501850704e-06	9.708751349535305e-07	0.016870061484314646	4.085862565261778e-06	0.011959980566916783
AC>GG	1.0807704143189766e-06	1.0463456817433324e-06	1.4169724181556375e-06	1.8081897906085942e-06	2.4598063646408265e-06	4.95329959449009e-06	3.6215613818058046e-06	1.6687775769241854e-06	3.3409689876862103e-06	3.1896370728645705e-06	5.480864729179302e-06	6.697870230709668e-06	7.090707276802277e-06
AC>GT	1.108494734580745e-06	1.0503568262265616e-06	1.268047788016702e-06	1.7671741602498515e-06	0.002130296318273395	5.0341929181740855e-06	3.6069872749067146e-06	1.665148261054128e-06	3.287411163910292e-06	0.002905451821470706	5.628272583635408e-06	6.4753603510325775e-06	6.649089846177958e-06
AC>TA	4.057405874391407e-07	0.007494539394974709	0.0	0.014880142365768734	0.02301892451941967	3.7059503938507985e-06	0.08437337167561054	0.002128223158399578	2.179438934035716e-06	0.007327691500961464	0.0025355394486723526	3.522970155245275e-06	0.026555742659161295
AC>TG	1.0249163892694924e-06	6.920788109709974e-07	1.3743843108926511e-06	0.021007107762397937	1.1077322218285633e-06	4.025564157927874e-06	3.124762270090287e-06	0.013290001033533371	3.1310459235101006e-06	2.1915016304774325e-06	5.473328155858326e-06	6.2763682763034016e-06	7.105721851985436e-06
AC>TT	0.014609014987945557	0.004944914778923249	1.3192894130042987e-06	0.008497097488157124	9.126295708483667e-07	2.063352576442412e-06	8.960769173427252e-06	0.004256237629817861	0.02526506973085816	2.1281209228618538e-06	0.010112666710347185	6.323623756543384e-06	0.003986555301889893
AT>CA	7.414276751660509e-07	0.0067944070236080735	6.766488795051373e-07	9.482810014560528e-07	1.1306860119075778e-06	4.45605542154226e-06	0.020854620085628994	6.632971235376322e-07	2.6989398975274524e-06	0.014654468642447682	0.006742744616451546	6.431301792986233e-06	0.016419480852982817
