MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
AC>CA	8.67E-03	5.24E-07	1.56E-03	1.16E-06	4.40E-07	1.40E-03	1.59E-06	1.20E-06	1.57E-06	3.21E-03	1.08E-02
AC>CG	6.46E-08	2.20E-03	3.60E-03	1.68E-07	4.44E-07	7.12E-07	3.05E-06	5.78E-07	2.45E-03	1.06E-06	7.03E-07
AC>CT	2.89E-07	4.68E-03	2.54E-07	6.14E-03	4.62E-03	1.02E-03	2.20E-06	1.23E-02	6.07E-03	1.70E-06	1.82E-06
AC>GA	1.35E-02	2.03E-07	1.44E-07	1.16E-02	6.95E-03	8.88E-03	5.00E-03	9.44E-07	9.37E-03	1.56E-06	1.06E-06
AC>GG	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
AC>GT	8.67E-03	8.63E-07	1.04E-07	3.45E-07	8.33E-07	3.13E-03	1.73E-06	7.80E-07	1.35E-06	1.30E-05	1.26E-02
AC>TA	2.39E-03	6.67E-03	2.10E-07	1.58E-02	2.42E-03	1.31E-03	3.30E-06	5.19E-03	1.91E-02	3.52E-02	6.67E-07
AC>TG	3.04E-07	5.02E-07	1.59E-07	5.89E-03	4.01E-07	4.23E-03	2.56E-06	3.55E-07	1.04E-06	1.18E-06	9.62E-07
AC>TT	2.61E-07	6.24E-03	3.18E-03	3.75E-07	2.28E-03	7.95E-07	8.22E-07	1.05E-02	2.45E-03	1.22E-06	7.06E-03
AT>CA	1.23E-07	2.51E-07	8.96E-08	3.06E-07	6.15E-03	3.51E-07	3.23E-06	6.76E-07	1.39E-02	7.03E-03	5.68E-07
AT>CC	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
AT>CG	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
AT>GA	3.27E-07	3.26E-07	1.92E-07	3.02E-03	7.08E-03	5.59E-07	4.79E-06	1.51E-06	1.08E-02	7.98E-03	8.58E-07
AT>GC	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
AT>TA	2.83E-07	2.40E-03	1.19E-07	1.61E-03	5.64E-03	9.54E-07	3.91E-03	1.11E-06	1.01E-03	1.92E-06	1.19E-06
CC>AA	1.89E-02	1.11E-02	4.57E-03	3.83E-02	3.75E-02	4.47E-02	7.35E-02	8.02E-03	1.23E-02	4.44E-02	1.64E-02
