Sample Names	MutationType	DBS2	DBS4	DBS6	DBS11	DBS13	DBS17	DBS18	DBS78G	DBS78I	DBS78K	DBS78L	DBS78N
PD3851a_non-exome	AC>CA	0.007680172781354934	0.0	0.0	0.0	0.0	0.9923198272186451	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CG	0.0075546670723361355	0.0	0.0	0.0	0.0	0.9924453329276639	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CT	0.003714149667438209	0.0	0.0	0.0	0.0	0.9962858503325618	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GA	0.005265683167024057	0.0	0.0	0.0	0.0	0.9947343168329758	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GG	2.2160582774789809e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GT	0.003914398419486459	0.0	0.0	0.0	0.0	0.9960856015805135	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TA	0.06823874022271859	0.0	0.0	0.0	0.0	0.9317612597772815	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TG	0.0003094701515795507	0.0	0.0	0.0	0.0	0.9996905298484203	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TT	0.06686483877139786	0.0	0.0	0.0	0.0	0.9331351612286021	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CA	0.001593488964744647	0.0	0.0	0.0	0.0	0.9984065110352554	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CC	2.5346538440872213e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CG	1.2616681613047266e-15	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GA	0.005041615318714541	0.0	0.0	0.0	0.0	0.9949583846812854	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GC	0.0002293651571063109	0.0	0.0	0.0	0.0	0.9997706348428939	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>TA	0.015417413123547743	0.0	0.0	0.0	0.0	0.9845825868764523	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AA	0.9988658425526884	0.0	0.0	0.0	0.0	0.0011341574473114947	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AG	0.962467210858659	0.0	0.0	0.0	0.0	0.037532789141341	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AT	0.9832338205976867	0.0	0.0	0.0	0.0	0.016766179402313192	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GA	0.9101602776995195	0.0	0.0	0.0	0.0	0.08983972230048058	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GG	0.05523179285790134	0.0	0.0	0.0	0.0	0.9447682071420986	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GT	0.0474749249558814	0.0	0.0	0.0	0.0	0.9525250750441185	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TA	0.9593284443244651	0.0	0.0	0.0	0.0	0.04067155567553505	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TG	0.0032006721379984906	0.0	0.0	0.0	0.0	0.9967993278620015	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TT	2.1721974355568358e-15	0.0	0.0	0.0	0.0	0.9999999999999979	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>AT	0.1641048885221325	0.0	0.0	0.0	0.0	0.8358951114778675	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>GC	0.06343447246047612	0.0	0.0	0.0	0.0	0.9365655275395237	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>GT	0.10333084539857933	0.0	0.0	0.0	0.0	0.8966691546014207	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TA	3.0559459425392263e-16	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TC	0.1405206038467577	0.0	0.0	0.0	0.0	0.8594793961532424	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TT	0.16207523018190637	0.0	0.0	0.0	0.0	0.8379247698180936	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AA	0.11672768852179431	0.0	0.0	0.0	0.0	0.8832723114782056	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AC	1.2241471689101453e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AG	0.030029889028981724	0.0	0.0	0.0	0.0	0.9699701109710182	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GA	0.0014032508541417387	0.0	0.0	0.0	0.0	0.9985967491458583	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GC	0.00515068135875539	0.0	0.0	0.0	0.0	0.9948493186412446	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GG	0.004941853970086264	0.0	0.0	0.0	0.0	0.9950581460299137	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>TA	0.6136593462425035	0.0	0.0	0.0	0.0	0.38634065375749643	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>TC	0.0008777408219091912	0.0	0.0	0.0	0.0	0.9991222591780907	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>TG	0.006793681242328474	0.0	0.0	0.0	0.0	0.9932063187576714	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	GC>AA	0.016998305556120433	0.0	0.0	0.0	0.0	0.9830016944438796	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	GC>AG	0.007315695477179504	0.0	0.0	0.0	0.0	0.9926843045228206	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	GC>AT	0.00875529617611313	0.0	0.0	0.0	0.0	0.991244703823887	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	GC>CA	0.03849461085832071	0.0	0.0	0.0	0.0	0.9615053891416794	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	GC>CG	0.0719661791229951	0.0	0.0	0.0	0.0	0.9280338208770049	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	GC>TA	0.034782076228516874	0.0	0.0	0.0	0.0	0.9652179237714833	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TA>AT	0.11857840350935053	0.0	0.0	0.0	0.0	0.8814215964906494	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TA>CG	0.0011103979584031216	0.0	0.0	0.0	0.0	0.9988896020415969	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TA>CT	0.007043217331838875	0.0	0.0	0.0	0.0	0.992956782668161	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TA>GC	0.04782990707498589	0.0	0.0	0.0	0.0	0.952170092925014	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TA>GG	0.005715867625238837	0.0	0.0	0.0	0.0	0.9942841323747612	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TA>GT	0.0430612773238877	0.0	0.0	0.0	0.0	0.9569387226761124	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>AA	0.010574454999499765	0.0	0.0	0.0	0.0	0.9894255450005002	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>AG	0.269336427059935	0.0	0.0	0.0	0.0	0.7306635729400651	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>AT	1.3621526061703207e-15	0.0	0.0	0.0	0.0	0.9999999999999987	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>CA	0.05182385906926524	0.0	0.0	0.0	0.0	0.9481761409307348	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>CG	0.0010145121309396992	0.0	0.0	0.0	0.0	0.9989854878690605	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>CT	0.06485392013251606	0.0	0.0	0.0	0.0	0.935146079867484	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>GA	0.05744909798010106	0.0	0.0	0.0	0.0	0.9425509020198989	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>GG	0.014702815432742438	0.0	0.0	0.0	0.0	0.9852971845672575	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TC>GT	0.08636051399789389	0.0	0.0	0.0	0.0	0.9136394860021061	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>AA	0.13337566214222335	0.0	0.0	0.0	0.0	0.8666243378577766	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>AC	0.03903886038445182	0.0	0.0	0.0	0.0	0.960961139615548	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>AT	0.16806395262304458	0.0	0.0	0.0	0.0	0.8319360473769554	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>CA	0.0004239301188839509	0.0	0.0	0.0	0.0	0.9995760698811161	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>CC	0.0014699651232214352	0.0	0.0	0.0	0.0	0.9985300348767785	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>CT	0.26052078988115024	0.0	0.0	0.0	0.0	0.7394792101188499	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>GA	0.059469694303870835	0.0	0.0	0.0	0.0	0.940530305696129	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>GC	0.01535574729256494	0.0	0.0	0.0	0.0	0.984644252707435	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TG>GT	0.458684049851173	0.0	0.0	0.0	0.0	0.541315950148827	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>AA	0.8971320323948067	0.0	0.0	0.0	0.0	0.10286796760519336	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>AC	0.01219751754439069	0.0	0.0	0.0	0.0	0.9878024824556093	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>AG	0.014191241574267899	0.0	0.0	0.0	0.0	0.985808758425732	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>CA	1.2859475140367954e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>CC	0.25154755205402357	0.0	0.0	0.0	0.0	0.7484524479459763	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>CG	0.0010210776399671283	0.0	0.0	0.0	0.0	0.9989789223600328	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>GA	0.0023641729577605214	0.0	0.0	0.0	0.0	0.9976358270422395	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>GC	3.631358364066454e-05	0.0	0.0	0.0	0.0	0.9999636864163592	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	TT>GG	3.762406015036178e-13	0.0	0.0	0.0	0.0	0.9999999999996237	0.0	0.0	0.0	0.0	0.0	0.0
PD3890a_non-exome	AC>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.35004457055012606	0.0	0.649955429449874	0.0	0.0	0.0
PD3890a_non-exome	AC>CG	0.0	0.0	0.0	0.0	0.0	0.0	0.9984332312887129	0.0	0.0015667687112870384	0.0	0.0	0.0
PD3890a_non-exome	AC>CT	0.0	0.0	0.0	0.0	0.0	0.0	0.9998548374422758	0.0	0.00014516255772418406	0.0	0.0	0.0
PD3890a_non-exome	AC>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.3518215168808027	0.0	0.6481784831191973	0.0	0.0	0.0
PD3890a_non-exome	AC>GG	0.0	0.0	0.0	0.0	0.0	0.0	0.9988829245084071	0.0	0.001117075491592926	0.0	0.0	0.0
PD3890a_non-exome	AC>GT	0.0	0.0	0.0	0.0	0.0	0.0	0.9995537801071026	0.0	0.0004462198928974751	0.0	0.0	0.0
PD3890a_non-exome	AC>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.9998995928781964	0.0	0.00010040712180362909	0.0	0.0	0.0
PD3890a_non-exome	AC>TG	0.0	0.0	0.0	0.0	0.0	0.0	0.9996506647498358	0.0	0.00034933525016425074	0.0	0.0	0.0
PD3890a_non-exome	AC>TT	0.0	0.0	0.0	0.0	0.0	0.0	0.5976593929669043	0.0	0.40234060703309565	0.0	0.0	0.0
PD3890a_non-exome	AT>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.180917718243102	0.0	0.8190822817568979	0.0	0.0	0.0
