Sample Names	MutationType	DBS2	DBS13	DBS20	DBS78A	DBS78C
TCGA-3C-AALI-01	AC>CA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>CG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>CT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>GG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>GT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>TA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>TG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AC>TT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AT>CA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AT>CC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AT>CG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AT>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AT>GC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	AT>TA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>AA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>AG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>AT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>GG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>GT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>TA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>TG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CC>TT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CG>AT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CG>GC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CG>GT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CG>TA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CG>TC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CG>TT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>AA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>AC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>AG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>GC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>GG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>TA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>TC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	CT>TG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	GC>AA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	GC>AG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	GC>AT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	GC>CA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	GC>CG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	GC>TA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TA>AT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TA>CG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TA>CT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TA>GC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TA>GG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TA>GT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>AA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>AG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>AT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>CA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>CG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>CT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>GG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TC>GT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>AA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>AC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>AT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>CA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>CC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>CT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>GC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TG>GT	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>AA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>AC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>AG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>CA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>CC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>CG	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>GA	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>GC	0.0	1.0	0.0	0.0	0.0
TCGA-3C-AALI-01	TT>GG	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>CA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>CG	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>CT	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>GA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>GG	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>GT	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>TA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>TG	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AC>TT	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AT>CA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AT>CC	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AT>CG	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AT>GA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AT>GC	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	AT>TA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	CC>AA	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	CC>AG	0.0	1.0	0.0	0.0	0.0
TCGA-5L-AAT0-01	CC>AT	0.0	1.0	0.0	0.0	0.0
