MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	2.92E-09	6.21E-04	5.66E-04	6.87E-04
1:Del:C:1	1.21E-02	4.40E-02	9.81E-03	2.68E-05
1:Del:C:2	8.99E-03	1.90E-02	2.77E-06	7.10E-07
1:Del:C:3	5.70E-03	7.80E-03	7.18E-07	2.48E-03
1:Del:C:4	4.70E-03	6.14E-03	1.83E-06	7.43E-03
1:Del:C:5	2.19E-03	4.01E-03	3.01E-06	7.58E-03
1:Del:T:0	3.04E-08	1.75E-04	1.62E-04	1.08E-04
1:Del:T:1	1.03E-02	2.91E-02	1.40E-05	5.95E-03
1:Del:T:2	9.33E-03	2.50E-02	1.11E-06	6.97E-07
1:Del:T:3	6.53E-03	9.85E-03	7.87E-07	2.74E-03
1:Del:T:4	5.67E-03	6.56E-03	2.25E-05	7.33E-03
1:Del:T:5	7.15E-03	1.28E-02	8.98E-07	1.96E-02
1:Ins:C:0	3.65E-05	7.30E-04	6.70E-04	8.47E-04
1:Ins:C:1	2.78E-09	3.73E-03	2.14E-03	2.87E-03
1:Ins:C:2	3.10E-09	1.71E-03	1.53E-03	1.45E-03
1:Ins:C:3	3.08E-09	1.58E-03	1.09E-03	1.21E-03
1:Ins:C:4	2.80E-09	3.06E-03	1.90E-03	2.35E-03
1:Ins:C:5	3.48E-09	3.70E-03	2.17E-03	4.94E-03
1:Ins:T:0	3.02E-09	2.17E-03	1.42E-03	1.10E-03
1:Ins:T:1	2.56E-09	1.04E-02	9.04E-03	8.64E-03
1:Ins:T:2	2.92E-09	2.85E-03	2.07E-03	3.75E-03
1:Ins:T:3	2.87E-09	2.51E-03	1.68E-03	1.83E-03
1:Ins:T:4	3.54E-09	6.22E-04	4.66E-04	7.59E-04
1:Ins:T:5	2.94E-09	1.26E-02	6.92E-03	1.27E-02
2:Del:R:0	2.53E-09	1.87E-02	1.40E-02	1.40E-02
2:Del:R:1	2.65E-09	1.01E-03	1.00E-03	1.41E-03
