MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.5493301160537005e-08	0.0014506957685651875	0.003595134448854272	0.0016131868091406431
1:Del:C:1	0.07039856813866739	0.30941638997675985	0.025015706594596548	2.9804076990558315e-05
1:Del:C:2	0.1497016035282286	0.03777437949602624	1.6266285203532977e-05	1.8817609420314814e-06
1:Del:C:3	0.14710033213098844	0.013859718515214562	3.001743091838686e-06	0.007052347306476274
1:Del:C:4	0.09143789613638849	0.009640408008962768	6.949434877393893e-06	0.03847688937821658
1:Del:C:5	0.01931388162871978	0.004945794845390398	9.669969513955341e-06	0.09874624037086809
1:Del:T:0	7.725801403068999e-08	0.0003400210592630515	0.0010469790255228872	0.00019856260044453695
1:Del:T:1	0.08256312196626822	0.118487873717811	4.744124867859985e-05	0.008612498143046802
1:Del:T:2	0.118330899112334	0.07851051748442235	7.747792686056225e-06	2.341082110509281e-06
1:Del:T:3	0.13836451623841034	0.017381787631455363	2.799663872584309e-06	0.00860793458179027
1:Del:T:4	0.11042571417347062	0.01026550371396553	2.7893068734859603e-05	0.03317393443115482
1:Del:T:5	0.07218863348462037	0.01640692347194772	1.5598872039390698e-06	0.21598524381612758
1:Ins:C:0	3.6555694592266263e-05	0.002221833050413598	0.00302587513178878	0.0025844600652798516
1:Ins:C:1	1.4717132253612894e-08	0.011844104587642571	0.00953688758957772	0.00928763233863729
1:Ins:C:2	2.1260310430667082e-08	0.004146791077211039	0.00866959144144251	0.005588484214699581
1:Ins:C:3	1.7144844536668795e-08	0.00420969634525008	0.007915963885655705	0.004721365411032726
1:Ins:C:4	1.6566934550136617e-08	0.010808068389579973	0.010023522868080666	0.00817948847458183
1:Ins:C:5	1.6723242050413017e-08	0.006608896930944574	0.0031252565026685867	0.052873763352896695
1:Ins:T:0	2.0662987469203625e-08	0.005789177228543944	0.013200395543268921	0.0031371130511615775
1:Ins:T:1	1.0669512654863193e-08	0.027064595965732727	0.05401572502496492	0.025413892506119376
1:Ins:T:2	1.4743325515265732e-08	0.0069418820746086855	0.007839805799115614	0.024256951110525903
1:Ins:T:3	1.3069722311816652e-08	0.00800731337787397	0.007501426383623766	0.010156244721219803
1:Ins:T:4	1.97302175190354e-08	0.001679097435942604	0.002010397349871103	0.004933599839750969
1:Ins:T:5	7.289659601876034e-09	0.03393974273799311	0.015241902206230406	0.1304109307589897
