Sample Names	MutationType	DBS1	DBS2	DBS4	DBS6	DBS11	DBS13	DBS17	DBS18	DBS20	DBS78I	DBS78K	DBS78N	DBS78O
PD3851a_non-exome	AC>CA	0.0	0.007680172781354934	0.0	0.0	0.0	0.0	0.9923198272186451	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CG	0.0	0.0075546670723361355	0.0	0.0	0.0	0.0	0.9924453329276639	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CT	0.0	0.003714149667438209	0.0	0.0	0.0	0.0	0.9962858503325618	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GA	0.0	0.005265683167024057	0.0	0.0	0.0	0.0	0.9947343168329758	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GG	0.0	2.2160582774789809e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GT	0.0	0.003914398419486459	0.0	0.0	0.0	0.0	0.9960856015805135	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TA	0.0	0.06823874022271859	0.0	0.0	0.0	0.0	0.9317612597772815	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TG	0.0	0.0003094701515795507	0.0	0.0	0.0	0.0	0.9996905298484203	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TT	0.0	0.06686483877139786	0.0	0.0	0.0	0.0	0.9331351612286021	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CA	0.0	0.001593488964744647	0.0	0.0	0.0	0.0	0.9984065110352554	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CC	0.0	2.5346538440872213e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CG	0.0	1.2616681613047266e-15	0.0	0.0	0.0	0.0	0.9999999999999988	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GA	0.0	0.005041615318714541	0.0	0.0	0.0	0.0	0.9949583846812854	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GC	0.0	0.0002293651571063109	0.0	0.0	0.0	0.0	0.9997706348428939	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>TA	0.0	0.015417413123547743	0.0	0.0	0.0	0.0	0.9845825868764523	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AA	0.0	0.9988658425526884	0.0	0.0	0.0	0.0	0.0011341574473114947	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AG	0.0	0.962467210858659	0.0	0.0	0.0	0.0	0.037532789141341	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AT	0.0	0.9832338205976867	0.0	0.0	0.0	0.0	0.016766179402313192	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GA	0.0	0.9101602776995195	0.0	0.0	0.0	0.0	0.08983972230048058	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GG	0.0	0.05523179285790134	0.0	0.0	0.0	0.0	0.9447682071420986	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GT	0.0	0.0474749249558814	0.0	0.0	0.0	0.0	0.9525250750441185	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TA	0.0	0.9593284443244651	0.0	0.0	0.0	0.0	0.04067155567553505	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TG	0.0	0.0032006721379984906	0.0	0.0	0.0	0.0	0.9967993278620015	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TT	0.0	2.1721974355568358e-15	0.0	0.0	0.0	0.0	0.9999999999999979	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>AT	0.0	0.1641048885221325	0.0	0.0	0.0	0.0	0.8358951114778675	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>GC	0.0	0.06343447246047612	0.0	0.0	0.0	0.0	0.9365655275395237	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>GT	0.0	0.10333084539857933	0.0	0.0	0.0	0.0	0.8966691546014207	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TA	0.0	3.0559459425392263e-16	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TC	0.0	0.1405206038467577	0.0	0.0	0.0	0.0	0.8594793961532424	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TT	0.0	0.16207523018190637	0.0	0.0	0.0	0.0	0.8379247698180936	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AA	0.0	0.11672768852179431	0.0	0.0	0.0	0.0	0.8832723114782056	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AC	0.0	1.2241471689101453e-16	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AG	0.0	0.030029889028981724	0.0	0.0	0.0	0.0	0.9699701109710182	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GA	0.0	0.0014032508541417387	0.0	0.0	0.0	0.0	0.9985967491458583	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GC	0.0	0.00515068135875539	0.0	0.0	0.0	0.0	0.9948493186412446	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GG	0.0	0.004941853970086264	0.0	0.0	0.0	0.0	0.9950581460299137	0.0	0.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>TA	0.0	0.6136593462425035	0.0	0.0	0.0	0.0	0.38634065375749643	0.0	0.0	0.0	0.0	0.0	0.0
