Sample Names	MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
PD3851a_non-exome	AC>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007527257083076407	0.0	0.0	0.0	0.9992472742916924
PD3851a_non-exome	AC>CG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5633403426722869	0.0	0.0	0.0	0.43665965732771295
PD3851a_non-exome	AC>CT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9989390795293948	0.0	0.0	0.0	0.0010609204706053046
PD3851a_non-exome	AC>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999223125495869	0.0	0.0	0.0	7.768745041308048e-05
PD3851a_non-exome	AC>GG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5817973797946828	0.0	0.0	0.0	0.41820262020531723
PD3851a_non-exome	AC>GT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5372303732374135	0.0	0.0	0.0	0.4627696267625864
PD3851a_non-exome	AC>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017606981072857414	0.0	0.0	0.0	0.9998239301892714
PD3851a_non-exome	AC>TG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9989774563388439	0.0	0.0	0.0	0.0010225436611561013
PD3851a_non-exome	AC>TT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41038211263685526	0.0	0.0	0.0	0.5896178873631447
PD3851a_non-exome	AT>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39383274756549713	0.0	0.0	0.0	0.6061672524345029
PD3851a_non-exome	AT>CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5817973797946828	0.0	0.0	0.0	0.41820262020531723
PD3851a_non-exome	AT>CG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5817973797946828	0.0	0.0	0.0	0.41820262020531723
PD3851a_non-exome	AT>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9995653612733918	0.0	0.0	0.0	0.0004346387266082015
PD3851a_non-exome	AT>GC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5817973797946828	0.0	0.0	0.0	0.41820262020531723
PD3851a_non-exome	AT>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9993925552147581	0.0	0.0	0.0	0.0006074447852419629
PD3851a_non-exome	CC>AA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9621330478347835	0.0	0.0	0.0	0.03786695216521658
PD3851a_non-exome	CC>AG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40014545207787194	0.0	0.0	0.0	0.5998545479221281
PD3851a_non-exome	CC>AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5024194948007931	0.0	0.0	0.0	0.49758050519920705
PD3851a_non-exome	CC>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7405216594911526	0.0	0.0	0.0	0.2594783405088474
PD3851a_non-exome	CC>GG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598880434666325	0.0	0.0	0.0	0.40111956533367504
PD3851a_non-exome	CC>GT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097412181001577	0.0	0.0	0.0	0.902587818998423
PD3851a_non-exome	CC>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3731698204272744	0.0	0.0	0.0	0.6268301795727255
PD3851a_non-exome	CC>TG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5902395035645617	0.0	0.0	0.0	0.40976049643543844
PD3851a_non-exome	CC>TT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31161796802658664	0.0	0.0	0.0	0.6883820319734133
PD3851a_non-exome	CG>AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9991896293060063	0.0	0.0	0.0	0.0008103706939936973
PD3851a_non-exome	CG>GC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5817973797946828	0.0	0.0	0.0	0.41820262020531723
PD3851a_non-exome	CG>GT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011707437162367907	0.0	0.0	0.0	0.9998829256283763
PD3851a_non-exome	CG>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036282994256171293	0.0	0.0	0.0	0.9996371700574382
