MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	9.85E-04	3.93E-03	4.29E-06	6.51E-03	8.76E-07	9.00E-03
AC>CG	2.27E-07	2.04E-03	1.49E-03	5.14E-07	9.77E-07	1.38E-06
AC>CT	4.06E-03	3.23E-03	4.53E-07	2.25E-03	2.58E-03	3.25E-03
AC>GA	3.40E-03	2.03E-07	3.47E-07	2.27E-03	4.50E-03	2.40E-03
AC>GG	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
AC>GT	8.77E-04	1.95E-03	2.30E-07	1.98E-06	1.87E-06	4.52E-03
AC>TA	1.16E-03	1.01E-02	1.91E-07	1.11E-02	3.91E-03	1.56E-06
AC>TG	2.32E-03	3.92E-07	3.23E-07	3.23E-03	1.48E-06	1.49E-06
AC>TT	9.88E-04	4.78E-03	3.20E-03	4.10E-03	1.60E-03	5.07E-03
AT>CA	9.88E-04	5.64E-03	2.03E-07	5.03E-07	7.77E-03	9.04E-03
AT>CC	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
AT>CG	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
AT>GA	4.01E-03	2.87E-07	2.75E-03	3.83E-03	1.84E-03	3.42E-04
AT>GC	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
AT>TA	2.06E-03	1.74E-03	6.91E-08	2.15E-03	3.34E-03	2.42E-03
CC>AA	2.12E-02	1.37E-02	5.19E-03	1.96E-02	3.53E-02	2.27E-02
CC>AG	7.21E-03	1.08E-02	6.34E-03	6.30E-03	9.97E-03	8.99E-03
CC>AT	1.60E-02	4.31E-03	9.76E-03	2.35E-02	1.46E-02	1.23E-02
CC>GA	7.16E-03	1.66E-02	4.19E-03	1.92E-02	7.08E-03	1.12E-02
CC>GG	2.08E-06	6.13E-03	3.12E-07	4.64E-03	1.84E-03	1.06E-06
CC>GT	1.43E-06	3.81E-03	1.42E-02	1.69E-06	9.10E-03	4.61E-02
CC>TA	6.20E-03	2.54E-07	8.25E-03	8.89E-03	3.14E-03	2.82E-06
CC>TG	1.75E-03	3.87E-07	1.61E-03	4.95E-07	1.35E-06	7.03E-07
CC>TT	3.95E-03	4.48E-03	3.52E-02	2.30E-02	5.74E-03	1.11E-02
CG>AT	9.88E-04	1.95E-03	1.60E-07	5.70E-07	1.12E-06	2.26E-03
CG>GC	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
CG>GT	1.22E-03	3.20E-07	2.16E-07	3.35E-07	9.61E-03	3.25E-03
CG>TA	4.79E-03	4.14E-03	2.44E-03	6.41E-03	8.02E-03	4.52E-03
CG>TC	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
CG>TT	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
CT>AA	3.03E-03	4.87E-03	8.38E-03	1.24E-02	1.51E-02	8.88E-03
CT>AC	3.68E-03	1.44E-03	1.43E-07	1.65E-03	1.09E-03	4.51E-03
CT>AG	2.74E-07	6.32E-03	2.31E-07	1.27E-02	8.81E-03	6.78E-03
CT>GA	2.48E-03	2.88E-03	1.04E-07	1.39E-03	8.73E-07	2.42E-03
CT>GC	1.97E-03	1.77E-03	2.04E-03	4.31E-07	7.27E-04	1.76E-03
CT>GG	7.97E-04	2.62E-03	1.50E-03	5.72E-07	1.36E-06	3.25E-03
CT>TA	6.11E-03	1.11E-03	1.18E-02	1.47E-02	2.30E-03	3.26E-06
CT>TC	1.08E-07	3.26E-07	2.65E-03	8.55E-03	9.94E-03	2.30E-02
CT>TG	5.28E-07	7.46E-03	3.07E-07	4.01E-07	5.21E-03	7.67E-03
GC>AA	2.21E-02	1.26E-02	1.04E-02	8.22E-03	1.43E-02	1.73E-02
GC>AG	3.87E-03	3.07E-07	2.60E-03	1.18E-02	9.49E-03	1.07E-02
GC>AT	1.54E-03	2.24E-03	2.79E-03	1.12E-02	9.58E-03	8.46E-03
GC>CA	2.07E-07	6.50E-03	1.95E-03	2.14E-03	9.97E-04	9.83E-03
GC>CG	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
