Sample Names	MutationType	DBS1	DBS2	DBS4	DBS6	DBS13
PD3851a_non-exome	AC>CA	0.0	0.08283531918964308	0.9171646808103568	0.0	0.0
PD3851a_non-exome	AC>CG	0.0	0.3899138991389914	0.6100861008610086	0.0	0.0
PD3851a_non-exome	AC>CT	0.0	0.9999999999999339	6.601759940329811e-14	0.0	0.0
PD3851a_non-exome	AC>GA	0.0	0.051099110502553974	0.9489008894974459	0.0	0.0
PD3851a_non-exome	AC>GG	0.0	0.37298747763864043	0.6270125223613596	0.0	0.0
PD3851a_non-exome	AC>GT	0.0	0.9999600100260577	3.998997394224734e-05	0.0	0.0
PD3851a_non-exome	AC>TA	0.0	0.5381228500085246	0.46187714999147544	0.0	0.0
PD3851a_non-exome	AC>TG	0.0	0.10696266397578204	0.893037336024218	0.0	0.0
PD3851a_non-exome	AC>TT	0.0	0.9477325753077046	0.052267424692295464	0.0	0.0
PD3851a_non-exome	AT>CA	0.0	0.03961387994898403	0.960386120051016	0.0	0.0
PD3851a_non-exome	AT>CC	0.0	0.3733213965980305	0.6266786034019696	0.0	0.0
PD3851a_non-exome	AT>CG	0.0	0.30594277329420394	0.694057226705796	0.0	0.0
PD3851a_non-exome	AT>GA	0.0	0.3414109849831667	0.6585890150168332	0.0	0.0
PD3851a_non-exome	AT>GC	0.0	0.24946695095948826	0.7505330490405117	0.0	0.0
PD3851a_non-exome	AT>TA	0.0	0.09180063280929211	0.9081993671907078	0.0	0.0
PD3851a_non-exome	CC>AA	0.0	1.0	9.666462335144596e-18	0.0	0.0
PD3851a_non-exome	CC>AG	0.0	0.9303960411338682	0.0696039588661318	0.0	0.0
PD3851a_non-exome	CC>AT	0.0	0.8642764444751754	0.13572355552482454	0.0	0.0
PD3851a_non-exome	CC>GA	0.0	0.8329081930897456	0.16709180691025444	0.0	0.0
PD3851a_non-exome	CC>GG	0.0	0.8604459992926715	0.13955400070732848	0.0	0.0
PD3851a_non-exome	CC>GT	0.0	0.9322957666635879	0.0677042333364121	0.0	0.0
PD3851a_non-exome	CC>TA	0.0	0.989484255133502	0.01051574486649797	0.0	0.0
PD3851a_non-exome	CC>TG	0.0	0.9661707764418177	0.033829223558182187	0.0	0.0
PD3851a_non-exome	CC>TT	0.0	0.3733213965980305	0.6266786034019696	0.0	0.0
PD3851a_non-exome	CG>AT	0.0	0.7985730085193211	0.20142699148067897	0.0	0.0
PD3851a_non-exome	CG>GC	0.0	0.9863701233102962	0.013629876689703831	0.0	0.0
PD3851a_non-exome	CG>GT	0.0	0.9999999999999946	5.467592408169804e-15	0.0	0.0
PD3851a_non-exome	CG>TA	0.0	0.3733213965980305	0.6266786034019696	0.0	0.0
PD3851a_non-exome	CG>TC	0.0	0.9999999999999968	3.2551250781811193e-15	0.0	0.0
PD3851a_non-exome	CG>TT	0.0	0.9390169998711657	0.06098300012883423	0.0	0.0
PD3851a_non-exome	CT>AA	0.0	0.9999999999999979	2.1802241831089263e-15	0.0	0.0
PD3851a_non-exome	CT>AC	0.0	0.3733213965980305	0.6266786034019696	0.0	0.0
PD3851a_non-exome	CT>AG	0.0	0.6178386108617712	0.3821613891382288	0.0	0.0
PD3851a_non-exome	CT>GA	0.0	0.026178691991055856	0.9738213080089441	0.0	0.0
PD3851a_non-exome	CT>GC	0.0	0.6499020501580774	0.35009794984192255	0.0	0.0
PD3851a_non-exome	CT>GG	0.0	0.08836712703512545	0.9116328729648746	0.0	0.0
PD3851a_non-exome	CT>TA	0.0	0.999999999999998	2.0705679124090574e-15	0.0	0.0
PD3851a_non-exome	CT>TC	0.0	0.9999999999998177	1.8229166666663345e-13	0.0	0.0
PD3851a_non-exome	CT>TG	0.0	0.9268205178161152	0.07317948218388483	0.0	0.0
