Sample Names	MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
PD3851a_non-exome	AC>CA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>CT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>GT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AC>TT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CC	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>CG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>GC	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	AT>TA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>AT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>GT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CC>TT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>AT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>GC	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>GT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TC	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CG>TT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AC	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>AG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GC	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>GG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD3851a_non-exome	CT>TA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
