MutationType	DBS78A	DBS78B	DBS78C
AC>CA	0.00235571	0.00278250	0.00432585
AC>CG	0.00000059	0.00577094	0.00628031
AC>CT	0.00615160	0.00661330	0.00111609
AC>GA	0.01121647	0.00205889	0.00000081
AC>GG	0.00000195	0.00000330	0.00000258
AC>GT	0.00306676	0.00055653	0.00000113
AC>TA	0.00672865	0.01908454	0.00107322
AC>TG	0.00411421	0.00217396	0.00000112
AC>TT	0.00417933	0.00217164	0.01852147
AT>CA	0.00114176	0.00665443	0.00142065
AT>CC	0.00000195	0.00000330	0.00000258
AT>CG	0.00000195	0.00000330	0.00000258
AT>GA	0.00666610	0.00047774	0.00103871
AT>GC	0.00000195	0.00000330	0.00000258
AT>TA	0.00210708	0.00825054	0.00000161
CC>AA	0.21200987	0.09804270	0.02759818
CC>AG	0.03327039	0.03455974	0.01532821
CC>AT	0.08216173	0.03369851	0.03300766
CC>GA	0.01893125	0.04177417	0.00282884
CC>GG	0.00086622	0.00723876	0.00000088
CC>GT	0.00075107	0.01642397	0.05905545
CC>TA	0.00861656	0.00000154	0.04644273
CC>TG	0.00300067	0.00000102	0.00852149
CC>TT	0.02644013	0.01373227	0.21894424
CG>AT	0.00128491	0.00000257	0.00000223
CG>GC	0.00000195	0.00000330	0.00000258
CG>GT	0.00290243	0.00217571	0.00000162
CG>TA	0.00000086	0.02117417	0.00683422
CG>TC	0.00000195	0.00000330	0.00000258
CG>TT	0.00000195	0.00000330	0.00000258
CT>AA	0.02256858	0.01663040	0.02660687
CT>AC	0.00456806	0.00000190	0.00000161
CT>AG	0.01268076	0.04521032	0.00000032
CT>GA	0.00413233	0.00990040	0.00000080
CT>GC	0.00000052	0.00853612	0.00979317
CT>GG	0.00304661	0.00830723	0.01207365
CT>TA	0.01660147	0.00174568	0.06658296
CT>TC	0.00000116	0.00062966	0.02423515
CT>TG	0.00215492	0.00943792	0.00594006
GC>AA	0.06135004	0.03283881	0.02987002
GC>AG	0.04351597	0.01761792	0.00850952
GC>AT	0.00518906	0.02187474	0.00604140
GC>CA	0.00341044	0.01476154	0.01219590
GC>CG	0.00000195	0.00000330	0.00000258
GC>TA	0.00262789	0.00895263	0.00000095
TA>AT	0.01043534	0.00522125	0.01156614
TA>CG	0.00000110	0.00611266	0.00096584
TA>CT	0.00591309	0.03448408	0.00288076
TA>GC	0.00000195	0.00000330	0.00000258
TA>GG	0.00000103	0.00500563	0.00311481
TA>GT	0.00752487	0.00075032	0.00000084
TC>AA	0.09499147	0.08492603	0.01485566
TC>AG	0.00400011	0.00795524	0.06369256
TC>AT	0.04654730	0.01728101	0.12591398
TC>CA	0.03362360	0.03748544	0.00325230
TC>CG	0.00301717	0.00572596	0.00406611
TC>CT	0.02046777	0.00948756	0.03198667
TC>GA	0.02178926	0.01840583	0.00000058
TC>GG	0.00000085	0.00460840	0.00549704
TC>GT	0.00139207	0.01115303	0.00634934
TG>AA	0.00733172	0.00481757	0.00000056
TG>AC	0.00212011	0.00087104	0.00000198
TG>AT	0.03207510	0.02243190	0.00807439
TG>CA	0.02025154	0.01761599	0.00630193
TG>CC	0.00513152	0.00495949	0.00264229
TG>CT	0.05116526	0.11142729	0.00579381
TG>GA	0.00000136	0.00358920	0.00000158
TG>GC	0.00000094	0.00619040	0.00157027
TG>GT	0.00106096	0.01822357	0.00873142
TT>AA	0.00372710	0.02295744	0.00943095
TT>AC	0.00000197	0.00405052	0.00000183
TT>AG	0.00400091	0.00368421	0.00566758
TT>CA	0.00000110	0.00000243	0.00601482
TT>CC	0.00219454	0.00000162	0.00747884
TT>CG	0.00043316	0.00570999	0.00095617
TT>GA	0.00000195	0.00000330	0.00000258
TT>GC	0.00000186	0.00223999	0.00896224
TT>GG	0.00096420	0.00072645	0.00000182
