Sample Names	MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
PD3851a_non-exome	AC>CA	0.0	0.0	0.0	0.0	0.0	0.3179015090286739	0.0	0.0	0.0	0.0	0.6820984909713261	0.0	0.0
PD3851a_non-exome	AC>CG	0.0	0.0	0.0	0.0	0.0	0.3584833632019595	0.0	0.0	0.0	0.0	0.6415166367980405	0.0	0.0
PD3851a_non-exome	AC>CT	0.0	0.0	0.0	0.0	0.0	0.00036874143853661274	0.0	0.0	0.0	0.0	0.9996312585614634	0.0	0.0
PD3851a_non-exome	AC>GA	0.0	0.0	0.0	0.0	0.0	0.5146998839686716	0.0	0.0	0.0	0.0	0.4853001160313283	0.0	0.0
PD3851a_non-exome	AC>GG	0.0	0.0	0.0	0.0	0.0	0.37597352781997334	0.0	0.0	0.0	0.0	0.6240264721800266	0.0	0.0
PD3851a_non-exome	AC>GT	0.0	0.0	0.0	0.0	0.0	0.3735506172301277	0.0	0.0	0.0	0.0	0.6264493827698724	0.0	0.0
PD3851a_non-exome	AC>TA	0.0	0.0	0.0	0.0	0.0	0.0009734530265114213	0.0	0.0	0.0	0.0	0.9990265469734886	0.0	0.0
PD3851a_non-exome	AC>TG	0.0	0.0	0.0	0.0	0.0	0.32900540270106265	0.0	0.0	0.0	0.0	0.6709945972989374	0.0	0.0
PD3851a_non-exome	AC>TT	0.0	0.0	0.0	0.0	0.0	0.00013600579732473369	0.0	0.0	0.0	0.0	0.9998639942026752	0.0	0.0
PD3851a_non-exome	AT>CA	0.0	0.0	0.0	0.0	0.0	0.00044038378043093605	0.0	0.0	0.0	0.0	0.999559616219569	0.0	0.0
PD3851a_non-exome	AT>CC	0.0	0.0	0.0	0.0	0.0	0.3759734804330431	0.0	0.0	0.0	0.0	0.6240265195669569	0.0	0.0
PD3851a_non-exome	AT>CG	0.0	0.0	0.0	0.0	0.0	0.3759734761251399	0.0	0.0	0.0	0.0	0.62402652387486	0.0	0.0
PD3851a_non-exome	AT>GA	0.0	0.0	0.0	0.0	0.0	0.22515067665383454	0.0	0.0	0.0	0.0	0.7748493233461655	0.0	0.0
PD3851a_non-exome	AT>GC	0.0	0.0	0.0	0.0	0.0	0.37597351058836315	0.0	0.0	0.0	0.0	0.6240264894116369	0.0	0.0
PD3851a_non-exome	AT>TA	0.0	0.0	0.0	0.0	0.0	0.3163489856910294	0.0	0.0	0.0	0.0	0.6836510143089705	0.0	0.0
PD3851a_non-exome	CC>AA	0.0	0.0	0.0	0.0	0.0	0.7526342203189448	0.0	0.0	0.0	0.0	0.24736577968105528	0.0	0.0
PD3851a_non-exome	CC>AG	0.0	0.0	0.0	0.0	0.0	1.912972528281129e-05	0.0	0.0	0.0	0.0	0.9999808702747172	0.0	0.0
PD3851a_non-exome	CC>AT	0.0	0.0	0.0	0.0	0.0	1.5752106925255914e-06	0.0	0.0	0.0	0.0	0.9999984247893074	0.0	0.0
PD3851a_non-exome	CC>GA	0.0	0.0	0.0	0.0	0.0	0.4654256524616585	0.0	0.0	0.0	0.0	0.5345743475383415	0.0	0.0
PD3851a_non-exome	CC>GG	0.0	0.0	0.0	0.0	0.0	0.37116436069829367	0.0	0.0	0.0	0.0	0.6288356393017065	0.0	0.0
PD3851a_non-exome	CC>GT	0.0	0.0	0.0	0.0	0.0	0.5222812317064166	0.0	0.0	0.0	0.0	0.4777187682935833	0.0	0.0
PD3851a_non-exome	CC>TA	0.0	0.0	0.0	0.0	0.0	0.00011503978719823289	0.0	0.0	0.0	0.0	0.9998849602128018	0.0	0.0
PD3851a_non-exome	CC>TG	0.0	0.0	0.0	0.0	0.0	0.38007301224294526	0.0	0.0	0.0	0.0	0.6199269877570548	0.0	0.0
PD3851a_non-exome	CC>TT	0.0	0.0	0.0	0.0	0.0	0.6208040834626283	0.0	0.0	0.0	0.0	0.3791959165373717	0.0	0.0
PD3851a_non-exome	CG>AT	0.0	0.0	0.0	0.0	0.0	0.0010005450693257522	0.0	0.0	0.0	0.0	0.9989994549306743	0.0	0.0
PD3851a_non-exome	CG>GC	0.0	0.0	0.0	0.0	0.0	0.3759734890488491	0.0	0.0	0.0	0.0	0.6240265109511509	0.0	0.0
PD3851a_non-exome	CG>GT	0.0	0.0	0.0	0.0	0.0	0.00015426379960281958	0.0	0.0	0.0	0.0	0.9998457362003972	0.0	0.0
PD3851a_non-exome	CG>TA	0.0	0.0	0.0	0.0	0.0	0.0001089605469178305	0.0	0.0	0.0	0.0	0.9998910394530821	0.0	0.0
PD3851a_non-exome	CG>TC	0.0	0.0	0.0	0.0	0.0	0.3759734804330431	0.0	0.0	0.0	0.0	0.6240265195669569	0.0	0.0
PD3851a_non-exome	CG>TT	0.0	0.0	0.0	0.0	0.0	0.3759734804330431	0.0	0.0	0.0	0.0	0.6240265195669569	0.0	0.0
PD3851a_non-exome	CT>AA	0.0	0.0	0.0	0.0	0.0	0.2766302583113953	0.0	0.0	0.0	0.0	0.7233697416886047	0.0	0.0
PD3851a_non-exome	CT>AC	0.0	0.0	0.0	0.0	0.0	0.0002472977217612261	0.0	0.0	0.0	0.0	0.9997527022782388	0.0	0.0
PD3851a_non-exome	CT>AG	0.0	0.0	0.0	0.0	0.0	0.3587269428172518	0.0	0.0	0.0	0.0	0.6412730571827482	0.0	0.0
PD3851a_non-exome	CT>GA	0.0	0.0	0.0	0.0	0.0	0.0008958582798599551	0.0	0.0	0.0	0.0	0.9991041417201401	0.0	0.0
PD3851a_non-exome	CT>GC	0.0	0.0	0.0	0.0	0.0	0.32382328259712706	0.0	0.0	0.0	0.0	0.676176717402873	0.0	0.0
PD3851a_non-exome	CT>GG	0.0	0.0	0.0	0.0	0.0	0.2582261079769048	0.0	0.0	0.0	0.0	0.7417738920230952	0.0	0.0
PD3851a_non-exome	CT>TA	0.0	0.0	0.0	0.0	0.0	0.2642361213265434	0.0	0.0	0.0	0.0	0.7357638786734566	0.0	0.0
PD3851a_non-exome	CT>TC	0.0	0.0	0.0	0.0	0.0	0.9999001917354372	0.0	0.0	0.0	0.0	9.98082645628215e-05	0.0	0.0
PD3851a_non-exome	CT>TG	0.0	0.0	0.0	0.0	0.0	0.23535594428811163	0.0	0.0	0.0	0.0	0.7646440557118883	0.0	0.0
PD3851a_non-exome	GC>AA	0.0	0.0	0.0	0.0	0.0	0.7198149115810969	0.0	0.0	0.0	0.0	0.28018508841890316	0.0	0.0
PD3851a_non-exome	GC>AG	0.0	0.0	0.0	0.0	0.0	1.2054334818071622e-05	0.0	0.0	0.0	0.0	0.999987945665182	0.0	0.0
PD3851a_non-exome	GC>AT	0.0	0.0	0.0	0.0	0.0	5.586551567230753e-05	0.0	0.0	0.0	0.0	0.9999441344843276	0.0	0.0
PD3851a_non-exome	GC>CA	0.0	0.0	0.0	0.0	0.0	0.0004477593233085806	0.0	0.0	0.0	0.0	0.9995522406766915	0.0	0.0
PD3851a_non-exome	GC>CG	0.0	0.0	0.0	0.0	0.0	0.3759734890488491	0.0	0.0	0.0	0.0	0.6240265109511509	0.0	0.0
PD3851a_non-exome	GC>TA	0.0	0.0	0.0	0.0	0.0	7.290246899494198e-05	0.0	0.0	0.0	0.0	0.9999270975310051	0.0	0.0
PD3851a_non-exome	TA>AT	0.0	0.0	0.0	0.0	0.0	0.0005461750874451478	0.0	0.0	0.0	0.0	0.9994538249125549	0.0	0.0
PD3851a_non-exome	TA>CG	0.0	0.0	0.0	0.0	0.0	0.350719339305929	0.0	0.0	0.0	0.0	0.6492806606940711	0.0	0.0
PD3851a_non-exome	TA>CT	0.0	0.0	0.0	0.0	0.0	0.22240719621400873	0.0	0.0	0.0	0.0	0.7775928037859912	0.0	0.0
PD3851a_non-exome	TA>GC	0.0	0.0	0.0	0.0	0.0	0.37597349335675206	0.0	0.0	0.0	0.0	0.624026506643248	0.0	0.0
PD3851a_non-exome	TA>GG	0.0	0.0	0.0	0.0	0.0	0.33850178810738524	0.0	0.0	0.0	0.0	0.6614982118926147	0.0	0.0
PD3851a_non-exome	TA>GT	0.0	0.0	0.0	0.0	0.0	6.629820866548715e-05	0.0	0.0	0.0	0.0	0.9999337017913345	0.0	0.0
PD3851a_non-exome	TC>AA	0.0	0.0	0.0	0.0	0.0	0.8995803447606543	0.0	0.0	0.0	0.0	0.10041965523934564	0.0	0.0
PD3851a_non-exome	TC>AG	0.0	0.0	0.0	0.0	0.0	0.4914448821756088	0.0	0.0	0.0	0.0	0.5085551178243912	0.0	0.0
PD3851a_non-exome	TC>AT	0.0	0.0	0.0	0.0	0.0	2.2070336964937434e-09	0.0	0.0	0.0	0.0	0.9999999977929663	0.0	0.0
PD3851a_non-exome	TC>CA	0.0	0.0	0.0	0.0	0.0	0.9993570287820819	0.0	0.0	0.0	0.0	0.0006429712179180848	0.0	0.0
PD3851a_non-exome	TC>CG	0.0	0.0	0.0	0.0	0.0	0.00021784905733739058	0.0	0.0	0.0	0.0	0.9997821509426627	0.0	0.0
PD3851a_non-exome	TC>CT	0.0	0.0	0.0	0.0	0.0	2.0582875682261553e-05	0.0	0.0	0.0	0.0	0.9999794171243178	0.0	0.0
PD3851a_non-exome	TC>GA	0.0	0.0	0.0	0.0	0.0	0.30369460698694317	0.0	0.0	0.0	0.0	0.6963053930130568	0.0	0.0
PD3851a_non-exome	TC>GG	0.0	0.0	0.0	0.0	0.0	0.29815685103198236	0.0	0.0	0.0	0.0	0.7018431489680176	0.0	0.0
PD3851a_non-exome	TC>GT	0.0	0.0	0.0	0.0	0.0	4.15564463092396e-05	0.0	0.0	0.0	0.0	0.9999584435536907	0.0	0.0
PD3851a_non-exome	TG>AA	0.0	0.0	0.0	0.0	0.0	0.000460848507300946	0.0	0.0	0.0	0.0	0.9995391514926991	0.0	0.0
PD3851a_non-exome	TG>AC	0.0	0.0	0.0	0.0	0.0	0.36077509022967186	0.0	0.0	0.0	0.0	0.6392249097703282	0.0	0.0
PD3851a_non-exome	TG>AT	0.0	0.0	0.0	0.0	0.0	0.034935864889109776	0.0	0.0	0.0	0.0	0.9650641351108903	0.0	0.0
