MutationType	DBS1	DBS2	DBS4	DBS6	DBS13
AC>CA	0.00004970	0.00037408	0.00414186	0.00266057	0.00215512
AC>CG	0.00002640	0.00003170	0.00004960	0.00014603	0.00005150
AC>CT	0.00429109	0.00012603	0.00000000	0.00024005	0.00285340
AC>GA	0.00012703	0.00023705	0.00440197	0.00858184	0.00276230
AC>GG	0.00005710	0.00000000	0.00000000	0.00010402	0.00146431
AC>GT	0.00296075	0.00028006	0.00000001	0.00013203	0.00443944
AC>TA	0.00120031	0.00148031	0.00127057	0.01010217	0.00257991
AC>TG	0.00017204	0.00000636	0.00005310	0.00044910	0.00428449
AC>TT	0.02650674	0.00292062	0.00016107	0.00318068	0.01573974
AT>CA	0.00048212	0.00003780	0.00091641	0.00011402	0.00420812
AT>CC	0.00029708	0.00000000	0.00000000	0.00006390	0.00100803
AT>CG	0.00000398	0.00000000	0.00000000	0.00000182	0.00000233
AT>GA	0.00212054	0.00016804	0.00032415	0.00162035	0.00213368
AT>GC	0.00017404	0.00000585	0.00001760	0.00001720	0.00030030
AT>TA	0.00234060	0.00045810	0.00453203	0.00220047	0.01051729
CC>AA	0.00001060	0.72415324	0.00000000	0.00000000	0.00000051
CC>AG	0.00001230	0.07261537	0.00543244	0.06161322	0.01167958
CC>AT	0.01870475	0.10002116	0.01570704	0.00043809	0.04328139
CC>GA	0.00013403	0.01770375	0.00355159	0.03550762	0.00001040
CC>GG	0.00009820	0.00045010	0.00007300	0.01810389	0.00076944
CC>GT	0.00692176	0.00110023	0.00007990	0.00344074	0.02345453
CC>TA	0.01040264	0.01600339	0.00017008	0.00222048	0.04135706
CC>TG	0.00255065	0.00023705	0.00000830	0.00687147	0.00954473
CC>TT	0.85821813	0.00000000	0.00000000	0.00000000	0.00009970
CG>AT	0.00000060	0.00115024	0.00029013	0.00754162	0.00041279
CG>GC	0.00000542	0.00036908	0.00000510	0.00059013	0.00117069
CG>GT	0.00000170	0.00128027	0.00000000	0.00322069	0.00236357
CG>TA	0.00035609	0.00000000	0.00000000	0.00000000	0.00065557
CG>TC	0.00001260	0.00215045	0.00000000	0.00891191	0.00221426
CG>TT	0.00012403	0.00556118	0.00036116	0.01870401	0.00164313
CT>AA	0.00002770	0.00321068	0.00000000	0.00448096	0.06168987
CT>AC	0.00041911	0.00000000	0.00000000	0.00195042	0.02589689
CT>AG	0.00000000	0.00058712	0.00036316	0.03950848	0.01328834
CT>GA	0.00008920	0.00001810	0.00067330	0.00734158	0.00109409
CT>GC	0.00025206	0.00013403	0.00007220	0.00179038	0.00388039
CT>GG	0.00001080	0.00008980	0.00092641	0.00681146	0.00264999
CT>TA	0.00781198	0.00338071	0.00000000	0.00008840	0.03108580
CT>TC	0.01050267	0.00003840	0.00000000	0.00000000	0.00851099
CT>TG	0.00224057	0.00039008	0.00003080	0.01120240	0.00391349
GC>AA	0.00158040	0.00508108	0.32814716	0.00000000	0.00000003
GC>AG	0.00010703	0.00032507	0.01130507	0.00366079	0.01696915
GC>AT	0.00004870	0.00095320	0.00924415	0.00188040	0.01737239
GC>CA	0.00005760	0.00106022	0.01190534	0.00869187	0.01039921
GC>CG	0.00000515	0.00006690	0.00000098	0.00000000	0.00086487
GC>TA	0.00000083	0.00073616	0.01770794	0.00082918	0.00003390
TA>AT	0.00050513	0.00275058	0.03041364	0.00857184	0.00624589
TA>CG	0.00000755	0.00001890	0.00038918	0.00025906	0.00024471
TA>CT	0.00070218	0.00028006	0.00872391	0.02610560	0.01638484
TA>GC	0.00002010	0.00008220	0.00007020	0.00026406	0.00012677
TA>GG	0.00007030	0.00007890	0.00222100	0.00021805	0.00059345
TA>GT	0.00115029	0.00130028	0.00806362	0.00006250	0.00614737
TC>AA	0.00001090	0.00145031	0.37917005	0.04580983	0.06810894
TC>AG	0.00000309	0.00020004	0.00187084	0.00828178	0.06721666
TC>AT	0.00246063	0.00000000	0.00841377	0.00059413	0.15791239
TC>CA	0.00000442	0.00068214	0.08463796	0.01180253	0.03750799
TC>CG	0.00003300	0.00000389	0.00040018	0.00086219	0.00722690
TC>CT	0.00190048	0.00335071	0.00000828	0.00939202	0.03250165
TC>GA	0.00006420	0.00088519	0.03641633	0.00734158	0.01158433
TC>GG	0.00041110	0.00000987	0.00001040	0.00151032	0.01538438
TC>GT	0.00510130	0.00008570	0.00000000	0.00000000	0.03331173
TG>AA	0.00137035	0.00296063	0.00763342	0.02550547	0.01924088
TG>AC	0.00023706	0.00022005	0.00011805	0.01010217	0.00442355
TG>AT	0.00241061	0.00429091	0.00000000	0.22104743	0.01851971
TG>CA	0.00027907	0.00014403	0.00080436	0.01140245	0.02863780
TG>CC	0.00010303	0.00005940	0.00012005	0.00789169	0.00520651
TG>CT	0.00185047	0.00307065	0.00008210	0.27505902	0.01650479
TG>GA	0.00040710	0.00147031	0.00785352	0.00744160	0.00610512
TG>GC	0.00008890	0.00027206	0.00060427	0.00560120	0.00219436
TG>GT	0.00190048	0.00640136	0.00003230	0.02740588	0.01916183
TT>AA	0.00549140	0.00431091	0.00001800	0.00019304	0.01318549
TT>AC	0.00072018	0.00034507	0.00000066	0.00012803	0.00147249
TT>AG	0.00041811	0.00021505	0.00000000	0.00212045	0.00579217
TT>CA	0.00072518	0.00000000	0.00000000	0.00000000	0.00380848
TT>CC	0.00542138	0.00000298	0.00000000	0.00000000	0.00000105
TT>CG	0.00008380	0.00001520	0.00000000	0.00001120	0.00085676
TT>GA	0.00186047	0.00004790	0.00000000	0.00000000	0.00282684
TT>GC	0.00106027	0.00000154	0.00000000	0.00000041	0.00075511
TT>GG	0.00161041	0.00000000	0.00000000	0.00000000	0.00000232
