MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	1.8446772405885289e-09	0.004109968044918588	0.0006077475587659365	0.0008150060863073349	0.003067767174798064	0.001641873868872305
1:Del:C:1	0.021850574995733042	1.7336034951161612e-05	0.6486334542433421	2.0676784941997548e-06	0.012980073418339089	6.490643180582604e-06
1:Del:C:2	0.14558652965248864	0.05593990314768196	0.06235513752795517	5.811828189431859e-05	0.009508911760595614	1.4007684433181566e-05
1:Del:C:3	0.15313951834044323	0.03890228430005228	0.01940576087328812	0.015693766113107206	4.46545490480806e-06	2.1475778491245977e-06
1:Del:C:4	0.09980372290262948	0.024357598182718862	0.002938112053209352	0.06948154408431341	1.1594968079483199e-05	0.0001374677933990635
1:Del:C:5	0.01822072734306251	0.0029956053598311884	9.659468946038482e-06	0.1468716062605381	1.2118702003742026e-05	8.159478545621823e-06
1:Del:T:0	3.8272584005720015e-08	0.0005578565819718051	6.087032817371589e-05	9.196125374302255e-05	0.00040496874632178027	0.0017569446715545685
1:Del:T:1	0.05868532174542149	0.17787547770032386	0.11254916962035016	0.0006936514861375069	1.4557922915848069e-05	4.550647340314148e-05
1:Del:T:2	0.11841309977295775	0.08724688213298938	0.050306581269406556	0.0026895201891226368	0.00882644827461121	6.901130484493479e-06
1:Del:T:3	0.1888809971511364	0.010612166212629386	0.005817946634811951	0.02383137336235753	0.005283893310971166	2.278712795108125e-06
1:Del:T:4	0.1273437264135282	0.0233866751766944	0.005540042228032386	0.06788927864157207	3.4937011463398447e-06	8.912245244729888e-06
1:Del:T:5	0.06786894788795811	0.01714341514895068	9.947136625972537e-06	0.3469285284479459	2.2113941327006615e-07	6.035397556540071e-08
1:Ins:C:0	9.480098374332613e-05	0.006380219781974243	0.0001557596437609258	0.0004563046728037534	0.003853098612065272	0.0023923017072471947
1:Ins:C:1	5.150476993046974e-09	0.022345685769345636	0.0019137651826354703	1.0193247517757223e-06	0.021348044003055597	0.00780590458327121
1:Ins:C:2	1.2640256900435057e-08	0.014763718430017055	0.0007572879888912827	0.0006360964079419773	0.01137023367011049	0.007339409789210549
1:Ins:C:3	1.0753902065137785e-09	0.008964405703795345	4.331723689669313e-06	0.0020297579178910987	0.008403575357260707	0.00737183697438013
1:Ins:C:4	1.2623265159087774e-08	0.014073058751781768	0.0014020213362859598	0.005407751245079122	0.009580815456592973	0.008190182357490508
1:Ins:C:5	6.7109530969370706e-09	0.03297244840433109	2.6211371750998563e-06	0.05496003823258396	0.007695909048597589	0.0007526758148666583
1:Ins:T:0	1.0355229621940212e-08	0.005864647861466092	0.003269514153236841	0.002163526366563673	0.0176062359106254	0.008614257532781267
1:Ins:T:1	7.955490074114853e-09	0.05495982560948306	0.006784765618760957	0.004083255517461145	0.05746945514352622	0.0465823957715088
1:Ins:T:2	1.0224335304324464e-08	0.017925507316005708	0.00209527970123915	0.009956321638493647	0.020469423703654382	0.007359359302275455
1:Ins:T:3	7.54225576808191e-09	0.014627669065837996	0.0034408623768654332	0.007644986444408512	0.012036360434831295	0.008862160856945895
1:Ins:T:4	3.2781123593395022e-09	0.00339776084857372	4.379917623947965e-06	0.0018861199676914945	0.00733542793483745	0.0025045542061889136
