MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	0.00334906	0.00000536	0.00198542	0.00000428	0.00389457	0.00199156	0.00000013	0.00018166	0.00083516	0.00409547	0.00183980	0.00457826	0.00307935
1:Del:C:1	0.04044838	0.01322994	0.00001185	0.00003906	0.02468848	0.90996070	0.00000008	0.00002750	0.00000489	0.00000559	0.00000301	0.01212248	0.00000718
1:Del:C:2	0.02654854	0.00002344	0.02270120	0.02990073	0.76319349	0.00001114	0.00000009	0.01089637	0.00000507	0.00000465	0.00000259	0.00000912	0.00000674
1:Del:C:3	0.08634462	0.30535762	0.06566853	0.06846483	0.02773288	0.00001584	0.00481456	0.02695905	0.00000320	0.00000672	0.01845502	0.00000580	0.03332734
1:Del:C:4	0.06162080	0.37060842	0.05251320	0.01478330	0.02775006	0.00000719	0.04709436	0.00002285	0.00000681	0.00000832	0.00000913	0.00000834	0.00001157
1:Del:C:5	0.00442070	0.02529374	0.02371929	0.00275898	0.00239197	0.00000938	0.20061144	0.00001527	0.00000893	0.00198775	0.01488579	0.00183014	0.00001757
1:Del:T:0	0.00000286	0.00000549	0.00022027	0.00054015	0.00000457	0.00000905	0.00000072	0.00000416	0.00087292	0.00169055	0.00020423	0.00179053	0.00128513
1:Del:T:1	0.01065511	0.00001999	0.00688185	0.00004068	0.00278127	0.02449794	0.00000074	0.84342518	0.00000564	0.00000408	0.00000422	0.00000799	0.00000767
1:Del:T:2	0.00818338	0.01900606	0.00000959	0.69007674	0.01768811	0.00000679	0.00000015	0.03977706	0.00000381	0.00000361	0.00000463	0.01247913	0.00000746
1:Del:T:3	0.56462072	0.00003091	0.00908189	0.04119868	0.02548261	0.00000562	0.00742330	0.00003096	0.00000374	0.00000497	0.00000406	0.00000657	0.00001140
1:Del:T:4	0.06165719	0.00003245	0.39617773	0.02650790	0.04882517	0.00000814	0.04255898	0.00802415	0.00000480	0.00000393	0.00000520	0.00000515	0.00110428
1:Del:T:5	0.03180432	0.04550692	0.07520792	0.01184973	0.01965374	0.00000162	0.45916977	0.00002027	0.00000042	0.00000519	0.00000090	0.00691919	0.00000577
1:Ins:C:0	0.00217473	0.00272718	0.00201065	0.00000462	0.00770353	0.00000686	0.00000010	0.00000303	0.00132823	0.00434859	0.00257846	0.00981486	0.00651812
1:Ins:C:1	0.01086339	0.00000804	0.00511001	0.00000460	0.00000358	0.00000643	0.00000002	0.00000270	0.00551313	0.02971428	0.01379753	0.04392490	0.01796328
1:Ins:C:2	0.00059572	0.00000374	0.01052630	0.00081457	0.00000471	0.00000637	0.00170156	0.00461452	0.00466719	0.01671470	0.00454816	0.00779575	0.02163061
1:Ins:C:3	0.00001709	0.00637098	0.00296273	0.00605508	0.00657104	0.00000608	0.00188401	0.00366469	0.00175045	0.03131566	0.00219252	0.00390236	0.01123437
1:Ins:C:4	0.00596074	0.00000697	0.00706366	0.00907540	0.00000393	0.00347492	0.00157742	0.01257095	0.00149766	0.03467798	0.00950710	0.01520934	0.02976746
1:Ins:C:5	0.00000179	0.00838003	0.00000502	0.00000362	0.00000513	0.00000695	0.04603097	0.01711872	0.00001035	0.02027816	0.00600264	0.01756788	0.09885498
1:Ins:T:0	0.00000096	0.02031702	0.00344230	0.00000349	0.00000612	0.00128926	0.00167577	0.00000249	0.00361730	0.01703506	0.01817963	0.00981258	0.00152662
