Sample Names	MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
TCGA-3C-AALI-01	AC>CA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>CG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>CT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>GA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>GG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>GT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>TA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>TG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AC>TT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AT>CA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AT>CC	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AT>CG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AT>GA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AT>GC	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	AT>TA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>AA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>AG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>AT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>GA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>GG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>GT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>TA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>TG	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CC>TT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CG>AT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CG>GC	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CG>GT	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CG>TA	0.0	0.0	1.0	0.0	0.0
TCGA-3C-AALI-01	CG>TC	0.0	0.0	1.0	0.0	0.0
