MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	0.00000113	0.00000086	0.00392516	0.00000314	0.00251478	0.00215094	0.00109335	0.00001671	0.00035447	0.00394498	0.00152763	0.00625404	0.00125266	0.00583492
1:Del:C:1	0.02459122	0.05262377	0.00003228	0.02177822	0.00003089	0.93451018	0.00018299	0.00039681	0.00000528	0.00446237	0.00000326	0.00000435	0.00000383	0.01123295
1:Del:C:2	0.01235856	0.02223710	0.69422831	0.00001141	0.10201017	0.00001086	0.00000003	0.00001703	0.00000516	0.00521740	0.00000229	0.00000489	0.00000290	0.00000933
1:Del:C:3	0.48308147	0.07378187	0.06286565	0.02956739	0.01084746	0.00000954	0.00765532	0.01075338	0.00000280	0.00465260	0.00000501	0.00000470	0.00000716	0.00000821
1:Del:C:4	0.28199094	0.03492647	0.00843208	0.14773382	0.00003066	0.00000451	0.03265057	0.00001446	0.00000479	0.07972179	0.00000676	0.02192121	0.00000904	0.00000959
1:Del:C:5	0.03373653	0.02893753	0.00134713	0.01455660	0.00002831	0.00001414	0.19688353	0.00001718	0.00000725	0.02490492	0.00001121	0.01302450	0.00188144	0.00001073
1:Del:T:0	0.00000210	0.00000122	0.00031673	0.00000330	0.00021368	0.00035254	0.00000070	0.00040458	0.00091110	0.00049950	0.00046903	0.00095941	0.00033774	0.00199951
1:Del:T:1	0.03523661	0.02090306	0.00795352	0.01658538	0.00274001	0.00000793	0.00014941	0.84936954	0.00000419	0.00313413	0.00000227	0.00000246	0.00000643	0.00892407
1:Del:T:2	0.00818046	0.01154077	0.00248069	0.00745981	0.75300969	0.00000909	0.00000346	0.01614130	0.00000334	0.00416457	0.00000288	0.00000543	0.00000584	0.01171835
1:Del:T:3	0.00435043	0.59708139	0.00824049	0.01625910	0.04013880	0.00000357	0.00718889	0.00002109	0.00000412	0.00492751	0.00000297	0.01362411	0.01273969	0.00000986
1:Del:T:4	0.00625768	0.04001830	0.02301240	0.51992511	0.01714960	0.00000645	0.03638487	0.00001739	0.00000617	0.00013652	0.00000382	0.00000904	0.00000814	0.00000755
1:Del:T:5	0.03649768	0.08458589	0.00601328	0.05874846	0.00004055	0.00000155	0.50540478	0.00001393	0.00000044	0.00279672	0.00000138	0.00000654	0.00000227	0.00147597
1:Ins:C:0	0.00000100	0.00000096	0.00717820	0.00312387	0.00000358	0.00361260	0.00046139	0.00250914	0.00042707	0.00851465	0.00173065	0.00404554	0.00218961	0.00314064
1:Ins:C:1	0.00000054	0.00000062	0.00000789	0.00194054	0.00693841	0.00265437	0.00000011	0.01163100	0.00835604	0.02971895	0.00223631	0.03652298	0.01170873	0.01003244
1:Ins:C:2	0.00000544	0.00000147	0.00603883	0.02364882	0.01156406	0.00000979	0.00091049	0.00446051	0.00781212	0.00136836	0.00466941	0.01263024	0.02192030	0.01293071
1:Ins:C:3	0.00000018	0.00000068	0.01428716	0.00438101	0.00000395	0.00001077	0.00082024	0.00539286	0.00343150	0.00342897	0.00978466	0.01088118	0.01357063	0.00804411
1:Ins:C:4	0.00026114	0.00000114	0.02236339	0.00001088	0.00000771	0.01328537	0.00275811	0.00084269	0.00174781	0.02778082	0.01313237	0.00562760	0.01059897	0.01670728
1:Ins:C:5	0.02559706	0.00000140	0.00000584	0.00000297	0.00651473	0.00000637	0.03880111	0.00000623	0.00001396	0.02431956	0.00649277	0.02911104	0.06773294	0.03169084
1:Ins:T:0	0.00000174	0.00000175	0.00650786	0.00098868	0.00000687	0.00000801	0.00228493	0.00316014	0.00589664	0.01515785	0.01231715	0.02751326	0.00170934	0.01447800
1:Ins:T:1	0.00000013	0.00000003	0.00000263	0.00000336	0.00000105	0.01086240	0.00000050	0.00000377	0.02635912	0.02715800	0.00956564	0.00000578	0.03110394	0.32659800
1:Ins:T:2	0.00000016	0.00000024	0.02675420	0.01081032	0.00622470	0.00281920	0.00748592	0.00723025	0.00341087	0.01229869	0.01184595	0.03242501	0.02657823	0.02072161
1:Ins:T:3	0.00101159	0.00000049	0.00000565	0.00000318	0.00000310	0.00231357	0.00516676	0.01006292	0.00528861	0.01050242	0.01159445	0.00730950	0.01910706	0.06737897
1:Ins:T:4	0.00000060	0.00000149	0.00170700	0.00190842	0.00000340	0.00001009	0.00159211	0.00000981	0.00116111	0.01005818	0.00187284	0.00688250	0.00294235	0.01510844
1:Ins:T:5	0.00734116	0.00000002	0.00000303	0.00000207	0.00000018	0.00063980	0.07304600	0.00000050	0.00000108	0.00827702	0.02771883	0.00872915	0.45685850	0.00010649
2:Del:R:0	0.00000238	0.00000003	0.00000038	0.00000140	0.00000039	0.00000075	0.01035845	0.00000059	0.01116451	0.00238003	0.57893940	0.00032027	0.00170815	0.00000602
