MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	0.00592852	0.01057214	0.00595049	0.01188624	0.00006136	0.00486046	0.00721329	0.00922251	0.00171731	0.00005804
AC>CG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AC>CT	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AC>GA	0.00635458	0.02786344	0.01131533	0.00803685	0.01420390	0.00777828	0.01389413	0.01547270	0.00360751	0.02138840
AC>GG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AC>GT	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AC>TA	0.01798466	0.02102279	0.00621575	0.02220724	0.01181789	0.00918810	0.01834207	0.01008453	0.01310574	0.01428502
AC>TG	0.01321579	0.00375929	0.00006459	0.01200877	0.00220063	0.00149775	0.00243193	0.00150666	0.01171469	0.00402181
AC>TT	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AT>CA	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AT>CC	0.00189628	0.00182083	0.00006621	0.01718923	0.00540680	0.00317193	0.00213758	0.00560069	0.00704388	0.00181085
AT>CG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AT>GA	0.01412493	0.01213029	0.00162926	0.00736250	0.00204679	0.00656260	0.00624401	0.00357914	0.00445889	0.00005483
AT>GC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
AT>TA	0.02328638	0.01714852	0.00280425	0.01741433	0.00522706	0.00293973	0.00294363	0.01036538	0.00281798	0.00433978
CC>AA	0.00001718	0.00002281	0.00002161	0.00002258	0.64012904	0.00001231	0.00002324	0.00001857	0.00001741	0.00001683
CC>AG	0.00002497	0.00002350	0.00001031	0.00002824	0.00001812	0.00001310	0.00001540	0.02005624	0.46481376	0.01329748
CC>AT	0.07302242	0.00972053	0.00520907	0.02890455	0.03280646	0.02766968	0.03773570	0.00002813	0.02118606	0.03052258
CC>GA	0.07193940	0.03524179	0.00003334	0.02090026	0.00733151	0.00352574	0.00861886	0.01770010	0.01195438	0.00751192
CC>GG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
CC>GT	0.00436338	0.03292052	0.00851038	0.01171175	0.00325659	0.01904833	0.01098093	0.03465359	0.01344231	0.01214147
CC>TA	0.03203139	0.11577696	0.00223048	0.01385429	0.02518366	0.01140058	0.00641386	0.02325648	0.02371366	0.01294695
CC>TG	0.01183932	0.01075527	0.00863438	0.01897307	0.00555881	0.00939802	0.01089666	0.01444437	0.00596787	0.00685128
CC>TT	0.00190901	0.00002363	0.00001082	0.00002453	0.02136823	0.00852180	0.00001854	0.01234726	0.00001965	0.46709297
CG>AT	0.01001647	0.00726451	0.00289892	0.00603063	0.00113473	0.00560327	0.00542550	0.00006173	0.00251388	0.00689885
CG>GC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
CG>GT	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
CG>TA	0.00936437	0.00243806	0.00197995	0.01090811	0.00456693	0.00514535	0.00295046	0.00441787	0.00128853	0.00733661
CG>TC	0.00892022	0.02943406	0.00454501	0.00917863	0.00661659	0.00003351	0.02909233	0.00004142	0.03943032	0.01960991
CG>TT	0.04141485	0.00559144	0.00665307	0.02047318	0.00267284	0.01231981	0.00293200	0.01090446	0.00785645	0.00479013
CT>AA	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
CT>AC	0.01175109	0.00789293	0.00524134	0.00708299	0.00262917	0.00282067	0.00243110	0.00544441	0.00287726	0.00005793
CT>AG	0.01675380	0.02991983	0.00428511	0.04355262	0.00563996	0.01519596	0.05178575	0.00625796	0.00588282	0.01034097
CT>GA	0.00004072	0.03453479	0.00368605	0.00896785	0.00905450	0.00260155	0.01374274	0.01114126	0.00281610	0.00369205
CT>GC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
CT>GG	0.04035656	0.00503211	0.01031953	0.01383149	0.00871230	0.00319339	0.01456929	0.01358200	0.01375344	0.01507206
CT>TA	0.00389837	0.03194269	0.00599046	0.02207478	0.00709999	0.00003045	0.03182425	0.02856684	0.02676487	0.00723831
CT>TC	0.00911676	0.00726473	0.00087184	0.01221669	0.00006149	0.00529673	0.00612013	0.00336663	0.00661454	0.00359618
CT>TG	0.02846921	0.01660677	0.00644774	0.06979590	0.01752883	0.00002694	0.01651833	0.02183853	0.00833013	0.00579914
GC>AA	0.00002426	0.00003274	0.71001941	0.00002589	0.00001543	0.00001304	0.00001967	0.00002309	0.00002107	0.00002014
GC>AG	0.00606301	0.01610695	0.00612480	0.02748728	0.00513902	0.03999068	0.04733598	0.01295213	0.01715352	0.00971277
GC>AT	0.00002507	0.00002995	0.02230426	0.20599418	0.02068485	0.00002105	0.01109551	0.00002992	0.01582077	0.01547584
GC>CA	0.04617683	0.00503818	0.00510967	0.00479017	0.00115415	0.01408297	0.02792790	0.01044265	0.00387694	0.01550073
GC>CG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
GC>TA	0.01585075	0.01297298	0.00357622	0.00144010	0.00595059	0.00500900	0.02409580	0.02152967	0.00940673	0.00451924
TA>AT	0.07272215	0.00833108	0.00487666	0.00363992	0.00506701	0.01778339	0.01449391	0.00004635	0.01117577	0.00951479
TA>CG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TA>CT	0.02103482	0.02857442	0.00003880	0.03095323	0.00779788	0.01737571	0.02751965	0.00004167	0.01718355	0.00637606
TA>GC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TA>GG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TA>GT	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TC>AA	0.00001765	0.00002847	0.01798926	0.00002095	0.00001603	0.00927875	0.00001496	0.48174229	0.00002040	0.01044096
TC>AG	0.00004040	0.00002576	0.00888243	0.00002664	0.01591353	0.03524358	0.27815627	0.02506099	0.01008411	0.02984986
TC>AT	0.00465923	0.00003974	0.03206232	0.00002200	0.00001950	0.55668426	0.00004356	0.00002182	0.00001978	0.00002083
TC>CA	0.06926159	0.01355838	0.00467072	0.00835431	0.01009789	0.00952205	0.00188661	0.01573924	0.01814956	0.00944962
TC>CG	0.00785233	0.01927623	0.00515213	0.01336602	0.00596933	0.00480770	0.03608648	0.02274739	0.01644610	0.01537093
TC>CT	0.00002742	0.09203738	0.01284514	0.01773395	0.01253477	0.00002594	0.01031408	0.01465869	0.02415717	0.04442871
TC>GA	0.00002119	0.18336487	0.01279557	0.03615094	0.00768231	0.01758226	0.01461395	0.01108853	0.05114801	0.00682794
TC>GG	0.02605566	0.01599154	0.00005036	0.00337051	0.00810750	0.00412947	0.03183176	0.00600507	0.00655110	0.00706246
TC>GT	0.07202953	0.00727161	0.00476003	0.00004232	0.00306027	0.02984371	0.02490696	0.00293082	0.00240978	0.02122127
TG>AA	0.09679196	0.00792241	0.01130283	0.01297688	0.01181177	0.01549835	0.01687101	0.00869883	0.00611075	0.02129150
TG>AC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TG>AT	0.01599457	0.00003582	0.00445639	0.09180556	0.01166452	0.01083900	0.02086199	0.02816366	0.03288373	0.02361690
TG>CA	0.00528245	0.01010915	0.00613136	0.00349217	0.00006361	0.00228979	0.00294850	0.01083103	0.00455738	0.00420373
TG>CC	0.00340727	0.00866690	0.00324639	0.01310959	0.00006741	0.00120083	0.00721083	0.00096035	0.00412478	0.00294405
TG>CT	0.02623022	0.01777393	0.00114092	0.06169409	0.00478426	0.00345672	0.02223045	0.01165880	0.02345737	0.00423646
TG>GA	0.00546763	0.00006728	0.00006370	0.01058347	0.00006392	0.00289307	0.00909896	0.00149923	0.00162866	0.02359894
TG>GC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TG>GT	0.02358645	0.01920843	0.00335228	0.00434573	0.01018484	0.00838880	0.00868751	0.01501063	0.00414431	0.00737822
TT>AA	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TT>AC	0.00377273	0.02405945	0.00454047	0.00662784	0.00005352	0.01347156	0.03212907	0.00503268	0.00374276	0.00818747
TT>AG	0.00525274	0.01017133	0.00308181	0.00891827	0.00202284	0.00362514	0.00490109	0.00224034	0.00367296	0.00877376
TT>CA	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TT>CC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TT>CG	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TT>GA	0.00498711	0.01187529	0.00297398	0.00708278	0.00335749	0.00306960	0.01156085	0.00095787	0.00229449	0.00259168
TT>GC	0.00005944	0.00007794	0.00007644	0.00007368	0.00007456	0.00006474	0.00007019	0.00007310	0.00006897	0.00007040
TT>GG	0.00783841	0.00875719	0.00091587	0.00946588	0.00251750	0.00439916	0.00610028	0.00409943	0.00432483	0.00485285
