MutationType	DBS1	DBS2	DBS6	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78G	DBS78I
AC>CA	0.00004970	0.00037408	0.00266057	0.00655748	0.01115397	0.00006284	0.00451317	0.00200713	0.01059995	0.00268189
AC>CG	0.00002640	0.00003170	0.00014603	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AC>CT	0.00429109	0.00012603	0.00024005	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AC>GA	0.00012703	0.00023705	0.00858184	0.03461867	0.00997885	0.00181015	0.01245392	0.01195093	0.01397888	0.02406975
AC>GG	0.00005710	0.00000000	0.00010402	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AC>GT	0.00296075	0.00028006	0.00013203	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AC>TA	0.00120031	0.00148031	0.01010217	0.02294599	0.01370210	0.00629009	0.01313559	0.00505923	0.01558157	0.02141310
AC>TG	0.00017204	0.00000636	0.00044910	0.00120396	0.00006767	0.00006613	0.01782811	0.00200821	0.00355359	0.00427344
AC>TT	0.02650674	0.00292062	0.00318068	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AT>CA	0.00048212	0.00003780	0.00011402	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AT>CC	0.00029708	0.00000000	0.00006390	0.00497048	0.00578807	0.00457791	0.01630871	0.00005431	0.00790929	0.00577400
AT>CG	0.00000398	0.00000000	0.00000182	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AT>GA	0.00212054	0.00016804	0.00162035	0.01112687	0.00738178	0.00176576	0.00446262	0.00279424	0.00324755	0.00231817
AT>GC	0.00017404	0.00000585	0.00001720	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
AT>TA	0.00234060	0.00045810	0.00220047	0.00714722	0.00685112	0.01139639	0.00205083	0.01098280	0.00561102	0.00803017
CC>AA	0.00001060	0.72415324	0.00000000	0.00002189	0.00001722	0.00001338	0.00001987	0.00001353	0.00001514	0.00002167
CC>AG	0.00001230	0.07261537	0.06161322	0.00002709	0.00002352	0.01741133	0.33919759	0.00001090	0.00001912	0.02185156
CC>AT	0.01870475	0.10002116	0.00043809	0.20718015	0.00740330	0.00406445	0.01385227	0.00001648	0.01662616	0.02151650
CC>GA	0.00013403	0.01770375	0.03550762	0.02244702	0.02979174	0.00003700	0.03647362	0.02102039	0.00556399	0.02265008
CC>GG	0.00009820	0.00045010	0.01810389	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
CC>GT	0.00692176	0.00110023	0.00344074	0.01297457	0.03228463	0.00463663	0.00402383	0.01716510	0.03140544	0.00896424
CC>TA	0.01040264	0.01600339	0.00222048	0.00714466	0.04104535	0.01943169	0.04937340	0.02617485	0.00896109	0.00003830
CC>TG	0.00255065	0.00023705	0.00687147	0.01497478	0.02613703	0.00350085	0.00885275	0.01221428	0.00206558	0.00338509
CC>TT	0.85821813	0.00000000	0.00000000	0.00209968	0.00002709	0.01699258	0.00887838	0.00974169	0.00004065	0.00002896
CG>AT	0.00000060	0.00115024	0.00754162	0.00921354	0.00365604	0.00501484	0.00628750	0.00409820	0.00941923	0.00777800
CG>GC	0.00000542	0.00036908	0.00059013	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
CG>GT	0.00000170	0.00128027	0.00322069	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
CG>TA	0.00035609	0.00000000	0.00000000	0.00201275	0.00911338	0.00600224	0.00313523	0.00669306	0.00804470	0.00164488
CG>TC	0.00001260	0.00215045	0.00891191	0.01912464	0.02813989	0.00833975	0.03250516	0.00930321	0.01710086	0.01631274
CG>TT	0.00012403	0.00556118	0.01870401	0.01687824	0.01941960	0.00368080	0.00189805	0.01824521	0.00138089	0.00791055
CT>AA	0.00002770	0.00321068	0.00448096	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
CT>AC	0.00041911	0.00000000	0.00195042	0.01218169	0.00750397	0.00364444	0.00682849	0.00344222	0.00777779	0.00513116
CT>AG	0.00000000	0.00058712	0.03950848	0.01313892	0.02620741	0.00225588	0.02483535	0.00490402	0.02582912	0.00362357
CT>GA	0.00008920	0.00001810	0.00734158	0.00360322	0.01411376	0.00693528	0.01400276	0.01223314	0.00641285	0.00824268
CT>GC	0.00025206	0.00013403	0.00179038	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
CT>GG	0.00001080	0.00008980	0.00681146	0.02689284	0.01260764	0.01813322	0.01951283	0.01025026	0.02448196	0.00799866
CT>TA	0.00781198	0.00338071	0.00008840	0.02342408	0.05053144	0.01052540	0.01372802	0.00372735	0.00834186	0.02544741
CT>TC	0.01050267	0.00003840	0.00000000	0.00503431	0.00362159	0.00280471	0.01097297	0.00337464	0.00201286	0.00243243
CT>TG	0.00224057	0.00039008	0.01120240	0.01598923	0.00556957	0.00730750	0.04608339	0.01472659	0.04123949	0.01685767
GC>AA	0.00158040	0.00508108	0.00000000	0.00002220	0.00002830	0.65028733	0.00002482	0.00001458	0.00001616	0.00002837
GC>AG	0.00010703	0.00032507	0.00366079	0.02625864	0.01388372	0.00298892	0.01121303	0.01934642	0.02208422	0.01815164
GC>AT	0.00004870	0.00095320	0.00188040	0.09369297	0.02625463	0.00783995	0.01573923	0.03012382	0.02193152	0.03430437
GC>CA	0.00005760	0.00106022	0.00869187	0.00841258	0.03523593	0.00759631	0.00004722	0.01176626	0.04173297	0.01246411
GC>CG	0.00000515	0.00006690	0.00000000	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
GC>TA	0.00000083	0.00073616	0.00082918	0.01763905	0.01983890	0.00189491	0.01622868	0.00431038	0.01751761	0.00828910
TA>AT	0.00050513	0.00275058	0.00857184	0.05233950	0.00974548	0.00336326	0.00004581	0.00905856	0.01051896	0.00119896
TA>CG	0.00000755	0.00001890	0.00025906	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TA>CT	0.00070218	0.00028006	0.02610560	0.02416807	0.01839331	0.00867372	0.01562893	0.01030176	0.00918469	0.02082569
TA>GC	0.00002010	0.00008220	0.00026406	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TA>GG	0.00007030	0.00007890	0.00021805	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TA>GT	0.00115029	0.00130028	0.00006250	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TC>AA	0.00001090	0.00145031	0.04580983	0.00002359	0.00002138	0.01833821	0.00002357	0.00867122	0.00002194	0.43780728
TC>AG	0.00000309	0.00020004	0.00828178	0.00417309	0.00003399	0.01433895	0.00001911	0.01111390	0.34287139	0.00001745
TC>AT	0.00246063	0.00000000	0.00059413	0.00002433	0.00002689	0.02437922	0.00001891	0.53763588	0.00641374	0.00002121
TC>CA	0.00000442	0.00068214	0.01180253	0.03925506	0.01442172	0.00172080	0.01440957	0.00275426	0.00171161	0.00005792
TC>CG	0.00003300	0.00000389	0.00086219	0.01351462	0.01500561	0.00617051	0.02071023	0.01912810	0.03933999	0.00621244
TC>CT	0.00190048	0.00335071	0.00939202	0.04822960	0.04313073	0.00445599	0.05029343	0.00966294	0.00694965	0.01891450
TC>GA	0.00006420	0.00088519	0.00734158	0.00002365	0.26431290	0.00808193	0.00542166	0.00788142	0.00001897	0.03324085
TC>GG	0.00041110	0.00000987	0.00151032	0.00909540	0.00983145	0.00411281	0.00893812	0.00854172	0.02342063	0.00005760
TC>GT	0.00510130	0.00008570	0.00000000	0.01042855	0.04455174	0.00005715	0.00704658	0.02596664	0.04534878	0.01804097
TG>AA	0.00137035	0.00296063	0.02550547	0.04600750	0.00003726	0.01095590	0.03346735	0.00252101	0.00406509	0.03941034
TG>AC	0.00023706	0.00022005	0.01010217	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TG>AT	0.00241061	0.00429091	0.22104743	0.02094346	0.03331591	0.01950503	0.01419162	0.01784529	0.01571009	0.01829034
TG>CA	0.00027907	0.00014403	0.01140245	0.00530116	0.00627679	0.00095894	0.00443212	0.00102948	0.01022426	0.00863662
TG>CC	0.00010303	0.00005940	0.00789169	0.00621407	0.00006558	0.00283459	0.00487561	0.00190556	0.00738545	0.00812246
TG>CT	0.00185047	0.00307065	0.27505902	0.03135176	0.01110415	0.01110191	0.01864615	0.01530054	0.04345174	0.02157156
TG>GA	0.00040710	0.00147031	0.00744160	0.00337473	0.00520013	0.00168115	0.00220321	0.00642359	0.01312058	0.00662899
TG>GC	0.00008890	0.00027206	0.00560120	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TG>GT	0.00190048	0.00640136	0.02740588	0.01007932	0.02343753	0.00665003	0.01459996	0.00004382	0.00931192	0.00539033
TT>AA	0.00549140	0.00431091	0.00019304	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TT>AC	0.00072018	0.00034507	0.00012803	0.00571020	0.01684470	0.00531389	0.01332715	0.01254304	0.00628148	0.01115172
TT>AG	0.00041811	0.00021505	0.00212045	0.00856536	0.00541237	0.00195479	0.00746963	0.00297146	0.00283395	0.00774918
TT>CA	0.00072518	0.00000000	0.00000000	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TT>CC	0.00542138	0.00000298	0.00000000	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TT>CG	0.00008380	0.00001520	0.00001120	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TT>GA	0.00186047	0.00004790	0.00000000	0.00730133	0.00357297	0.00169380	0.00079947	0.00302900	0.01099731	0.00444242
TT>GC	0.00106027	0.00000154	0.00000041	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00006818	0.00007488
TT>GG	0.00161041	0.00000000	0.00000000	0.00323059	0.00598750	0.00448484	0.00721441	0.00626252	0.00861032	0.00670484
