MutationType	DBS78A
AC>CA	0.005709155462682247
AC>CG	0.0017582296919044893
AC>CT	0.00592866325750947
AC>GA	0.009879634995013476
AC>GG	0.0006607596892990841
AC>GT	0.001319258178000382
AC>TA	0.009440708439797163
AC>TG	0.002197310061455937
AC>TT	0.005709133855998516
AT>CA	0.0026361904641362343
AT>CC	2.304822601217893e-06
AT>CG	2.304822601217893e-06
AT>GA	0.0037336595356464385
AT>GC	2.304822601217893e-06
AT>TA	0.0032947114668786526
CC>AA	0.14136313498020173
CC>AG	0.028756815195083617
CC>AT	0.0539997547864914
CC>GA	0.018659559078514576
CC>GG	0.0032947334460914136
CC>GT	0.018439810164272784
CC>TA	0.016245224326848984
CC>TG	0.0019777363228058674
CC>TT	0.06892603188753128
CG>AT	0.000660781907299679
CG>GC	2.304822601217893e-06
CG>GT	0.003075226256623864
CG>TA	0.0037336820270866154
CG>TC	2.304822601217893e-06
CG>TT	2.304822601217893e-06
CT>AA	0.02041533086448908
CT>AC	0.002416706510257427
CT>AG	0.013611163944005966
CT>GA	0.003733682190068066
CT>GC	0.0030752043705433605
CT>GG	0.0026361905504018067
CT>TA	0.022830212675035
CT>TC	0.005270207719877362
CT>TG	0.006148169469088316
GC>AA	0.04302430599927902
GC>AG	0.024366718158125876
GC>AT	0.010099162254482508
GC>CA	0.008123533427715301
GC>CG	2.304822601217893e-06
GC>TA	0.004392135562375188
TA>AT	0.0076845199801027775
TA>CG	0.0013192146386700188
TA>CT	0.011855107732117176
TA>GC	2.304822601217893e-06
TA>GG	0.001977779303342686
TA>GT	0.0063676329795271155
TC>AA	0.07353554293513298
TC>AG	0.01822085417807102
TC>AT	0.06695044711232186
TC>CA	0.028317952528595924
TC>CG	0.0030752050457522272
TC>CT	0.01580605749040842
TC>GA	0.020196238160133363
TC>GG	0.00241672636475414
TC>GT	0.008343086484819651
TG>AA	0.007245684135705232
TG>AC	0.001538765925579355
TG>AT	0.022171471640467642
TG>CA	0.02282990552484989
TG>CC	0.008782032877206802
TG>CT	0.048950988054275515
TG>GA	0.001977714616805315
TG>GC	0.001977713226187916
TG>GT	0.009879523981362581
TT>AA	0.011416224762797356
TT>AC	0.0013192803962738253
TT>AG	0.003733703959733248
TT>CA	0.002636278746649623
TT>CC	0.0028557410991197686
TT>CG	0.002197265066206455
TT>GA	2.3048228740663033e-06
TT>GC	0.0017582508036866785
TT>GG	0.0010997521750596207
