MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
AC>CA	0.00000057	0.00000058	0.00000063	0.00000075	0.00212895	0.00000310	0.00000237	0.00000097	0.03125700	0.00668382	0.00000443	0.04715672	0.03278518
AC>CG	0.01365452	0.00000093	0.00000109	0.00212860	0.00000146	0.00000403	0.00000275	0.00212892	0.00000197	0.00000270	0.00000481	0.00000593	0.00000554
AC>CT	0.00000077	0.00494558	0.00000115	0.01602226	0.00001846	0.00000373	0.00272215	0.02065875	0.00546528	0.01052586	0.00674260	0.00000619	0.00001908
AC>GA	0.00000033	0.02759585	0.00000144	0.00315337	0.00000054	0.02683809	0.01062189	0.00989971	0.00000154	0.00000097	0.01687006	0.00000409	0.01195998
AC>GG	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
AC>GT	0.00000111	0.00000105	0.00000127	0.00000177	0.00213030	0.00000503	0.00000361	0.00000167	0.00000329	0.00290545	0.00000563	0.00000648	0.00000665
AC>TA	0.00000041	0.00749454	0.00000000	0.01488014	0.02301892	0.00000371	0.08437337	0.00212822	0.00000218	0.00732769	0.00253554	0.00000352	0.02655574
AC>TG	0.00000102	0.00000069	0.00000137	0.02100711	0.00000111	0.00000403	0.00000312	0.01329000	0.00000313	0.00000219	0.00000547	0.00000628	0.00000711
AC>TT	0.01460901	0.00494491	0.00000132	0.00849710	0.00000091	0.00000206	0.00000896	0.00425624	0.02526507	0.00000213	0.01011267	0.00000632	0.00398656
AT>CA	0.00000074	0.00679441	0.00000068	0.00000095	0.00000113	0.00000446	0.02085462	0.00000066	0.00000270	0.01465447	0.00674274	0.00000643	0.01641948
AT>CC	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
AT>CG	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
AT>GA	0.00000065	0.00309708	0.00751230	0.00000109	0.00000218	0.00440790	0.00000250	0.00000095	0.00000253	0.00000225	0.01011310	0.00000712	0.03216284
AT>GC	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
AT>TA	0.00000090	0.00679431	0.01126737	0.01063212	0.00247677	0.00000358	0.00117917	0.00425648	0.00000223	0.00000244	0.00000515	0.00000758	0.00000493
CC>AA	0.02784288	0.20658041	0.29525388	0.11873639	0.01948830	0.32593957	0.00442618	0.15379133	0.04042273	0.16003447	0.07141698	0.00979241	0.03137932
CC>AG	0.00361174	0.02178186	0.04316246	0.04654308	0.10551231	0.00000058	0.00000123	0.03451331	0.04781624	0.03454104	0.02030151	0.00831332	0.00000783
CC>AT	0.03760402	0.07541566	0.10595595	0.06987462	0.04832282	0.00000021	0.00294272	0.07256609	0.04718434	0.03958147	0.08702469	0.05978124	0.00819631
CC>GA	0.00000000	0.01123502	0.04053724	0.03943132	0.03425228	0.00440187	0.00293169	0.04233503	0.02848327	0.02195967	0.00337058	0.00002517	0.06378604
CC>GG	0.00000103	0.00000080	0.00000142	0.00212938	0.00320167	0.00000469	0.00000340	0.00000167	0.00000318	0.00000312	0.00000530	0.00000666	0.00000685
CC>GT	0.02985175	0.00000000	0.01510232	0.00000000	0.00000000	0.05528566	0.04177017	0.00000001	0.05248977	0.02724988	0.03371236	0.05109165	0.03432284
CC>TA	0.03973139	0.01246029	0.00721453	0.00000053	0.04140110	0.00000254	0.00588951	0.00000064	0.00000132	0.00000194	0.01470266	0.01813873	0.01639579
CC>TG	0.00517751	0.00253169	0.00000146	0.00000143	0.00000165	0.00000477	0.00000327	0.00000131	0.00000216	0.00000298	0.00000519	0.00000626	0.00000660
CC>TT	0.22787881	0.01672610	0.05092002	0.01704127	0.04417708	0.01653812	0.05611469	0.02293526	0.04922457	0.03141883	0.00673448	0.11974180	0.03242419
CG>AT	0.00000096	0.00000102	0.00000208	0.00000097	0.00000210	0.00000507	0.00001540	0.00000155	0.00000306	0.00000306	0.00337390	0.00000622	0.01196723
CG>GC	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
CG>GT	0.00000061	0.00486673	0.00220207	0.00000122	0.00000120	0.00000424	0.00000286	0.00000092	0.00000260	0.00000243	0.01832562	0.02099500	0.00639403
CG>TA	0.00000065	0.00000049	0.00000041	0.00524222	0.00000170	0.00000311	0.00000159	0.00000126	0.00584878	0.02517871	0.01904064	0.01154029	0.03564064
CG>TC	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
CG>TT	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
CT>AA	0.01266317	0.01669164	0.00695698	0.02298331	0.03796828	0.04235126	0.00064457	0.03662310	0.00429917	0.02037025	0.07383048	0.01524013	0.00395932
CT>AC	0.00000062	0.01005435	0.00000093	0.00000189	0.00000161	0.00000532	0.00530667	0.00000076	0.00000219	0.00000303	0.01434120	0.00000733	0.00000603
CT>AG	0.00000023	0.00743999	0.01099209	0.02337005	0.02327051	0.00000243	0.12754329	0.01489396	0.00859687	0.01052571	0.00000290	0.00393066	0.00000167
CT>GA	0.00000089	0.00184922	0.00442210	0.01488055	0.00000156	0.00000454	0.00177082	0.01276646	0.00000215	0.00000235	0.00337388	0.00000667	0.00000484
CT>GC	0.01039703	0.00000085	0.00000115	0.00637671	0.00000074	0.00000355	0.00530735	0.00212867	0.00000196	0.00000252	0.00000494	0.02167993	0.00000588
CT>GG	0.00489845	0.00000061	0.01147033	0.01486662	0.00495336	0.00000245	0.00000183	0.00425595	0.02338799	0.00000227	0.00000469	0.00000380	0.00000454
CT>TA	0.07857183	0.02606292	0.00000007	0.00000132	0.00927259	0.01888031	0.01187883	0.00000016	0.00859938	0.01229174	0.03504807	0.00000639	0.04056470
CT>TC	0.01507108	0.00000025	0.00000047	0.00000072	0.00000056	0.05546412	0.00000326	0.00000010	0.00000156	0.00000208	0.00000369	0.00000682	0.00639113
CT>TG	0.00000049	0.00000074	0.00000049	0.00212853	0.00000113	0.00000203	0.00000300	0.00212814	0.00000235	0.05381682	0.00000440	0.01299746	0.12688382
GC>AA	0.02820452	0.04486025	0.11223239	0.01590158	0.03513514	0.14693386	0.05098254	0.05332962	0.02422123	0.01537246	0.03812895	0.00000093	0.04553156
GC>AG	0.02719030	0.04402653	0.03899109	0.00711591	0.02947171	0.00000097	0.03983918	0.01328864	0.00429738	0.00000006	0.05387255	0.00000317	0.02835699
GC>AT	0.00000035	0.00000029	0.02374261	0.00000059	0.04384382	0.00000160	0.00000163	0.00000002	0.04805931	0.01171552	0.01903921	0.01900674	0.00000133
GC>CA	0.01019603	0.00309606	0.00000011	0.00425546	0.00000051	0.00000227	0.00353874	0.01063985	0.02460138	0.00732840	0.00337310	0.00967544	0.03782341
GC>CG	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
GC>TA	0.00000047	0.01469159	0.00000061	0.00425613	0.00000143	0.00000428	0.00000225	0.00638309	0.00000247	0.00732857	0.03917555	0.01153980	0.00001550
TA>AT	0.01202458	0.00184926	0.00000019	0.00630621	0.01803037	0.00000277	0.00177063	0.01017128	0.00625014	0.01303352	0.00337342	0.00000463	0.05363396
TA>CG	0.00000096	0.00000100	0.00000109	0.00425709	0.00000209	0.00000418	0.00000298	0.00000154	0.00000312	0.00000275	0.00000516	0.00000567	0.02216431
TA>CT	0.00000043	0.00124556	0.00000054	0.02832853	0.00212873	0.00000146	0.00176848	0.01941331	0.10336096	0.02451139	0.00000340	0.01239895	0.00000527
TA>GC	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
TA>GG	0.00000096	0.00000093	0.00000070	0.00000169	0.00000184	0.00000381	0.00000266	0.00000144	0.00000316	0.00732918	0.00000496	0.00000536	0.03992153
TA>GT	0.00000048	0.01742348	0.00000038	0.00577428	0.00000101	0.00000364	0.00000114	0.01683740	0.00000195	0.01569404	0.03664452	0.00577251	0.00000454
TC>AA	0.00953602	0.11889142	0.01914477	0.12136312	0.09851415	0.13620656	0.18133133	0.07175862	0.11579588	0.05666562	0.01013644	0.03864724	0.03741708
TC>AG	0.05586285	0.01995301	0.00000000	0.00213021	0.03485576	0.04198078	0.00000136	0.00638242	0.00429980	0.03157715	0.02896159	0.00000241	0.00000062
TC>AT	0.17721833	0.06855807	0.02017203	0.02156565	0.00721690	0.00000000	0.12284340	0.01796478	0.02726125	0.10197640	0.09223687	0.10255504	0.00207059
TC>CA	0.01963473	0.04217798	0.00948212	0.02550419	0.01367806	0.01160068	0.05203415	0.01276491	0.01491497	0.06074880	0.00000498	0.03138939	0.00000145
TC>CG	0.00000061	0.01489155	0.00000077	0.01488019	0.00000179	0.00000371	0.00000182	0.00638306	0.00000210	0.00000236	0.01133724	0.02060707	0.00819922
TC>CT	0.04727931	0.03481423	0.02445012	0.02175537	0.00000044	0.00000213	0.00000160	0.02918208	0.00000000	0.00322565	0.06884878	0.00297097	0.00000328
TC>GA	0.00000001	0.02289316	0.04848703	0.01063082	0.04758896	0.00491510	0.03965418	0.01063871	0.00000089	0.00322619	0.00751284	0.00000407	0.00000254
TC>GG	0.01880405	0.00000061	0.01009032	0.00850405	0.00495285	0.00000256	0.00000218	0.00425658	0.00000146	0.00000205	0.00000401	0.00000608	0.00000462
TC>GT	0.00677225	0.00369793	0.00000000	0.00000021	0.00000107	0.00000138	0.00176867	0.00000060	0.05222744	0.02490057	0.02218444	0.01903791	0.04321498
TG>AA	0.00000072	0.01377109	0.01167036	0.01274529	0.00742978	0.00000408	0.00058616	0.00638365	0.00000240	0.00000225	0.00590554	0.00000646	0.00000425
TG>AC	0.00000102	0.00000098	0.00676048	0.00000140	0.00247725	0.00000430	0.00000326	0.00000165	0.00000292	0.00000278	0.00000508	0.00000713	0.00000655
TG>AT	0.00000013	0.01756417	0.01615429	0.03947652	0.07928329	0.00114431	0.01394696	0.04460805	0.04968203	0.00526239	0.02107359	0.00000656	0.03979240
TG>CA	0.00375659	0.00608601	0.00187673	0.02315291	0.04660569	0.10689484	0.00000519	0.04123250	0.00000007	0.03344330	0.00000201	0.03017425	0.06907005
TG>CC	0.00695943	0.00000040	0.00000053	0.01154727	0.00000099	0.00000300	0.03022465	0.00691774	0.00000114	0.02746836	0.01254412	0.00947336	0.00000389
TG>CT	0.00000000	0.01153248	0.02896293	0.07398713	0.10762332	0.00000065	0.07328208	0.09278577	0.00429824	0.04923764	0.00253013	0.25075097	0.00002852
TG>GA	0.00000100	0.00000091	0.00000118	0.00638435	0.00000214	0.00000441	0.00000310	0.00851194	0.00000302	0.00000269	0.00000538	0.00000607	0.00000643
TG>GC	0.00000081	0.00000088	0.00000073	0.00424312	0.00000143	0.00000384	0.00000275	0.00851133	0.01466325	0.00000267	0.00000487	0.00000662	0.00639288
TG>GT	0.02412611	0.01012478	0.00000020	0.01273832	0.01629778	0.00000261	0.00000151	0.00638358	0.00000094	0.01552011	0.01256464	0.00393119	0.00158163
TT>AA	0.01691905	0.01245891	0.00218671	0.02585506	0.00314804	0.00000263	0.00000145	0.01702025	0.01175480	0.00000110	0.02410151	0.01245377	0.02236097
TT>AC	0.00000095	0.00000086	0.00000096	0.00849838	0.00000160	0.00000431	0.00000293	0.01276694	0.00000305	0.00000254	0.00000521	0.00000604	0.00000654
TT>AG	0.00000059	0.00000068	0.00000055	0.00786178	0.00000199	0.00000207	0.00000184	0.00310728	0.08347780	0.00000134	0.00000391	0.00000524	0.00000802
TT>CA	0.00692396	0.00000099	0.00000109	0.00000175	0.00000174	0.00000458	0.00000345	0.00000137	0.00000214	0.00000280	0.00000513	0.00000684	0.00000680
TT>CC	0.00699374	0.00000042	0.01038032	0.00000115	0.00000169	0.00000405	0.00000317	0.00000138	0.00000125	0.00000248	0.00000446	0.00000672	0.00000527
TT>CG	0.00000075	0.00000075	0.00220268	0.00000136	0.00000198	0.00000427	0.00000315	0.00000127	0.00000216	0.00000266	0.02856084	0.01891099	0.00000667
TT>GA	0.00000108	0.00000105	0.00000142	0.00000181	0.00000246	0.00000495	0.00000362	0.00000167	0.00000334	0.00000319	0.00000548	0.00000670	0.00000709
TT>GC	0.00000082	0.00000082	0.00000102	0.00524217	0.00005478	0.00000418	0.00000294	0.00000114	0.03238081	0.00526488	0.00000488	0.00000610	0.00000566
TT>GG	0.00000104	0.00000094	0.00000138	0.00577517	0.00000204	0.00000453	0.00000330	0.00678124	0.00000314	0.00000310	0.00000559	0.00000677	0.00000702
