MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
AC>CA	2.47E-07	2.53E-07	3.19E-07	4.16E-07	2.13E-03	8.24E-07	8.07E-07	2.74E-07	1.12E-02	4.09E-03	1.17E-06	1.42E-02	3.28E-02
AC>CG	3.41E-03	2.02E-07	3.08E-07	2.13E-03	4.89E-07	6.84E-07	7.34E-07	2.13E-03	5.39E-07	1.07E-06	1.98E-06	1.90E-06	8.76E-07
AC>CT	1.34E-07	3.59E-03	5.66E-07	6.36E-03	1.77E-05	8.83E-07	2.72E-03	6.03E-03	5.46E-03	1.05E-02	6.74E-03	2.44E-06	1.34E-05
AC>GA	2.03E-07	9.16E-03	9.31E-07	3.15E-03	5.37E-07	2.13E-02	1.06E-02	6.72E-03	1.08E-06	2.71E-07	1.07E-02	1.17E-06	1.20E-02
AC>GG	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
AC>GT	7.99E-08	1.83E-07	2.64E-07	6.15E-07	2.13E-03	5.63E-07	3.91E-07	3.22E-07	3.87E-07	2.90E-03	1.69E-06	1.86E-06	6.53E-07
AC>TA	1.29E-07	3.06E-03	0.00E+00	6.38E-03	7.66E-03	1.22E-06	2.97E-02	2.13E-03	5.76E-07	7.33E-03	2.53E-03	1.67E-06	1.96E-02
AC>TG	6.11E-08	2.91E-07	5.69E-07	1.53E-02	7.81E-07	6.24E-07	4.83E-07	6.31E-03	2.30E-07	4.43E-07	1.67E-06	1.75E-06	1.05E-06
AC>TT	2.63E-03	3.59E-03	1.27E-06	3.97E-03	2.96E-07	6.39E-07	6.65E-06	4.26E-03	1.18E-02	9.18E-07	1.01E-02	2.39E-06	3.98E-03
AT>CA	4.65E-08	5.37E-03	3.16E-07	2.68E-07	5.21E-07	7.88E-07	1.04E-02	3.27E-07	4.11E-07	1.47E-02	6.74E-03	2.48E-06	1.08E-02
AT>CC	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
