MutationType	DBS78A
AC>CA	0.00424938
AC>CG	0.00007104
AC>CT	0.00007104
AC>GA	0.01302415
AC>GG	0.00007104
AC>GT	0.00007104
AC>TA	0.01344197
AC>TG	0.00411021
AC>TT	0.00007104
AT>CA	0.00007104
AT>CC	0.00438880
AT>CG	0.00007104
AT>GA	0.00424938
AT>GC	0.00007104
AT>TA	0.00773152
CC>AA	0.08224613
CC>AG	0.05021191
CC>AT	0.02402721
CC>GA	0.01636677
CC>GG	0.00007104
CC>GT	0.01260605
CC>TA	0.02402709
CC>TG	0.00842782
CC>TT	0.05049043
CG>AT	0.00424938
CG>GC	0.00007104
CG>GT	0.00007104
CG>TA	0.00424938
CG>TC	0.01260605
CG>TT	0.00926367
CT>AA	0.00007104
CT>AC	0.00424938
CT>AG	0.01190972
CT>GA	0.00856712
CT>GC	0.00007104
CT>GG	0.01260605
CT>TA	0.01539178
CT>TC	0.00424938
CT>TG	0.01678439
GC>AA	0.10536613
GC>AG	0.01608813
GC>AT	0.02904108
GC>CA	0.01121351
GC>CG	0.00007104
GC>TA	0.00870646
TA>AT	0.01260644
TA>CG	0.00007104
TA>CT	0.01330260
TA>GC	0.00007104
TA>GG	0.00007104
TA>GT	0.00007104
TC>AA	0.05592212
TC>AG	0.03670186
TC>AT	0.07556178
TC>CA	0.01316358
TC>CG	0.01372061
TC>CT	0.02402722
TC>GA	0.03349789
TC>GG	0.00842772
TC>GT	0.01636701
TG>AA	0.01803829
TG>AC	0.00007104
TG>AT	0.02207740
TG>CA	0.00424938
TG>CC	0.00411016
TG>CT	0.01678484
TG>GA	0.00466732
TG>GC	0.00007104
TG>GT	0.00912426
TT>AA	0.00007104
TT>AC	0.00898497
TT>AG	0.00424938
TT>CA	0.00007104
TT>CC	0.00007104
TT>CG	0.00007104
TT>GA	0.00424938
TT>GC	0.00007104
TT>GG	0.00424938
