MutationType	DBS2	DBS13	DBS20	DBS78A	DBS78C
AC>CA	0.00037408	0.00215512	0.00503114	0.00371855	0.00222682
AC>CG	0.00003170	0.00005150	0.00190918	0.00007257	0.00007288
AC>CT	0.00012603	0.00285340	0.00237222	0.00007257	0.00007288
AC>GA	0.00023705	0.00276230	0.00158594	0.01544486	0.00943018
AC>GG	0.00000000	0.00146431	0.00263499	0.00007257	0.00007288
AC>GT	0.00028006	0.00443944	0.00031640	0.00007257	0.00007288
AC>TA	0.00148031	0.00257991	0.00933111	0.02843952	0.00754353
AC>TG	0.00000636	0.00428449	0.00013060	0.00162965	0.00527250
AC>TT	0.00292062	0.01573974	0.00251075	0.00007257	0.00007288
AT>CA	0.00003780	0.00420812	0.00223810	0.00007257	0.00007288
AT>CC	0.00000000	0.00100803	0.00123446	0.00759259	0.00185044
AT>CG	0.00000000	0.00000233	0.00155349	0.00007257	0.00007288
AT>GA	0.00016804	0.00213368	0.00845878	0.00902283	0.00361033
AT>GC	0.00000585	0.00030030	0.00036851	0.00007257	0.00007288
AT>TA	0.00045810	0.01051729	0.00293144	0.00608964	0.00610578
CC>AA	0.72415324	0.00000051	0.00037896	0.00001698	0.05792911
CC>AG	0.07261537	0.01167958	0.00397481	0.03308873	0.04698310
CC>AT	0.10002116	0.04328139	0.00553983	0.05219520	0.01742684
CC>GA	0.01770375	0.00001040	0.00085171	0.02235673	0.01165075
CC>GG	0.00045010	0.00076944	0.00268544	0.00007257	0.00007288
CC>GT	0.00110023	0.02345453	0.00415748	0.01586599	0.00874171
CC>TA	0.01600339	0.04135706	0.00994449	0.03238128	0.02542089
CC>TG	0.00023705	0.00954473	0.00199377	0.01377674	0.00888299
CC>TT	0.00000000	0.00009970	0.00585993	0.07953534	0.02378602
CG>AT	0.00115024	0.00041279	0.00146010	0.00401527	0.00455936
CG>GC	0.00036908	0.00117069	0.00015095	0.00007257	0.00007288
CG>GT	0.00128027	0.00236357	0.00024229	0.00007257	0.00007288
