MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
AC>CA	0.003671891999935421	0.007773025026593435	0.004256867995961026	0.003802717508733622	0.0023583233238847847
AC>CG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AC>CT	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AC>GA	5.6565633106705114e-05	0.03612891903079193	0.0050836346699422085	0.015109224691817266	0.011825463378954737
AC>GG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AC>GT	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AC>TA	0.00984974193306698	0.012019383903983301	0.015601105204738511	0.009779359711804622	0.017471929364334452
AC>TG	0.005696596860313245	0.00460034166656745	0.00461498417268255	0.0031669258592349554	0.0064469843136369795
AC>TT	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AT>CA	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AT>CC	0.010833154939852345	0.004613775124501747	0.0019450946897753359	0.0021780373857230493	0.004505598361235267
AT>CG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AT>GA	0.004751378846170458	0.006888225023552271	0.002051875103885929	0.004799628945814523	0.004053754058016542
AT>GC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
AT>TA	0.013248835310999614	0.007854764368433582	0.010839251045187364	0.004085578417289071	0.008444537300116886
CC>AA	1.4000995495082325e-05	1.5326766466975763e-05	1.2323870261828537e-05	0.021747185253637422	0.36629373838295576
CC>AG	0.11084026585040192	0.007917225242804478	0.035481398065529524	0.033013633815840146	0.045575000215814815
CC>AT	0.058446469315094875	0.009927716511629114	0.02896660528628369	0.01385574053535282	0.01218847778647311
CC>GA	0.028522594684197124	0.018536029958613653	0.02815068349335282	0.011835844328152234	0.0104527468772328
CC>GG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
CC>GT	0.006599422393022299	0.022316626622947904	0.007946952742652986	0.012537168895687501	0.015546902161925875
CC>TA	0.02337086595055098	0.020793619375793545	0.049108621134382704	0.018903071763511286	0.019015687963226332
CC>TG	0.011683387814021748	0.009376567143226567	0.013550775848974203	0.006368545900356063	0.0051694360112681656
CC>TT	0.006801576102111606	0.1393024749855916	0.018814481774929465	0.05012958928823273	0.023092962382047468
CG>AT	0.0019930771087577643	0.006374032235423026	0.005510040846881263	0.002225487979618871	0.005607683249885061
CG>GC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
CG>GT	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
CG>TA	0.008734002427202844	0.003731681106122172	0.004605367087424384	0.0032811877305600015	0.0025353370643036517
CG>TC	0.022847219327134856	0.016665280928949262	0.011861008565301746	0.005472356041536841	0.01810258522618824
CG>TT	0.00639390072428796	0.010595527420082362	0.010774467672248041	0.007082978561690349	0.005527542024598612
CT>AA	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
CT>AC	0.006177865286008455	0.002165400208104984	0.00431147937233618	0.0020794590448834547	0.0073000066035698785
CT>AG	0.02086409830323343	0.02030898732073183	0.006687041695325509	0.0041290742598600145	0.013209612085483968
CT>GA	0.006808738620626779	0.011596416008736317	0.006205485911656676	0.009399425324469727	0.005234954518527957
CT>GC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
CT>GG	0.011205475399219723	0.026769195640129813	0.013721946637815563	0.006985215605042564	0.006363229012276861
CT>TA	0.016786526503892674	0.027243878052104264	0.025288232845453725	0.011143122077100998	0.009628848360341636
CT>TC	0.00918557221593801	0.0033655271077198752	0.0013514293194020865	0.0050500512856766966	0.0032789165183203296
CT>TG	0.0377710784363444	0.027160685473002863	0.014699379344710906	0.004818905959897772	0.005055043895966568
GC>AA	1.6509915804567103e-05	1.5200556418252612e-05	1.3740082110446052e-05	0.47469640473524727	1.8881945004478595e-05
GC>AG	0.030002895424998618	0.024980677356870727	0.017694659726267523	0.01063393174617886	0.01233668562629949
GC>AT	0.01640197451252495	0.07239881193479127	0.025677118853417724	0.008221342907773483	0.037567636815988736
GC>CA	0.014576545079398784	0.015672646863216264	0.024719841202446937	0.010899424154680067	0.002602745651120131
GC>CG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
GC>TA	0.005965061161987251	0.013597019644536582	0.004836435949437145	0.00837483718811806	0.008491376091114944
TA>AT	0.009142515678953108	0.02067377278344793	0.007722355045189033	0.006106126829035929	0.014907112565621598
TA>CG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TA>CT	0.018792324162920218	0.026265777689938357	0.013969053841841135	0.0024709567831450842	0.006892412072556908
TA>GC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TA>GG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TA>GT	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TC>AA	0.03577030964797814	0.08673798188554718	0.06607039811410592	0.03776232713962486	0.0426426547711164
TC>AG	0.029277863008367908	0.07063354987743271	0.044590009854354386	0.015481166920334865	0.015606252524366936
TC>AT	2.2178474500833546e-05	0.0009410233256291552	0.23735692060032912	0.02447462727359735	0.07234641148121404
TC>CA	0.013975796837621601	0.015151386924905334	0.01544097244391196	0.009201739327181713	0.012563950986926404
TC>CG	0.02035256945103659	0.018380769000759755	0.00998471754919592	0.014840638083175388	0.008957542195518423
TC>CT	0.0509297094795329	0.01294923988756788	0.0219765849298786	0.01672680417097278	0.010262047989423689
TC>GA	0.10797678021417596	0.020692070481292932	0.00796651850996061	0.02162588579747164	0.024332625130236984
TC>GG	0.01640253151338887	0.011658658588324518	0.00908616784199694	0.003390903557980588	0.006567491134774173
TC>GT	0.020710828063602093	0.017120543021822716	0.02868265472704176	0.004318626302908039	0.0121082818164723
TG>AA	0.030319494939370393	0.016457887645083248	0.008973096912617015	0.017863183153591915	0.008788237778450518
TG>AC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TG>AT	0.04723808596331155	0.00804967047916231	0.045662672497231445	3.4322011333642874e-05	0.021306908170276983
TG>CA	0.005902877062787108	0.007269823388317794	0.0027595038986570823	0.004030008260572989	0.004031960402789992
TG>CC	0.005122308966383571	0.003423874933165886	0.00617225528221752	0.004782835740722173	0.0041664021236404855
TG>CT	0.0250767120690701	0.02368446075442989	0.03018479953577504	0.008103489475183778	0.011432347740962238
TG>GA	0.0030248254863787833	0.00894084631424145	0.006774680474336492	0.0011776753087663868	0.0016727460688950183
TG>GC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TG>GT	0.011324038193682403	0.013784076690141471	0.008569354473729618	0.006551040625345195	0.004417131887961053
TT>AA	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TT>AC	0.019837198978469434	0.009231560740226996	0.006083201614516535	0.0028857711013188236	0.00883102952526921
TT>AG	0.006319290778022454	0.002423610207188176	0.0060460446788056284	0.003072426924457735	0.0052872921585124764
TT>CA	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TT>CC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TT>CG	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TT>GA	0.005809508542248902	0.006876143893653837	0.0042436275340151045	0.005169174024437477	0.001306586537369488
TT>GC	7.230133802901642e-05	7.161057389263685e-05	6.602391028233493e-05	7.291544946686675e-05	7.34389291513556e-05
TT>GG	0.00474744073265659	0.006158002647862304	0.005651510982230926	0.002301975160056221	0.004433894641382116
