MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
AC>CA	2.41E-03	1.78E-03	1.97E-03	1.81E-03	4.27E-03
AC>CG	3.41E-07	6.28E-07	3.97E-03	2.05E-03	5.59E-07
AC>CT	1.38E-02	3.83E-03	4.87E-03	1.09E-03	2.50E-03
AC>GA	1.14E-02	5.46E-03	5.34E-07	2.64E-07	4.98E-03
AC>GG	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
AC>GT	9.06E-04	1.15E-03	5.98E-07	2.27E-07	8.99E-04
AC>TA	3.03E-03	3.06E-03	5.78E-03	1.61E-07	1.72E-02
AC>TG	6.23E-07	2.42E-03	3.67E-07	2.20E-07	9.49E-04
AC>TT	1.93E-03	3.35E-07	5.46E-03	3.69E-03	3.48E-03
AT>CA	1.50E-03	3.12E-07	6.19E-03	4.94E-07	1.10E-02
AT>CC	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
AT>CG	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
AT>GA	4.36E-03	9.68E-04	3.19E-07	6.04E-07	2.49E-03
AT>GC	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
AT>TA	1.08E-03	2.25E-03	3.32E-03	1.91E-07	2.39E-03
CC>AA	4.11E-02	2.66E-02	2.11E-02	5.90E-03	1.95E-02
CC>AG	1.20E-02	1.02E-02	7.13E-03	1.47E-03	1.31E-02
CC>AT	1.39E-02	1.26E-02	7.20E-03	3.58E-03	2.38E-02
CC>GA	5.67E-03	1.12E-02	9.97E-03	5.38E-03	2.58E-03
CC>GG	3.23E-07	9.37E-04	5.22E-03	3.79E-07	1.66E-03
CC>GT	3.46E-03	2.70E-03	7.67E-03	3.14E-03	2.13E-03
CC>TA	3.55E-03	4.30E-03	3.58E-07	5.61E-03	1.01E-02
CC>TG	1.76E-03	7.04E-04	3.13E-07	1.37E-03	3.22E-03
CC>TT	4.34E-03	1.46E-02	9.64E-03	3.25E-02	2.66E-03
CG>AT	1.81E-03	2.15E-07	4.70E-07	1.70E-07	2.23E-03
CG>GC	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
CG>GT	3.53E-03	1.00E-03	6.02E-03	1.85E-07	1.43E-03
CG>TA	3.53E-03	4.34E-03	5.39E-03	3.74E-03	7.50E-03
CG>TC	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
CG>TT	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
CT>AA	5.93E-03	9.48E-03	4.71E-03	3.50E-03	3.26E-03
CT>AC	1.84E-03	3.52E-03	4.37E-07	2.18E-07	2.48E-03
CT>AG	4.21E-03	4.66E-03	7.65E-03	2.60E-07	1.48E-02
CT>GA	7.66E-04	1.37E-03	3.33E-03	1.52E-07	9.50E-04
CT>GC	5.42E-07	4.87E-07	4.70E-03	4.10E-03	3.71E-07
CT>GG	1.14E-06	4.44E-03	6.39E-03	4.51E-03	5.85E-04
CT>TA	6.71E-03	3.41E-03	0.00E+00	5.50E-03	4.74E-03
CT>TC	3.83E-03	3.28E-07	1.34E-03	1.53E-03	2.51E-03
CT>TG	4.35E-07	4.56E-03	9.94E-03	1.97E-03	4.36E-03
GC>AA	2.02E-02	1.47E-02	3.49E-03	5.96E-03	1.82E-02
GC>AG	3.37E-03	7.25E-03	0.00E+00	7.15E-03	1.22E-02
GC>AT	1.78E-03	8.09E-03	8.00E-03	2.75E-03	2.56E-03
GC>CA	1.76E-03	1.14E-07	8.63E-03	3.73E-03	4.55E-03
GC>CG	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
GC>TA	3.52E-03	4.05E-07	4.68E-03	2.90E-07	2.85E-03
TA>AT	4.01E-03	2.69E-03	6.54E-03	3.93E-03	5.29E-03
TA>CG	3.37E-07	3.48E-03	5.28E-03	8.63E-08	5.00E-03
TA>CT	7.13E-03	9.88E-04	8.56E-03	6.87E-03	5.30E-03
TA>GC	2.20E-07	4.69E-07	4.34E-07	2.34E-07	4.63E-07
TA>GG	3.20E-07	2.19E-03	5.44E-07	3.46E-07	2.44E-03
TA>GT	4.84E-03	1.62E-03	6.21E-03	1.15E-03	4.11E-03
TC>AA	1.64E-02	8.02E-03	2.64E-02	4.90E-03	2.34E-02
TC>AG	3.78E-03	7.72E-03	3.83E-03	1.28E-02	7.94E-03
TC>AT	9.27E-03	8.44E-03	5.91E-03	2.19E-02	9.62E-03
TC>CA	1.01E-02	2.35E-03	6.46E-03	2.37E-03	1.83E-02
TC>CG	2.11E-03	3.32E-07	5.12E-03	1.30E-03	1.89E-06
TC>CT	1.40E-02	6.27E-03	3.51E-03	6.11E-03	3.85E-03
TC>GA	1.39E-02	5.12E-03	1.35E-03	2.03E-07	1.16E-02
TC>GG	4.84E-07	1.29E-03	2.36E-03	1.35E-03	3.39E-07
TC>GT	9.85E-04	4.73E-03	1.99E-07	8.74E-04	8.17E-03
TG>AA	2.03E-03	2.98E-03	1.48E-03	2.35E-07	3.27E-03
TG>AC	1.71E-07	1.27E-03	3.85E-07	8.58E-07	3.99E-07
TG>AT	3.32E-03	6.45E-03	7.47E-03	9.67E-08	7.43E-03
TG>CA	6.95E-03	1.53E-02	8.51E-03	4.64E-03	1.88E-02
TG>CC	2.66E-03	1.99E-03	2.07E-03	7.14E-03	3.57E-03
TG>CT	3.39E-03	2.35E-02	1.65E-02	2.17E-03	5.53E-03
TG>GA	3.06E-07	5.79E-07	4.37E-03	3.19E-07	3.77E-07
TG>GC	3.15E-07	2.79E-07	3.33E-03	1.22E-07	2.36E-07
TG>GT	8.46E-03	1.99E-03	4.74E-03	8.57E-03	1.41E-02
TT>AA	3.14E-03	2.11E-03	6.23E-03	3.17E-03	3.72E-03
TT>AC	2.64E-07	2.05E-07	1.71E-03	9.66E-08	3.30E-07
TT>AG	4.51E-07	3.16E-03	6.04E-03	4.92E-03	2.27E-03
