MutationType	DBS78A	DBS78B	DBS78C
AC>CA	0.0017653169536060887	0.00638179740672058	0.004756959617346486
AC>CG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AC>CT	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AC>GA	0.009232834079800039	0.008564438434283754	0.024858542138948298
AC>GG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AC>GT	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AC>TA	0.011539170529552696	0.01403334519109194	0.015122373862323003
AC>TG	0.0035056099951058664	0.004330366182451447	0.006011538064133977
AC>TT	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AT>CA	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AT>CC	0.0052415600342404405	0.0027251284118392505	0.0034327532771082285
AT>CG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AT>GA	0.003963126169158689	0.006292327873840501	0.002746287708578166
AT>GC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
AT>TA	0.007107283336760399	0.008940249897326188	0.006989373464239179
CC>AA	1.1331060362410976e-05	0.1795213231335462	0.06577247991880751
CC>AG	0.07190746935975767	0.03421607502435601	0.047274897973019876
CC>AT	0.03883323298723553	0.020358549203744285	0.017062366520167415
CC>GA	0.027400335340644233	0.014645825258655047	0.008457714913053376
CC>GG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
CC>GT	0.008303367192638689	0.013482508032393526	0.01677625345813188
CC>TA	0.025437933496965423	0.03308676238198511	0.022534932712944118
CC>TG	0.015653882921954694	0.006630843119152511	0.00498988938597904
CC>TT	0.08400628648622235	0.033641481359074986	0.027935737273636126
CG>AT	0.0039019553386121213	0.003505655693394753	0.005015125245942424
CG>GC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
CG>GT	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
CG>TA	0.004240560286901503	0.003760017024978879	0.004825487235211767
CG>TC	0.012479610771333683	0.01429081980289387	0.012349297472186056
CG>TT	0.008529269930295413	0.007249586158892877	0.0096852677548668
CT>AA	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
CT>AC	0.005640397335082525	0.004267662912873978	0.0035090827505579606
CT>AG	0.017339200305468695	0.0166418312589182	0.00594363557035346
CT>GA	0.010515562327903656	0.00483301864975753	0.01147880945985283
CT>GC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
CT>GG	0.019100794451636222	0.009100793894685922	0.010016188532184363
CT>TA	0.019575364414746825	0.023947543113717985	0.010654626954904718
CT>TC	0.00445796063747063	0.003446410193888975	0.005195081083487215
CT>TG	0.011510582909613732	0.023336805459136183	0.01522801462121303
GC>AA	1.1171141428671187e-05	1.3521172745830274e-05	0.3041994055112203
GC>AG	0.021372403000714257	0.015357988977424004	0.012786277165772238
GC>AT	0.03784884610424039	0.02972468220996992	0.02225289326688653
GC>CA	0.02330261703452076	0.010208512358561468	0.007541999305340141
GC>CG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
GC>TA	0.007988601288889185	0.00919137642546654	0.004309284893315635
TA>AT	0.011871184724865695	0.01658971636449375	0.009671355695415211
TA>CG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TA>CT	0.017269155108806444	0.010102471206846531	0.012550201182602905
TA>GC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TA>GG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TA>GT	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TC>AA	0.03418809322513804	0.08675114564420028	0.03358138478975199
TC>AG	0.046289749170258195	0.05139811020823496	0.011739478095308679
TC>AT	0.13918933055765592	0.03468814381648902	0.049202725749176564
TC>CA	0.00735094466284257	0.02068002449098761	0.011304977373947622
TC>CG	0.014201822082759464	0.015801370445115027	0.00974977749538084
TC>CT	0.021757126965712813	0.028283782481594244	0.012558930307144086
TC>GA	0.032486472723736996	0.045312749694661154	0.024482824350419225
TC>GG	0.011807961318845627	0.00832500448511079	0.007053200196969556
TC>GT	0.024262906780374276	0.012379251646780175	0.012830478018319507
TG>AA	0.01793742053632741	0.01087118216670812	0.025104635373160513
TG>AC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TG>AT	0.029966225591488184	0.023023214515887958	0.010309660064255393
TG>CA	0.002204276384751817	0.0038775234009032528	0.0060958734103527
TG>CC	0.005871655433778263	0.004081648386393984	0.0042898424371135965
TG>CT	0.01687375995794961	0.023095287974501843	0.009769958731340012
TG>GA	0.007851316858189723	0.006130243414372671	0.002807958931104319
TG>GC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TG>GT	0.0050482948920641015	0.00965802220622815	0.007471803438359833
TT>AA	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TT>AC	0.014311440887468052	0.008139333100734803	0.006004298455324412
TT>AG	0.005546270300207349	0.0038267176375181102	0.004028885115621961
TT>CA	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TT>CC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TT>CG	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TT>GA	0.005365181456242377	0.005142190036834412	0.0033977508831109543
TT>GC	6.856887266621925e-05	7.167637716823569e-05	7.291645379154943e-05
TT>GG	0.004911632524817832	0.004323806876588302	0.004458522881517032
