MutationType	DBS1	DBS2	DBS4	DBS6	DBS10	DBS11	DBS13	DBS17	DBS18	DBS78I	DBS78K	DBS78L
AC>CA	0.00004970	0.00037408	0.00414186	0.00266057	0.00963042	0.00136991	0.00215512	0.02071416	0.01032284	0.00000704	0.00625064	0.00831754
AC>CG	0.00002640	0.00003170	0.00004960	0.00014603	0.00001770	0.00019399	0.00005150	0.00178473	0.00270831	0.01057677	0.00000153	0.00000505
AC>CT	0.00429109	0.00012603	0.00000000	0.00024005	0.01350059	0.00075595	0.00285340	0.01448810	0.02015771	0.00264886	0.00000237	0.00000499
AC>GA	0.00012703	0.00023705	0.00440197	0.00858184	0.00535023	0.00044197	0.00276230	0.01919179	0.00733972	0.04736862	0.00000195	0.00000573
AC>GG	0.00005710	0.00000000	0.00000000	0.00010402	0.00059003	0.00224985	0.00146431	0.00806451	0.00498693	0.00000763	0.00000265	0.00000710
AC>GT	0.00296075	0.00028006	0.00000001	0.00013203	0.02870124	0.00570961	0.00443944	0.03054249	0.01222056	0.00000643	0.00000240	0.00000694
AC>TA	0.00120031	0.00148031	0.00127057	0.01010217	0.00010501	0.00026398	0.00257991	0.00866264	0.02293684	0.02954668	0.03997526	0.01247750
AC>TG	0.00017204	0.00000636	0.00005310	0.00044910	0.00000766	0.00023898	0.00428449	0.00880495	0.01387712	0.00000683	0.00000365	0.00000711
AC>TT	0.02650674	0.00292062	0.00016107	0.00318068	0.00071003	0.00281981	0.01573974	0.01746806	0.01684274	0.00264529	0.01249976	0.01163816
AT>CA	0.00048212	0.00003780	0.00091641	0.00011402	0.00353015	0.00947935	0.00420812	0.01015017	0.00456027	0.01219519	0.01831390	0.01247502
AT>CC	0.00029708	0.00000000	0.00000000	0.00006390	0.00116005	0.00189987	0.00100803	0.00705084	0.00181878	0.00000763	0.00000265	0.00000710
AT>CG	0.00000398	0.00000000	0.00000000	0.00000182	0.00259011	0.00001740	0.00000233	0.00141649	0.00074281	0.00000763	0.00000265	0.00000710
AT>GA	0.00212054	0.00016804	0.00032415	0.00162035	0.00008060	0.01119924	0.00213368	0.01421218	0.00264049	0.00000676	0.00000305	0.00000704
AT>GC	0.00017404	0.00000585	0.00001760	0.00001720	0.00408018	0.00417971	0.00030030	0.01092828	0.00049459	0.00000763	0.00000265	0.00000710
AT>TA	0.00234060	0.00045810	0.00453203	0.00220047	0.00293013	0.00383974	0.01051729	0.01253780	0.00800010	0.00264874	0.00000267	0.00000492
CC>AA	0.00001060	0.72415324	0.00000000	0.00000000	0.01370059	0.00000000	0.00000051	0.00035239	0.01061034	0.00000000	0.05761577	0.01874683
CC>AG	0.00001230	0.07261537	0.00543244	0.06161322	0.00007130	0.00097193	0.01167958	0.00121360	0.04763347	0.03130381	0.04375661	0.03619777
CC>AT	0.01870475	0.10002116	0.01570704	0.00043809	0.01050046	0.03449765	0.04328139	0.00073096	0.09923242	0.00000570	0.13818943	0.03207217
CC>GA	0.00013403	0.01770375	0.00355159	0.03550762	0.00339015	0.00095294	0.00001040	0.00074893	0.01597963	0.00420435	0.01646392	0.01401282
CC>GG	0.00009820	0.00045010	0.00007300	0.01810389	0.00000000	0.00344977	0.00076944	0.00329962	0.00521338	0.00264949	0.01291352	0.00000548
CC>GT	0.00692176	0.00110023	0.00007990	0.00344074	0.00108005	0.06949526	0.02345453	0.00946063	0.01902114	0.04059616	0.01249738	0.18461906
CC>TA	0.01040264	0.01600339	0.00017008	0.00222048	0.02390104	0.05879599	0.04135706	0.00029078	0.02267045	0.01125070	0.03431513	0.00000338
CC>TG	0.00255065	0.00023705	0.00000830	0.00687147	0.00000000	0.03229780	0.00954473	0.03163951	0.01806850	0.00000606	0.00000166	0.00000603
CC>TT	0.85821813	0.00000000	0.00000000	0.00000000	0.02060089	0.33197737	0.00009970	0.00082274	0.03204135	0.03352396	0.01606329	0.05053494
CG>AT	0.00000060	0.00115024	0.00029013	0.00754162	0.00000000	0.00181988	0.00041279	0.00251098	0.00082662	0.00000663	0.00000255	0.00000660
