MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	0.02492182304148969	2.2890341460879428e-05	3.237609962525312e-05	0.08209575666041928	2.0858631614828482e-05	7.449216209352017e-05
AC>CG	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AC>CT	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AC>GA	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AC>GG	2.0361234078336565e-05	0.013314983762847987	0.02851943913010473	0.05706977237314277	0.03990364093720018	6.433517337427475e-05
AC>GT	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AC>TA	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AC>TG	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AC>TT	0.059232377671287396	2.0631723782571498e-05	3.0091237749729772e-05	0.028530948262050514	2.1276022016536446e-05	8.099461556412279e-05
AT>CA	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AT>CC	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AT>CG	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AT>GA	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AT>GC	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
AT>TA	3.4618973950273356e-05	3.082682778767776e-05	4.0168546183849686e-05	4.8481295016244987e-05	3.363006944709923e-05	8.797933405730873e-05
CC>AA	0.4114681094884872	9.52492865335941e-07	0.057039397334644734	0.11401668732214602	0.033290496130957914	3.1585140347800686e-05
