MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	7.188440983204221e-09	0.003013007159988016	0.0032409460976668453	0.00031686483503487277	0.0018469904651889615
1:Del:C:1	0.03936493864081854	0.5122903519476723	0.007960094585479282	0.006356054164239566	0.016330222805572704
1:Del:C:2	0.14452370283073226	0.03836040972238	0.04218700555910762	0.00982729669404468	0.0009052831998739445
1:Del:C:3	0.1641770159204801	0.016970902812734626	1.3918284134225208e-05	0.016412190980484336	3.189573904667971e-06
1:Del:C:4	0.09088706062502752	0.003040255269017204	0.0040668275701591485	0.07084253936773166	9.471665350702096e-06
1:Del:C:5	0.017704830277216387	0.0001818167554745287	0.005796014736985574	0.13291946525375048	5.4780476671586104e-06
1:Del:T:0	1.2405086306325566e-07	6.141185248698851e-05	0.000321867322423941	0.00017157923234094595	0.001325929056838504
1:Del:T:1	0.07314215386164354	0.17502787277246437	0.012893977050172605	0.011375438217555711	0.0019196730076563048
1:Del:T:2	0.14405194198740598	0.04942314727554731	0.022853688192609904	8.000401608683205e-05	1.0355750788448859e-05
1:Del:T:3	0.1496447351613218	0.0009022234252237619	1.034487541933989e-05	0.03425866707339083	6.393434160164209e-06
1:Del:T:4	0.10609119364259338	1.7308214651260793e-05	0.010031041411291141	0.06946155811965582	0.00010476948391631898
1:Del:T:5	0.07029227626820406	6.741241800985644e-06	0.008632068891406183	0.2943835789958636	1.7765093597669572e-06
1:Ins:C:0	9.940800538288386e-09	0.0035962938264740766	0.004366947523188713	3.5660314172976844e-06	0.0026600233328584483
1:Ins:C:1	1.0834028015484332e-08	0.006761443259247102	0.014986663724085858	0.004923262038046517	0.011310706181120622
1:Ins:C:2	1.1793985403111643e-08	0.005983068998064311	0.011656261091156495	0.00207908850592086	0.0066473218458971434
1:Ins:C:3	9.071801769048686e-09	0.005681229343421042	0.006939127023148709	0.003968791244380298	0.007210742138295245
1:Ins:C:4	1.4907307362614005e-08	0.002202703672562952	0.015012532261395487	0.008036501021796028	0.006945162500960578
1:Ins:C:5	8.187091745289385e-09	0.0035510811249888975	0.015287042921924392	0.05296037718053282	0.00011344790647550932
