MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
AC>CA	3.19E-03	1.80E-03	5.57E-03	1.51E-03	2.40E-03	3.33E-03	4.42E-03	3.28E-03	1.81E-03	2.64E-03	5.53E-03	2.39E-06	2.41E-06
AC>CG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AC>CT	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AC>GA	4.59E-06	4.17E-03	3.44E-02	3.24E-06	3.80E-06	1.66E-03	7.41E-03	3.64E-06	1.06E-02	3.50E-03	5.24E-03	4.16E-06	7.68E-03
AC>GG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AC>GT	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AC>TA	1.94E-02	5.06E-03	2.22E-02	3.20E-06	3.02E-03	3.98E-06	8.30E-03	1.30E-02	1.01E-02	3.38E-06	1.50E-02	1.13E-02	1.29E-02
AC>TG	6.85E-03	2.42E-06	3.28E-06	2.64E-06	1.94E-06	4.10E-06	2.92E-03	5.10E-03	2.89E-03	1.58E-03	5.04E-03	2.44E-06	2.77E-03
AC>TT	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AT>CA	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AT>CC	2.22E-03	2.92E-06	4.74E-03	3.69E-03	1.14E-03	8.93E-03	8.31E-03	6.55E-03	2.04E-03	1.33E-03	3.46E-06	4.34E-06	4.61E-03
AT>CG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AT>GA	4.47E-03	2.03E-03	1.12E-02	1.15E-03	1.44E-03	4.89E-03	1.84E-03	1.66E-03	2.49E-03	6.82E-03	5.52E-03	4.15E-03	3.35E-03
AT>GC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
AT>TA	1.95E-03	3.73E-03	1.35E-02	3.62E-06	4.71E-06	2.17E-02	3.55E-03	1.75E-03	5.32E-03	4.12E-03	3.73E-06	5.20E-03	5.54E-03
CC>AA	4.11E-06	2.98E-06	4.71E-06	2.57E-06	2.40E-02	3.43E-06	3.93E-06	2.50E-06	2.58E-06	2.96E-06	4.01E-06	3.48E-06	4.23E-06
CC>AG	3.90E-06	9.13E-03	3.75E-06	2.03E-02	8.51E-03	5.53E-06	3.15E-06	4.72E-02	1.26E-02	2.59E-06	4.31E-06	4.30E-06	3.50E-06
CC>AT	6.04E-03	5.03E-03	5.78E-06	1.31E-02	6.47E-03	1.11E-02	2.77E-03	1.33E-02	7.22E-03	1.11E-02	5.12E-02	1.16E-02	4.39E-06
CC>GA	6.23E-03	4.27E-03	7.81E-03	3.25E-06	5.11E-03	1.65E-02	2.81E-02	1.27E-02	1.40E-02	3.26E-06	1.13E-02	1.55E-02	1.53E-02
CC>GG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
CC>GT	1.07E-02	3.98E-03	1.31E-02	4.75E-03	5.75E-03	1.95E-02	1.41E-02	3.05E-06	5.30E-03	8.14E-03	1.86E-02	8.58E-03	1.03E-02
CC>TA	1.05E-02	3.38E-06	1.86E-02	2.29E-06	6.64E-03	1.45E-02	3.37E-02	1.40E-02	8.12E-03	2.31E-02	2.41E-02	2.40E-02	1.81E-02
CC>TG	1.20E-02	3.86E-06	7.38E-03	1.44E-03	2.76E-03	1.44E-02	5.11E-03	6.85E-03	3.50E-03	7.35E-03	1.09E-02	9.80E-03	6.64E-03
CC>TT	4.47E-06	2.37E-06	5.04E-06	3.45E-06	1.59E-02	3.79E-06	3.09E-06	3.23E-06	2.17E-06	4.36E-02	4.85E-06	1.35E-02	3.73E-06
CG>AT	8.91E-03	1.15E-03	5.98E-03	1.85E-03	1.38E-06	4.42E-03	6.06E-03	1.66E-03	1.33E-03	2.23E-06	4.90E-03	3.17E-03	4.15E-03
CG>GC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
CG>GT	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
CG>TA	6.18E-03	1.75E-06	2.22E-03	1.94E-06	1.47E-06	5.70E-03	5.22E-03	3.27E-03	3.18E-03	3.06E-03	1.66E-03	3.10E-03	5.25E-03
CG>TC	1.41E-02	3.02E-03	1.02E-02	6.90E-03	5.05E-03	4.98E-03	9.65E-03	4.15E-03	7.47E-03	9.77E-03	1.42E-02	9.56E-03	7.83E-03
CG>TT	1.57E-02	3.38E-03	1.70E-02	5.60E-03	3.92E-06	4.15E-06	1.09E-02	4.72E-06	9.91E-06	3.72E-03	1.35E-02	4.86E-06	4.80E-06
CT>AA	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
CT>AC	3.58E-03	7.38E-04	1.09E-02	2.31E-03	1.01E-03	4.94E-03	4.02E-03	4.05E-03	2.52E-03	1.66E-03	3.33E-03	2.95E-03	2.86E-06
CT>AG	1.95E-02	3.48E-03	1.78E-02	3.41E-06	4.35E-03	5.89E-03	1.63E-02	1.48E-02	4.16E-06	3.02E-03	1.02E-02	8.74E-03	4.15E-06
CT>GA	5.04E-03	9.23E-04	3.61E-03	2.21E-03	2.07E-03	1.63E-02	6.43E-03	2.21E-03	9.86E-03	4.99E-03	3.34E-06	5.26E-06	8.60E-03
CT>GC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
CT>GG	5.24E-03	3.32E-03	2.64E-02	5.67E-03	3.48E-06	2.15E-02	7.03E-03	4.53E-03	4.33E-03	4.98E-03	1.20E-02	1.53E-02	8.29E-03
CT>TA	3.37E-02	3.43E-03	4.95E-06	4.33E-03	3.02E-03	3.41E-06	2.12E-02	4.52E-03	8.34E-03	3.16E-03	1.21E-02	5.77E-03	1.29E-02
CT>TC	2.65E-06	1.56E-03	3.32E-03	2.71E-03	1.75E-03	2.73E-06	4.83E-03	3.52E-03	3.49E-03	2.32E-03	4.71E-03	3.25E-03	3.84E-03
CT>TG	2.25E-02	4.43E-03	1.47E-02	5.78E-03	5.66E-03	1.10E-02	1.24E-02	9.23E-03	4.58E-03	1.44E-02	1.36E-02	9.81E-03	1.93E-02
GC>AA	4.33E-06	1.87E-02	4.87E-06	2.39E-06	3.75E-06	4.73E-06	3.44E-06	2.85E-06	3.21E-06	3.93E-06	3.43E-06	4.58E-06	5.08E-06
GC>AG	7.69E-03	3.83E-06	2.13E-02	6.57E-03	8.08E-03	1.68E-02	8.29E-03	1.54E-02	5.69E-03	5.93E-03	1.26E-02	1.60E-02	8.50E-03
