MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
AC>CA	0.0046491093298148675	0.0032748730014039514	0.011105597960219407	0.0015602345982794455	0.004357279175504421	0.005846405559471653	0.007967468348215333	0.005691482718854483	0.0026517313409082513	0.003781770486602909	0.011100190042452596	5.508412499087474e-05	7.080622599460184e-05
AC>CG	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AC>CT	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AC>GA	3.94371554572596e-05	0.005962614515573844	0.17621031191586856	2.6502430858038607e-05	3.973448372486625e-05	0.0017021118225026535	0.01064694444231738	3.424453561464702e-05	0.021845044974929805	0.0035324871331173847	0.005278955735411728	2.874250990991071e-05	0.010988090415744294
AC>GG	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AC>GT	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AC>TA	0.04408609395385004	0.008901156595323334	0.03750262228105454	2.8478516127468842e-05	0.0030579819881495496	4.212844989506248e-05	0.008338809273967247	0.018233204651202577	0.023527610465771433	3.695976850697965e-05	0.025355353689824747	0.023427217054616752	0.02122127537401563
AC>TG	0.013243352862627945	6.767580707673914e-05	6.317581707359447e-05	5.48692711769642e-05	6.802362828845313e-05	6.832272389753294e-05	0.004132466175724403	0.011409017622281682	0.002955518091888128	0.0016411679606486965	0.007284972203706275	5.94036516607351e-05	0.002843287116168843
AC>TT	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AT>CA	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AT>CC	0.0022760803268435364	6.257312579691643e-05	0.00480323685581728	0.0037433696765826123	0.0012048137568854145	0.01990572485198451	0.008380291593251361	0.019575603673062384	0.0021004984287477176	0.0013839509342081632	5.565379166606969e-05	5.2574797458267615e-05	0.00670164369912527
AT>CG	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AT>GA	0.007887433006544597	0.004247086638185256	0.026689937232489077	0.0011955142753777182	0.001506180664735742	0.006178816230628096	0.0019051879265589377	0.0017141933990690934	0.004531481386948144	0.008529291499519332	0.00959912174106042	0.004204822161288272	0.004661548193386504
AT>GC	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
AT>TA	0.0019874601154394136	0.005365967761149841	0.02492910239574731	3.668880713879237e-05	4.7919011801787297e-05	0.06966313452661173	0.005158375840301233	0.0017923835631639426	0.016854942466873923	0.005910328975239039	4.639205263477682e-05	0.0074069787453900325	0.005598154765493035
CC>AA	2.737420010590815e-05	2.4059774890705653e-05	2.7056058346630607e-05	1.3879466610748164e-05	0.7314553926388423	2.5598746206808205e-05	3.356909252776319e-05	2.1606795006571625e-05	1.583614421847753e-05	1.350432736608731e-05	2.1101253503205684e-05	1.5321760319840563e-05	2.690832419875259e-05
CC>AG	2.603841598241563e-05	0.009149451788879192	2.400169970087814e-05	0.028842331288291185	0.008533669423177593	3.28936341599816e-05	2.8182700544713648e-05	0.5191076647988666	0.012601634570286806	1.421616734734547e-05	3.0363389285814613e-05	1.865944765736968e-05	2.9245021874639102e-05
CC>AT	0.006067769986271169	0.005052318162192085	3.635018633681616e-05	0.022468664507862654	0.009213203835810205	0.011088346452539725	0.002807831842403195	0.013309207429593692	0.0072405939270969175	0.011097729133552166	0.304112520444581	0.01158353719441931	3.5228934147083873e-05
CC>GA	0.00626375631933295	0.006011494501522771	0.007845203005960618	2.6962220755422098e-05	0.005150736703186946	0.022614746214117076	0.04982371416863316	0.022169959333708297	0.046785929888562804	3.6059510409576964e-05	0.015510108693723238	0.027565088901991223	0.032753821670363926
CC>GG	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
CC>GT	0.019025200760946367	0.004019176860930207	0.022970550753115996	0.004773265660500753	0.010197436918224412	0.042921090175896855	0.024287443485506325	4.0324668380738636e-05	0.007624553876956952	0.014247035108089298	0.026705773650610352	0.01184359436080437	0.014809420458004752
CC>TA	0.010505641689117943	2.0007649720218033e-05	0.026702399011422056	1.3244067148859163e-05	0.006665641215235764	0.014540225790507353	0.09688626836824975	0.020136198939894594	0.01146886647253118	0.04582446789853871	0.03358717611257968	0.05642661826508881	0.032533280027785015
CC>TG	0.02454708015587433	4.762519763138092e-05	0.01220065001346787	0.0014808500085242333	0.0028126774858416564	0.028032934278811202	0.005159936254585773	0.010724842614839266	0.0059999928178513075	0.012552678696037371	0.01944465400433728	0.016295140417908745	0.0066954601528171525
CC>TT	2.5603416773201104e-05	1.1323513327269006e-05	2.61826363254114e-05	2.223510715670766e-05	0.021527670213285995	2.3858929663346055e-05	2.5444468566486005e-05	2.3574192826814054e-05	1.0832333978087287e-05	0.5855324348004023	3.425817759194467e-05	0.013584720110198569	2.6475503706668847e-05
CG>AT	0.020943187354411443	0.0012071678463447218	0.012286888543894748	0.0026367486491835736	6.209129011646534e-05	0.005880150805872593	0.011717840253186295	0.0017148184871984995	0.0013890275216302446	5.536017633858137e-05	0.008767522818804234	0.005499636727230002	0.007462533278036669
CG>GC	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
CG>GT	6.295089551713317e-05	7.66425383820509e-05	7.012855385255535e-05	6.357902651264643e-05	7.61984963901341e-05	7.242907425582719e-05	7.386488056605837e-05	6.600408766341085e-05	7.521531006204896e-05	7.00464946324549e-05	6.836907438506993e-05	6.717077267239801e-05	8.072870380904836e-05
CG>TA	0.014171315302398095	6.341008035330258e-05	0.002276341251854319	5.0764508038507e-05	6.40472613061623e-05	0.007173827355139413	0.008300903061414526	0.005889271279011154	0.007482213657567627	0.006401035184777962	0.001718239339061256	0.004455260951302383	0.01057810970984671
CG>TC	0.02440609678023975	0.003062723520391349	0.014056002124228447	0.012327863253858595	0.007212057825836382	0.0050242145133324815	0.013576532774580603	0.004190780986027676	0.013442876148595436	0.01629954262825777	0.02947033487340421	0.01700755485353227	0.011248078674786182
