MutationType	DBS1	DBS2	DBS78A	DBS78B	DBS78C	DBS78D	DBS78F	DBS78G	DBS78H	DBS78I	DBS78K	DBS78L	DBS78M
AC>CA	0.00004970	0.00037408	0.00464911	0.00327487	0.01110560	0.00156023	0.00584641	0.00796747	0.00569148	0.00265173	0.01110019	0.00005508	0.00007081
AC>CG	0.00002640	0.00003170	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AC>CT	0.00429109	0.00012603	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AC>GA	0.00012703	0.00023705	0.00003944	0.00596261	0.17621031	0.00002650	0.00170211	0.01064694	0.00003424	0.02184504	0.00527896	0.00002874	0.01098809
AC>GG	0.00005710	0.00000000	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AC>GT	0.00296075	0.00028006	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AC>TA	0.00120031	0.00148031	0.04408609	0.00890116	0.03750262	0.00002848	0.00004213	0.00833881	0.01823320	0.02352761	0.02535535	0.02342722	0.02122128
AC>TG	0.00017204	0.00000636	0.01324335	0.00006768	0.00006318	0.00005487	0.00006832	0.00413247	0.01140902	0.00295552	0.00728497	0.00005940	0.00284329
AC>TT	0.02650674	0.00292062	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AT>CA	0.00048212	0.00003780	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AT>CC	0.00029708	0.00000000	0.00227608	0.00006257	0.00480324	0.00374337	0.01990572	0.00838029	0.01957560	0.00210050	0.00005565	0.00005257	0.00670164
