MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
AC>CA	1.71E-06	5.53E-03	2.52E-03	1.39E-03	3.66E-03	2.76E-06	5.19E-03	2.98E-03	6.51E-03	1.85E-03	4.15E-03	1.77E-03	6.66E-03	2.32E-06	5.48E-03
AC>CG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AC>CT	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AC>GA	6.47E-06	3.62E-02	6.31E-03	2.85E-03	9.78E-03	3.70E-03	4.77E-06	1.16E-02	4.15E-03	4.75E-03	4.23E-06	6.62E-03	4.79E-06	5.08E-06	8.85E-03
AC>GG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AC>GT	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AC>TA	4.28E-03	2.61E-02	5.51E-03	3.08E-06	1.12E-02	2.49E-02	4.51E-06	1.09E-02	7.66E-03	4.45E-03	9.48E-03	6.40E-03	6.55E-03	1.46E-02	1.32E-02
AC>TG	2.94E-06	3.20E-06	2.16E-06	3.99E-03	3.40E-06	7.39E-03	1.07E-02	4.42E-03	2.46E-03	6.00E-03	1.66E-02	1.75E-03	3.69E-03	3.09E-06	7.14E-03
AC>TT	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AT>CA	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AT>CC	2.91E-06	1.02E-02	3.47E-06	3.36E-06	3.41E-06	3.01E-03	9.49E-03	3.56E-06	1.08E-02	2.80E-03	3.31E-03	1.38E-03	3.83E-06	3.11E-03	6.64E-03
AT>CG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AT>GA	1.28E-03	6.43E-03	1.89E-03	3.05E-03	3.07E-06	3.89E-03	8.30E-03	2.21E-03	5.29E-03	2.08E-03	5.62E-03	2.08E-03	1.13E-02	3.46E-03	7.79E-03
AT>GC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
AT>TA	3.05E-03	1.32E-02	1.44E-03	3.18E-06	4.89E-03	9.69E-03	1.53E-02	8.56E-03	7.81E-03	4.15E-03	5.32E-03	6.18E-03	7.62E-03	6.93E-03	3.91E-06
CC>AA	2.93E-06	4.58E-06	1.60E-02	2.53E-06	4.55E-06	3.89E-06	6.00E-06	3.26E-06	3.73E-06	3.10E-06	5.50E-06	3.11E-06	5.13E-06	3.27E-06	5.05E-06
CC>AG	2.78E-06	3.86E-06	3.27E-06	2.14E-06	4.55E-06	3.90E-06	1.43E-05	3.19E-06	4.66E-06	3.59E-02	5.08E-06	2.68E-06	4.84E-06	2.95E-06	5.44E-06
CC>AT	4.02E-03	4.82E-06	7.75E-03	2.01E-06	4.30E-02	1.42E-02	1.59E-02	1.14E-02	1.28E-02	1.92E-02	6.79E-06	4.00E-06	9.49E-03	9.06E-03	1.53E-02
CC>GA	3.83E-06	5.40E-06	4.74E-03	3.11E-06	3.90E-06	4.13E-02	9.48E-03	7.55E-03	1.29E-02	3.43E-06	6.04E-03	3.31E-06	8.35E-03	1.26E-02	1.94E-02
CC>GG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
CC>GT	3.64E-06	2.67E-02	4.04E-06	7.97E-03	4.98E-03	6.64E-03	1.41E-02	7.16E-03	7.65E-03	4.75E-03	1.95E-02	3.33E-06	1.02E-02	7.91E-03	1.08E-02
CC>TA	6.41E-03	1.84E-02	1.01E-02	7.38E-03	4.72E-06	4.03E-06	1.28E-02	1.16E-02	4.37E-02	8.30E-03	4.06E-06	9.68E-03	1.94E-02	1.67E-02	2.16E-02
CC>TG	1.15E-03	1.96E-02	4.33E-03	2.02E-03	2.56E-03	1.80E-02	4.56E-06	7.20E-03	3.55E-06	7.37E-03	1.18E-02	6.05E-03	9.07E-03	1.65E-02	9.25E-03
CC>TT	3.69E-06	5.56E-06	3.33E-06	1.17E-02	5.37E-06	3.54E-06	4.36E-06	4.13E-06	4.23E-06	3.08E-06	5.65E-06	3.87E-02	2.21E-03	3.31E-06	4.27E-06
CG>AT	1.19E-03	5.26E-03	1.86E-03	2.11E-03	6.43E-03	3.69E-03	6.24E-03	2.39E-06	2.55E-03	2.37E-03	7.48E-03	2.37E-03	1.30E-02	4.91E-03	6.89E-03
CG>GC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
CG>GT	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
CG>TA	1.63E-03	6.59E-03	1.28E-03	2.70E-03	6.53E-03	7.96E-03	5.13E-03	2.47E-03	4.69E-03	1.66E-03	3.93E-06	1.85E-03	2.77E-03	2.37E-03	3.39E-03
CG>TC	3.93E-06	1.96E-02	3.50E-06	3.99E-03	3.77E-02	1.20E-02	1.58E-02	8.20E-03	1.09E-02	4.75E-03	1.90E-02	8.94E-03	2.14E-02	1.41E-02	1.42E-02
CG>TT	1.93E-03	1.93E-02	3.08E-03	3.85E-03	3.02E-03	3.53E-06	3.68E-03	2.47E-03	6.98E-03	2.72E-06	4.18E-06	8.48E-03	4.15E-03	1.11E-02	4.88E-03
CT>AA	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
CT>AC	2.44E-06	3.19E-03	2.79E-03	1.86E-03	2.52E-03	2.37E-03	4.88E-03	4.64E-03	6.10E-03	1.66E-03	6.36E-03	2.28E-03	1.19E-02	3.58E-03	2.98E-03
CT>AG	1.70E-03	1.81E-02	4.38E-06	6.04E-03	1.18E-02	1.29E-02	1.24E-02	3.02E-03	1.40E-02	5.27E-03	1.33E-02	1.16E-02	9.47E-03	7.85E-03	2.08E-02
CT>GA	5.67E-03	2.00E-02	4.56E-03	1.23E-03	3.55E-03	7.11E-03	1.01E-02	1.25E-02	9.54E-03	5.53E-03	3.32E-03	1.75E-03	3.58E-03	4.43E-03	4.69E-06
CT>GC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
CT>GG	3.61E-06	2.10E-02	3.37E-06	5.69E-03	9.96E-03	1.87E-02	1.54E-02	8.87E-03	1.47E-02	7.12E-03	9.96E-03	1.38E-02	3.30E-06	3.05E-06	7.92E-03
CT>TA	3.83E-03	3.99E-06	4.17E-06	3.11E-06	9.54E-03	4.00E-06	4.41E-02	1.04E-02	6.25E-03	9.96E-03	4.68E-06	5.53E-03	6.53E-06	1.44E-02	7.65E-03
CT>TC	1.28E-03	4.16E-03	2.51E-03	2.19E-03	3.43E-06	1.02E-02	3.31E-03	1.58E-03	5.67E-03	2.23E-06	1.36E-02	1.97E-03	2.37E-03	7.18E-03	3.10E-03
CT>TG	5.68E-03	1.61E-02	3.39E-06	6.04E-03	2.43E-02	1.73E-02	3.09E-02	3.38E-02	8.85E-03	7.31E-03	3.74E-06	7.07E-03	8.86E-03	1.21E-02	9.47E-03
GC>AA	1.76E-02	4.32E-06	3.42E-06	2.34E-06	3.99E-06	3.88E-06	1.93E-05	3.60E-06	3.40E-06	3.21E-06	4.32E-06	2.59E-06	5.57E-06	3.90E-06	4.80E-06
GC>AG	6.14E-03	7.08E-06	5.11E-03	4.92E-03	1.02E-02	9.97E-03	3.78E-06	9.42E-03	4.01E-06	1.14E-02	4.52E-02	1.08E-02	4.95E-06	9.48E-03	4.33E-03
GC>AT	3.44E-06	4.07E-06	3.07E-06	1.95E-06	8.30E-03	5.00E-06	4.55E-06	2.95E-06	3.40E-06	1.20E-02	4.17E-06	2.51E-06	5.30E-06	3.77E-02	4.95E-06
GC>CA	5.47E-06	1.15E-02	3.91E-06	7.96E-03	1.36E-02	3.32E-02	1.36E-02	4.43E-06	1.46E-02	4.29E-06	1.55E-02	2.89E-03	1.34E-02	3.61E-06	5.25E-06
