MutationType	ID1	ID2	ID7	ID13	ID16	ID83A	ID83B	ID83C	ID83E	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00015989	0.00482412	0.00046656	0.06554837	0.00095277	0.00000065	0.00111721	0.00200838	0.00005129	0.00412032	0.00170640	0.00381160	0.00145056
1:Del:C:1	0.00077352	0.00002210	0.00000000	0.01753646	0.00000000	0.01552551	0.02340442	0.00529984	0.93449315	0.00000672	0.00000482	0.00000727	0.00000417
1:Del:C:2	0.00000000	0.00000311	0.00856194	0.00512022	0.00008150	0.00002478	0.01795176	0.59989863	0.00897682	0.00042277	0.00000643	0.00000790	0.00000319
1:Del:C:3	0.00190761	0.00247208	0.04236015	0.00535052	0.00162491	0.17141763	0.15282632	0.10923741	0.00001575	0.00326247	0.00000221	0.00000694	0.00000478
1:Del:C:4	0.00070599	0.00385698	0.11489191	0.00434601	0.00337864	0.07393729	0.14126476	0.06306391	0.00000693	0.04657288	0.00000709	0.00001331	0.00001014
1:Del:C:5	0.00337011	0.01461542	0.25176314	0.00084306	0.00000000	0.01275876	0.01395360	0.00468442	0.00000886	0.03854022	0.00000660	0.00001281	0.00001450
1:Del:T:0	0.00131160	0.00790597	0.00266749	0.05369876	0.00062865	0.00000138	0.00024382	0.00000164	0.00006048	0.00089617	0.00096757	0.00161539	0.00042486
1:Del:T:1	0.00000000	0.00000000	0.00773273	0.49822416	0.00015704	0.00595122	0.00951479	0.00929889	0.01396351	0.00000785	0.00000530	0.00000642	0.00000370
1:Del:T:2	0.00093645	0.00703642	0.00025476	0.02377780	0.00000000	0.04497241	0.36482265	0.11428538	0.00001533	0.01170608	0.00000393	0.00000776	0.00000421
1:Del:T:3	0.00229585	0.02023474	0.02897274	0.06278095	0.00000000	0.44690250	0.00521700	0.03436745	0.00000824	0.00001837	0.00000336	0.00000774	0.00000332
1:Del:T:4	0.00429142	0.04711993	0.15885055	0.02300438	0.00100165	0.12615688	0.07266344	0.03484038	0.00001029	0.17655413	0.00000659	0.00000717	0.00000356
1:Del:T:5	0.00000000	0.81469723	0.00000019	0.00607958	0.00000000	0.06583916	0.04930381	0.00905217	0.00000248	0.03697475	0.00000007	0.00000227	0.00000096
1:Ins:C:0	0.00000000	0.00000000	0.00067237	0.00285043	0.06027134	0.00000030	0.00000398	0.00569078	0.00089667	0.00435211	0.00190807	0.00707298	0.00310445
1:Ins:C:1	0.00000000	0.00022703	0.00002620	0.00165226	0.13648409	0.00000109	0.00000400	0.00000378	0.00000601	0.01670405	0.00956700	0.01950430	0.02086322
1:Ins:C:2	0.00000000	0.00002620	0.00002580	0.00082125	0.12468356	0.00000128	0.00000430	0.00000152	0.00000364	0.01194551	0.00599449	0.00945385	0.00992181
1:Ins:C:3	0.00084599	0.00043005	0.00240773	0.00037556	0.09888312	0.00427002	0.00000360	0.00003310	0.00000278	0.00603611	0.00092698	0.02655504	0.00307349
1:Ins:C:4	0.00178553	0.00291185	0.01548543	0.00014858	0.06209438	0.00004894	0.01305267	0.00000132	0.00000457	0.00669723	0.00469568	0.01807915	0.01282551
1:Ins:C:5	0.02429654	0.00901754	0.06034323	0.00070698	0.03103460	0.00000176	0.01167030	0.00000099	0.00000239	0.00476126	0.00202326	0.01967143	0.00268579
1:Ins:T:0	0.00228382	0.00132856	0.00000136	0.04113701	0.03019429	0.00000032	0.01940197	0.00000433	0.00000524	0.00814487	0.00559100	0.02161187	0.01419570
1:Ins:T:1	0.00004030	0.00000000	0.00037365	0.00474885	0.10316023	0.00000088	0.00000147	0.00000347	0.00000610	0.01643499	0.03356371	0.19045418	0.03884223
1:Ins:T:2	0.00019286	0.00064703	0.01838271	0.00305417	0.10873848	0.00000933	0.00710771	0.00000070	0.00000255	0.01658684	0.00014835	0.03278728	0.01157333
1:Ins:T:3	0.00424327	0.00108288	0.00889164	0.00927186	0.10093945	0.00000411	0.01761365	0.00000299	0.00000508	0.00001117	0.00812284	0.01943985	0.00929166
1:Ins:T:4	0.01664913	0.00348746	0.01278797	0.01209864	0.05196238	0.00000199	0.01261715	0.00000114	0.00042775	0.00096595	0.00081871	0.00234218	0.00380457
1:Ins:T:5	0.89090647	0.00313258	0.01078985	0.01109979	0.03500769	0.00000001	0.00000123	0.00000000	0.00000179	0.02052390	0.00632946	0.00760021	0.06913486
2:Del:R:0	0.00068605	0.00016381	0.00002330	0.02218440	0.00192294	0.00000428	0.00000133	0.00000009	0.00000024	0.00104771	0.00000120	0.00000625	0.47555835
2:Del:R:1	0.00121997	0.00356888	0.00818230	0.00433321	0.00201465	0.00000544	0.00160922	0.00000107	0.00000481	0.00061564	0.00380027	0.01456526	0.00540841
2:Del:R:2	0.00047275	0.00184957	0.00899154	0.00310892	0.00111679	0.00000117	0.00000480	0.00000219	0.00012459	0.00064619	0.00014296	0.00017283	0.00042030
2:Del:R:3	0.00042672	0.00073904	0.07213214	0.00010557	0.00047226	0.00000109	0.00000538	0.00000240	0.00006188	0.00055615	0.00008319	0.00134407	0.00014687
2:Del:R:4	0.00005460	0.00088193	0.05225084	0.00000613	0.00003880	0.00000095	0.00000496	0.00000169	0.00011627	0.00037132	0.00127237	0.00214194	0.00051814
2:Del:R:5	0.00000000	0.00000000	0.05704633	0.00006630	0.00000000	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
3:Del:R:0	0.00012804	0.00001250	0.00062541	0.00303967	0.00106014	0.00004012	0.01650094	0.00001706	0.00019769	0.00462495	0.01189571	0.10382830	0.06777577
