MutationType	DBS78A	DBS78B	DBS78C
AC>CA	1.86E-03	1.50E-03	1.99E-03
AC>CG	1.74E-07	3.11E-03	2.10E-03
AC>CT	5.14E-03	2.35E-03	1.11E-03
AC>GA	2.31E-03	2.06E-03	3.14E-07
AC>GG	4.43E-08	4.11E-07	3.20E-07
AC>GT	1.03E-03	5.53E-04	2.04E-07
AC>TA	1.72E-03	3.53E-03	1.07E-03
AC>TG	1.49E-03	2.17E-03	3.08E-07
AC>TT	2.85E-03	1.34E-03	6.63E-03
AT>CA	4.74E-04	3.30E-03	1.42E-03
AT>CC	4.43E-08	4.11E-07	3.20E-07
AT>CG	4.43E-08	4.11E-07	3.20E-07
AT>GA	1.30E-03	4.76E-04	1.04E-03
AT>GC	4.43E-08	4.11E-07	3.20E-07
AT>TA	1.07E-03	5.92E-03	5.96E-07
CC>AA	1.67E-02	1.73E-02	8.41E-03
CC>AG	8.06E-03	1.10E-02	4.98E-03
CC>AT	1.19E-02	1.18E-02	6.58E-03
CC>GA	4.83E-03	6.39E-03	1.82E-03
CC>GG	8.63E-04	2.06E-03	1.02E-07
CC>GT	7.50E-04	6.78E-03	8.32E-03
CC>TA	2.84E-03	7.67E-07	9.52E-03
CC>TG	1.23E-03	3.17E-07	2.92E-03
CC>TT	4.76E-03	5.98E-03	2.52E-02
CG>AT	8.15E-04	4.30E-07	4.66E-07
CG>GC	4.43E-08	4.11E-07	3.20E-07
CG>GT	2.00E-03	2.17E-03	3.34E-07
CG>TA	3.22E-07	9.18E-03	5.55E-03
CG>TC	4.43E-08	4.11E-07	3.20E-07
CG>TT	4.43E-08	4.11E-07	3.20E-07
CT>AA	7.03E-03	8.09E-03	1.03E-02
CT>AC	1.60E-03	1.49E-07	6.83E-07
CT>AG	4.59E-03	1.34E-02	1.98E-07
CT>GA	1.82E-03	2.58E-03	1.66E-07
CT>GC	2.34E-07	5.78E-03	4.51E-04
CT>GG	2.04E-03	2.67E-03	5.44E-03
CT>TA	4.83E-03	1.74E-03	5.78E-03
CT>TC	4.14E-07	6.20E-04	4.82E-03
CT>TG	1.36E-03	2.44E-03	3.36E-03
GC>AA	8.66E-03	1.20E-02	1.69E-02
GC>AG	9.96E-03	1.10E-02	4.85E-03
GC>AT	3.03E-03	9.13E-03	3.88E-03
GC>CA	2.36E-03	3.83E-03	3.27E-03
GC>CG	4.43E-08	4.11E-07	3.20E-07
GC>TA	8.39E-04	2.52E-03	2.50E-07
TA>AT	1.95E-03	2.45E-03	3.37E-03
TA>CG	2.95E-07	2.66E-03	9.52E-04
TA>CT	4.03E-03	1.55E-02	2.88E-03
TA>GC	4.43E-08	4.11E-07	3.20E-07
TA>GG	3.12E-07	2.25E-03	3.11E-03
TA>GT	2.28E-03	7.47E-04	1.38E-07
TC>AA	1.55E-02	1.10E-02	9.18E-03
TC>AG	2.46E-03	4.89E-03	6.27E-03
TC>AT	1.02E-02	9.95E-03	9.42E-03
TC>CA	7.06E-03	1.05E-02	2.19E-03
TC>CG	1.80E-03	2.89E-03	1.84E-03
TC>CT	3.99E-03	2.22E-03	7.98E-03
TC>GA	5.71E-03	9.45E-03	2.19E-07
TC>GG	2.28E-07	1.66E-03	3.33E-03
TC>GT	1.39E-03	4.95E-03	8.13E-04
TG>AA	1.91E-03	1.76E-03	2.75E-07
TG>AC	9.78E-04	8.69E-04	2.78E-07
TG>AT	4.03E-03	6.30E-03	8.07E-03
TG>CA	2.29E-03	3.58E-03	2.99E-03
TG>CC	1.67E-03	2.79E-03	1.63E-03
TG>CT	7.35E-03	1.93E-02	5.79E-03
TG>GA	2.60E-07	1.51E-03	2.64E-07
TG>GC	2.91E-07	4.03E-03	9.81E-04
TG>GT	1.04E-03	1.08E-03	4.52E-03
TT>AA	3.45E-03	4.04E-03	3.02E-03
TT>AC	4.31E-07	1.93E-03	5.73E-07
TT>AG	2.20E-03	2.34E-03	3.47E-03
TT>CA	2.20E-07	3.66E-07	2.32E-03
TT>CC	1.49E-03	4.48E-07	4.78E-03
TT>CG	4.32E-04	3.63E-03	9.55E-04
TT>GA	4.43E-08	4.11E-07	3.20E-07
TT>GC	1.06E-06	2.23E-03	4.50E-03
TT>GG	9.61E-04	7.23E-04	5.93E-07
