MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
AC>CA	0.011721399064447269	1.590351382674271e-06	0.0015561086627997156	2.433433269288798e-06	1.1070646678490449e-06	0.0014064941673495924	2.752684235929337e-06	4.328147451815312e-06	5.35368048986129e-06	0.0032373466738818022	0.015228651835013807
AC>CG	1.256525274584419e-06	0.00359065349358616	0.008127828527074143	1.6852619864948792e-06	9.019367269047506e-07	2.5990047561208486e-06	4.095845588381053e-06	3.644707157945959e-06	0.0024583470215475247	5.127847771291272e-06	3.146215044580458e-06
AC>CT	6.76858388715118e-07	0.010189940250722885	8.116879371300456e-07	0.009663029620992348	0.008974361069044789	0.0010196670373716187	4.218070023398468e-06	0.020038275700153464	0.008662818653738214	3.1275733773477593e-06	4.031150365335634e-06
AC>GA	0.025061000983259873	7.207262342490139e-07	2.276152486047067e-07	0.013897722351509855	0.016591030735977785	0.01922424660733668	0.005005811459705	2.1007840132369894e-06	0.014996114102086722	3.086643459937477e-06	2.019847367762395e-06
AC>GG	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
AC>GT	0.011722529129292525	2.0222045236550913e-06	7.027091271538665e-07	1.6380437159568828e-06	1.803502982511418e-06	0.004578885115529374	3.198657634584797e-06	3.1752804375173584e-06	6.003572434565285e-06	1.8444540296513877e-05	0.01256621734919463
AC>TA	0.0023866799030543007	0.013498477887105764	7.523312888224609e-07	0.022120707519468395	0.005471944267600293	0.0013159733667180262	3.726285422089859e-06	0.0051907754803210086	0.04720171181267006	0.035170933598487865	1.2886291187896858e-06
AC>TG	1.1412293588364264e-06	1.6832192159199622e-06	8.611462249064061e-07	0.008863190495299022	1.4232742501008032e-06	0.006760193494028499	4.423847394718905e-06	3.188312530255644e-06	6.009791604810744e-06	4.0373449337494096e-06	3.514372883728356e-06
AC>TT	1.0312609674656415e-06	0.012464772639503963	0.015458650048822164	9.027322903421009e-07	0.005502265741972679	1.9602245743044477e-06	2.3382190079246355e-06	0.010528197160465425	0.002457386448770649	1.8570450784285097e-06	0.03631489239633083
AT>CA	9.34228262394754e-07	6.109896048656083e-07	1.0335129786653852e-06	1.4858423810437672e-06	0.008589405490238278	1.9997965409856986e-06	4.44006565771815e-06	3.534705092533841e-06	0.0524792030453682	0.007037407973825793	2.6295768748241245e-06
AT>CC	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
AT>CG	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
AT>GA	9.902741794576287e-07	7.62703984946711e-07	1.3003872709305142e-06	0.0045934337318158215	0.008989785001267592	2.4649838678669765e-06	9.087323530820867e-06	4.705433775598067e-06	0.010783777015456053	0.011365770798556695	3.2921393312790316e-06
AT>GC	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
AT>TA	1.123072433983907e-06	0.0038921940025829827	9.990157764150353e-07	0.0016081517129805435	0.008808572151315275	2.847038399522717e-06	0.0062289042385828	3.7524206163652708e-06	0.0010206246555753752	5.092427090858109e-06	3.1440881684829947e-06
CC>AA	0.23253534436225892	0.11240370124578476	0.013246815942693502	0.15087290108203888	0.06568069191471387	0.3014282792806625	0.24884533882141113	0.028132714344593003	0.0260819036513567	0.06538341502784381	0.04709135442972183
CC>AG	0.021667724289000035	0.047728998214006425	0.0068751761689782144	0.058461122959852216	0.010836775797724841	0.006996663098379941	0.055776781694839885	0.02120635025203228	1.887623729999177e-05	0.012627320897331628	0.05074823834002018
CC>AT	0.08860701508820057	0.04235142059624195	0.018712085112929343	0.12121919989585876	0.03215734474360943	0.028928032684598294	0.056171053647994997	0.024713498540222645	0.0	0.06198161393404007	0.09453737437746594
CC>GA	0.019039209745824338	0.048770726472139356	2.5431207362203167e-09	0.026790573820471765	0.00476948078235182	0.022707720809603416	0.021126718736559268	0.027641837671399116	0.04740552194416523	0.006316218585561728	0.016028761096526976
CC>GG	1.2377383541206654e-06	0.002128903944390004	9.822568244999275e-07	0.00816534338296151	1.5021352737676352e-06	2.771136701085197e-06	4.598669647748466e-06	0.0025986996828578413	0.004912297852388292	5.270770884635567e-06	3.3909790658981366e-06
CC>GT	0.004558183479537093	3.345861387060722e-07	0.05123470649123192	0.0019660590216517447	0.017870424547891162	0.013314468786120415	0.041507290489971635	0.03637292737357711	4.954639280185802e-07	0.04182774275541305	0.0958962403756459
CC>TA	0.033512217968495864	3.245839593546407e-07	0.03821841850876808	0.027677092230137163	0.007225546552218899	0.00263004865912535	0.007607631479027077	2.7239316295890603e-06	2.1371924958667714e-06	1.1189639735675882e-06	5.737944445627363e-06
CC>TG	0.00662614400896473	1.4368993106472772e-06	0.013390628062188626	1.5550408306808095e-06	7.024070043826213e-07	0.0026327931941978024	4.751178312289994e-06	3.1532940738543402e-06	3.132849363041146e-06	3.752248790078738e-06	3.125972170892055e-06
CC>TT	0.025350554287433623	0.019137835875153542	0.27829169631004336	0.010013313207218743	0.0325225867331028	0.02499293834471341	0.030108249230033836	0.021193883568048476	0.004856416541952058	0.18584202583006118	0.053302991576492785
CG>AT	1.4722050309501356e-06	1.2271520745343879e-06	1.1351176453899825e-06	2.0097900232940447e-06	0.014701417712853982	3.513562160151196e-06	4.999001680516812e-06	3.7758011785626875e-06	9.427245413462514e-06	5.234386617303244e-06	4.0832633658283156e-06
CG>GC	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
CG>GT	0.0018531568920479914	1.888972496999486e-06	1.0420733474347798e-06	1.7442905573261669e-06	0.005373822532328631	2.9600312132060934e-06	0.014363783501471517	3.712048419401981e-06	5.821788226967328e-06	0.00815780462312432	0.0040754041147920365
CG>TA	5.409056541338942e-07	5.768286655467857e-07	8.669168437336339e-07	1.4672333918497316e-06	6.065286243028823e-07	2.396446893726534e-06	4.711350788966228e-06	0.021029353267658736	0.04954740218818188	9.448551372770453e-06	0.00407208852484473
CG>TC	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
CG>TT	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
CT>AA	0.024153827878967603	0.027165555767714976	0.013022737205028534	0.054734306409955025	0.014101587980985642	0.04450645900069503	2.8273156203795224e-06	0.02245215961002032	3.579790973162744e-06	0.011440700807315806	2.446476128170616e-06
CT>AC	0.013440761930235112	1.4149647540762089e-06	9.625917073208256e-07	1.966571790035232e-06	0.005762158174957221	3.007253530995513e-06	5.229095157449778e-06	4.356021418061573e-06	6.9115231326577485e-06	5.360504292184487e-06	4.024349937026272e-06
CT>AG	1.1027738651137043e-07	0.030007310211658478	7.467798980087537e-07	0.019167409937949742	0.0371435971930623	0.006348292152188151	0.005640076489453349	0.011888216613579061	0.04469983690505615	0.007041519959965115	3.1346984087576858e-06
CT>GA	1.2218756296533683e-06	0.021344519704371123	9.17250360998878e-07	0.0016080918191846648	0.008309579865385785	2.43977393665773e-06	3.463654059032706e-06	2.7817154659715015e-06	0.004911501893639069	5.250703134151991e-06	2.8017909812660948e-06
CT>GC	1.335327362994576e-06	0.0021290098235567712	0.008855809913461599	1.7095066823458183e-06	9.735302342051e-07	3.0657229899588858e-06	4.963112814948545e-06	3.464875044301152e-06	0.0019660492961065756	0.003868061886146279	6.472138966273633e-06
CT>GG	1.067271091415023e-06	0.008147071334974498	0.013581756502389908	0.0032134960687017155	1.3865529808754217e-07	1.5292052921722643e-06	0.0016676245117423604	3.1405092840941507e-06	0.004909274910733075	0.0021082528443002956	0.023422958709579687
CT>TA	0.026111025702971347	0.007654446363449097	0.06811258345842361	0.006231574865012135	0.048311808705329896	0.009233606466750643	1.1811196202415886e-06	0.004003816801923676	1.25778087181061e-06	0.05335843525826931	2.328701430087676e-06
CT>TC	9.037534141498326e-07	1.3928649991612474e-06	0.0052188177916264065	7.648704013263341e-07	2.8385888981574683e-07	0.024773600471235113	0.025010805803003678	3.87282960673474e-05	4.401451224111952e-06	1.7068117870167043e-06	0.06472190404638241
CT>TG	0.017295274436423824	0.010337393467466427	6.928622383384209e-07	1.479758725508873e-06	7.04559374753444e-07	1.8715287751547293e-06	2.313805930498347e-06	3.1806305287318537e-06	0.06019605839017004	0.007340983897074693	2.0948642941220895e-06
GC>AA	0.05132630318403244	0.018023087087503352	0.011807136831600928	0.0642440777271986	0.05363555178046227	0.09242559522390366	0.05010555408898654	1.6874146232525606e-22	0.12371516600251198	0.07186926766386961	0.00992096628623158
GC>AG	0.03995131701231003	0.005029210075736046	0.01591175915466465	0.03797450978308916	0.038339491561055185	0.015291473357365248	0.013511672616004944	0.038089391961693767	0.030954586803090933	0.05489677265286445	1.5063699720485602e-06
GC>AT	0.002978349548720871	0.012791908845861144	4.5146449565436344e-07	0.020924526111093654	4.192302185401786e-07	0.0063473649350271446	0.03147528531307646	0.04787361992057413	4.278595679352293e-06	0.015176682107859963	0.06772304438054562
GC>CA	9.434349891535021e-07	0.026929589547216894	0.011557501782033342	1.2123884971515508e-06	0.0057172482833266255	1.7650789544632063e-06	2.955580930574797e-06	1.636556191897398e-06	0.029512789850923583	3.378421272129395e-06	0.00970803170349086
GC>CG	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
GC>TA	0.0036936499735247706	0.010036909948394169	0.0016900249185787697	1.4770340499126178e-06	0.0011523458378519535	0.005262641616764085	4.216290892600227e-06	0.013536964462400648	3.991121366198058e-06	1.4253180415835231e-05	0.004068484638764858
TA>AT	0.008361172276286766	0.004264978102139594	0.00869376947159708	0.014640855597326663	0.0018709804208356217	1.8506375454308e-06	4.303140144656936e-06	0.0033440787517292963	0.030388717769983486	3.2179456638914415e-06	0.020393657187185
TA>CG	6.225968093076517e-07	0.010274772645277607	8.936998938224861e-07	1.3717242040911514e-06	1.203894692025642e-06	1.8773392980619974e-06	4.369715259144868e-06	3.473039168966352e-06	0.044205510363826764	5.0724803486446035e-06	2.7925840186071583e-06
TA>CT	0.006651242644250033	0.013799916502125597	3.5652140013553434e-07	0.014506211512673417	0.00468887906827149	0.00979889529041884	2.305983571204706e-06	0.020545031135998214	0.0024591877847569775	4.026191936645773e-06	0.08450074084103107
TA>GC	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
TA>GG	1.2851532801505528e-06	1.243505732873018e-06	9.967140158551046e-07	1.737042066451977e-06	1.2355073181424815e-06	2.9830421681253936e-06	4.882642974735063e-06	3.870717091558618e-06	0.02295655941506993	4.880129540651978e-06	3.548155041244172e-06
TA>GT	0.004227576016342027	3.672555862976878e-07	0.00269070583856319	0.00793059788758228	0.00230529480968471	0.007515296932342608	3.5785078353001155e-06	0.021887222018426654	3.440675322963216e-06	1.3544337934945361e-05	0.008252574345760877
TC>AA	0.035359672456979754	0.1351307064294815	0.005671555735170841	0.031197245791554452	0.23324294984340668	0.08375992588698863	0.06182366330176592	0.061471151299883786	0.0746113508939743	0.05802427865564823	0.06745400331856218
TC>AG	0.009782478399574756	0.01034854855388403	0.06745185106992721	0.0033449253772289468	0.0	0.04532828109599905	0.005002288147807121	0.08468324526584184	0.004909015155863017	7.053841374116132e-07	1.4939761058485602e-06
TC>AT	0.0384986374527216	0.008304276317358018	0.16787409484386445	0.033029529824852945	0.06695185676217079	0.03430136740207672	0.021961770392954397	0.13169642873108386	0.007004730170478981	0.03826223388314247	0.016599131375551225
TC>CA	0.0893604263663292	0.022121012955904008	0.01162124490365386	0.0	0.10044969618320465	0.03544026724994183	0.009080745474420837	4.982194241165417e-07	0.012235722572586382	0.0021039272002553846	0.013596846065716761
TC>CG	1.7037780025930261e-06	0.005780067001774114	0.0015562976395131045	1.9334106355017867e-06	1.051071149049676e-06	4.277506104699569e-06	4.381019437005307e-06	3.8953291095822354e-06	0.00687228128863353	0.0038699171371035846	2.903255790442927e-06
TC>CT	0.025704267621040344	0.03296845722943544	0.052817757427692416	0.02143991626836011	0.004968794266824261	0.008909576014684718	0.013432110835947243	0.037182155251502993	5.439841743282159e-07	0.007802056825539694	2.717088296830955e-07
TC>GA	0.011807524903179	0.003953043350605867	3.40174727853082e-07	0.012982071563601493	0.04666766785085201	0.008018342773220865	0.042271539392595515	0.002351182093798343	0.00976364173584443	0.02774813026189804	1.6843642697494944e-06
TC>GG	1.1478417491161964e-06	0.003954150417234987	0.010036027020021265	1.703886186987802e-06	3.59194154953002e-07	1.7736464883455483e-06	0.007147588737075239	3.817076776613248e-06	0.001444207188751534	0.009315556303408811	2.634828615555307e-06
TC>GT	6.380581226039794e-07	1.3535938023778726e-07	0.020677752420306207	2.200017206632765e-07	0.007739178967153748	0.0005063721509714014	2.5427926630072762e-06	0.014406897365962448	0.040265221113895674	3.946305128010863e-06	0.027427551078335454
TG>AA	0.007406814380027526	0.019945596360315676	8.249369614077295e-07	1.2217998346386594e-06	0.004813780679523916	0.00131541295131683	0.0095890058706253	2.1825314206580513e-06	0.009815531373806152	0.004212876600104209	2.030522114182531e-06
TG>AC	1.1112407037217053e-06	1.769305072230054e-06	1.2106765325370362e-06	0.0016082347742894854	6.560388669640816e-07	3.0818414188615862e-06	0.0033356155444607795	4.597848783305381e-06	6.453002743000979e-06	0.007423718825339165	3.4438631246302974e-06
TG>AT	0.033015695959329606	0.0306061377748847	2.2529140438901844e-23	0.026701665483415127	0.01010853976895305	0.0045490012205391395	0.06185483573115107	0.019318804889917374	0.03974311481256336	0.007730405340862489	0.0054966533654010165
TG>CA	0.009771102578815772	0.02133311277029861	0.010490601952986367	0.05688293408392155	0.0061845783144235614	0.06816411390900612	0.012014903328690707	0.01459035724401474	0.04523160681128502	0.02316203667278387	5.656174607793261e-07
TG>CC	0.00595662372913921	1.7507236066194309e-06	0.006817355992588148	0.01275847141334907	0.001678652067494113	0.008282149218001678	2.8790014880542e-06	0.013827006442284073	2.2591380411718375e-06	0.01822777725715241	0.008382463835050657
TG>CT	0.03365885149687529	0.0832076407968998	0.0	0.06713815331459046	0.03426433429121971	0.01858549565076828	0.028063702679583004	0.07817494164264645	0.03331506744656058	0.10137233553314218	2.220083842985332e-07
TG>GA	1.1565245472411334e-06	0.016054843105166583	9.224833092957851e-07	1.8949398736367585e-06	1.4376006674865493e-06	2.705443921513506e-06	4.1269312191616335e-06	3.4448902169970098e-06	0.004911617153220504	5.5432673434552274e-06	3.061431391415681e-06
TG>GC	1.3740970985054446e-06	0.008210690041778435	8.079208043909602e-07	1.8999331132363296e-06	1.0842742653949245e-06	2.857284198398702e-06	3.7980471802256944e-06	3.0314503419504034e-06	0.002459043767157709	5.1820472606323165e-06	0.031193284245819086
TG>GT	0.014944769628345966	0.028483757562935353	0.026469703391194345	0.0033459704575648174	0.001151645928621292	0.010901144508170545	2.3071801294349827e-06	0.06881278529763221	0.010597354751007515	2.7143614488522872e-06	3.5414474268691265e-06
TT>AA	0.0018521529491010824	0.03305042088031769	0.0039027543055681234	4.7342923608084676e-07	2.3070624592946843e-07	0.003946011936841387	0.0630427747964859	0.008639645999676305	0.017972090147168274	0.008153721963981297	0.03231519096248121
TT>AC	1.1724904084076115e-06	0.012403888773087601	9.213475664182625e-07	1.9366011201782387e-06	1.6152057924045949e-06	2.748404085650691e-06	4.230047056807962e-06	3.581271403163555e-06	0.004911614955335608	5.561652142205276e-06	3.5542259979592927e-06
TT>AG	9.65866092883516e-07	8.98879011401732e-07	9.443452995583356e-07	0.008943532052779802	5.395885409598122e-07	0.00281494263043669	3.519939548368711e-06	0.00902407505498104	5.441072471512598e-06	3.7776108001708053e-06	0.07073462828993797
TT>CA	1.3848221215084776e-06	1.9020958461624105e-06	0.003438391823533493	2.2315118940241518e-06	1.5653604236831598e-06	3.3372298730682813e-06	4.551607776193123e-06	4.044806155434344e-06	6.386184486473212e-06	5.740847109336756e-06	3.95093702536542e-06
TT>CC	1.3917398064222653e-06	1.8262479102304496e-06	0.0048824551184793565	0.0016080441173471627	1.1544074709490815e-06	2.5662621283117913e-06	0.003966416389857841	3.917865706171142e-06	5.603578938462306e-06	5.018167939851992e-06	3.5975211176264564e-06
TT>CG	1.0919182386714966e-06	2.070095501949254e-06	9.8677885489451e-07	1.51979903080246e-06	0.0063322719467009845	3.1654054055252344e-06	0.04306538661767263	3.7413967220345514e-06	5.3869965540798145e-06	0.01630934954616805	0.004075711611221777
TT>GA	1.5472589439013972e-06	1.913732626235287e-06	1.1757278798540939e-06	2.2882845314597945e-06	1.6507847476532333e-06	3.606919790399843e-06	4.998466761207965e-06	4.4190664084453605e-06	6.869496746730874e-06	5.8916162743116726e-06	3.994758026237833e-06
TT>GC	1.484097401771578e-06	1.9928506617361564e-06	9.302526564169967e-07	2.4438564537376805e-06	1.2821664313378277e-06	3.2344472856493666e-06	4.4277780261836595e-06	0.0533628039010182	6.119271665738779e-06	5.259597946860594e-06	3.214788239347399e-06
TT>GG	1.258412430615863e-06	1.1563001635295223e-06	9.986687814489414e-07	0.007864830686150981	1.5660206258871767e-06	0.005628052113615922	4.352634232418495e-06	4.0807583900459575e-06	5.957044140814105e-06	4.768223880091682e-06	3.1709379072708544e-06
