MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	0.00000001	0.00301301	0.00324095	0.00031686	0.00184699
1:Del:C:1	0.03936494	0.51229035	0.00796009	0.00635605	0.01633022
1:Del:C:2	0.14452370	0.03836041	0.04218701	0.00982730	0.00090528
1:Del:C:3	0.16417702	0.01697090	0.00001392	0.01641219	0.00000319
1:Del:C:4	0.09088706	0.00304026	0.00406683	0.07084254	0.00000947
1:Del:C:5	0.01770483	0.00018182	0.00579601	0.13291947	0.00000548
1:Del:T:0	0.00000012	0.00006141	0.00032187	0.00017158	0.00132593
1:Del:T:1	0.07314215	0.17502787	0.01289398	0.01137544	0.00191967
1:Del:T:2	0.14405194	0.04942315	0.02285369	0.00008000	0.00001036
1:Del:T:3	0.14964474	0.00090222	0.00001034	0.03425867	0.00000639
1:Del:T:4	0.10609119	0.00001731	0.01003104	0.06946156	0.00010477
1:Del:T:5	0.07029228	0.00000674	0.00863207	0.29438358	0.00000178
1:Ins:C:0	0.00000001	0.00359629	0.00436695	0.00000357	0.00266002
1:Ins:C:1	0.00000001	0.00676144	0.01498666	0.00492326	0.01131071
1:Ins:C:2	0.00000001	0.00598307	0.01165626	0.00207909	0.00664732
1:Ins:C:3	0.00000001	0.00568123	0.00693913	0.00396879	0.00721074
1:Ins:C:4	0.00000001	0.00220270	0.01501253	0.00803650	0.00694516
1:Ins:C:5	0.00000001	0.00355108	0.01528704	0.05296038	0.00011345
1:Ins:T:0	0.00000001	0.00301746	0.01153619	0.00254999	0.00935540
1:Ins:T:1	0.00000001	0.00927807	0.06066152	0.00004722	0.06053356
1:Ins:T:2	0.00000001	0.00407110	0.01465607	0.01486037	0.00673149
1:Ins:T:3	0.00000001	0.00377383	0.01240704	0.01040532	0.00787811
1:Ins:T:4	0.00000001	0.00350244	0.00708304	0.00342419	0.00179412
1:Ins:T:5	0.00000000	0.01083632	0.10349364	0.09863455	0.00018134
2:Del:R:0	0.00000002	0.00964591	0.18341021	0.03761453	0.02996566
2:Del:R:1	0.00000000	0.00506279	0.00741208	0.00138813	0.00356229
2:Del:R:2	0.00000015	0.00077465	0.00028223	0.00009599	0.00029388
2:Del:R:3	0.00000020	0.00035754	0.00043720	0.00000490	0.00034827
2:Del:R:4	0.00000007	0.00024039	0.00073364	0.00017206	0.00099329
2:Del:R:5	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
3:Del:R:0	0.00008886	0.01672495	0.09264232	0.01798402	0.00903750
3:Del:R:1	0.00000000	0.00100698	0.00224207	0.00597310	0.00047678
3:Del:R:2	0.00000010	0.00020064	0.00140881	0.00038899	0.00031482
3:Del:R:3	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
3:Del:R:4	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
3:Del:R:5	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
