MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
AC>CA	5.18E-07	1.76E-07	4.87E-07	3.06E-07	9.90E-03	5.37E-07	8.90E-07	5.44E-07	8.71E-07	1.00E-02	1.17E-02	3.22E-03	3.44E-07	1.47E-02	4.77E-03
AC>CG	6.20E-07	4.37E-03	3.82E-07	2.53E-07	2.90E-07	4.14E-03	4.00E-07	3.67E-07	5.00E-07	1.33E-06	2.30E-06	1.60E-06	4.69E-07	1.73E-06	5.79E-07
AC>CT	2.31E-06	6.79E-08	4.65E-03	2.58E-07	6.78E-03	2.43E-03	6.53E-07	3.94E-07	8.77E-07	7.28E-03	4.03E-03	6.32E-03	1.67E-02	6.78E-03	5.17E-07
AC>GA	5.66E-03	2.03E-07	7.46E-03	4.92E-07	1.16E-02	4.74E-07	1.25E-02	5.69E-07	8.95E-07	1.46E-02	3.07E-02	1.37E-06	3.97E-03	3.39E-03	7.12E-07
AC>GG	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
AC>GT	3.10E-07	2.14E-07	6.45E-03	4.01E-07	3.23E-03	3.95E-07	6.29E-07	3.72E-07	5.57E-07	1.01E-06	2.24E-06	3.22E-03	3.23E-03	2.65E-06	4.96E-07
AC>TA	5.06E-03	1.67E-07	6.45E-08	6.06E-08	2.92E-03	8.65E-03	6.51E-07	1.31E-02	2.19E-02	9.73E-07	2.02E-06	1.91E-06	4.89E-07	2.51E-06	9.63E-03
AC>TG	7.66E-07	1.93E-07	6.95E-03	2.43E-07	6.78E-03	4.86E-07	8.29E-07	4.96E-07	4.29E-07	1.11E-06	2.23E-06	9.49E-03	1.19E-02	1.36E-02	4.96E-07
AC>TT	3.10E-07	6.38E-03	5.08E-03	3.39E-07	2.06E-03	4.15E-03	7.25E-07	9.12E-07	6.07E-07	9.16E-07	1.71E-02	1.62E-06	1.02E-02	1.46E-06	9.53E-03
AT>CA	2.34E-07	1.27E-07	9.52E-03	1.54E-07	4.12E-03	3.63E-07	8.56E-07	5.16E-07	1.66E-02	2.43E-03	1.99E-06	1.18E-06	4.94E-07	2.39E-06	2.19E-02
AT>CC	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
AT>CG	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
AT>GA	9.68E-07	1.85E-07	9.86E-03	4.71E-03	3.30E-07	5.09E-07	6.00E-07	6.15E-07	6.54E-07	2.03E-06	2.28E-06	6.81E-03	4.90E-07	1.01E-02	3.73E-07
AT>GC	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
AT>TA	2.68E-07	1.81E-07	4.03E-03	3.46E-03	2.36E-07	3.18E-03	2.37E-07	4.69E-07	4.73E-07	9.64E-07	2.23E-06	1.69E-06	3.08E-07	1.46E-06	5.21E-07
CC>AA	5.19E-02	8.81E-03	2.81E-02	2.33E-02	1.49E-02	3.08E-02	5.74E-02	4.55E-02	5.16E-03	9.08E-03	2.69E-02	4.24E-02	1.37E-02	2.23E-02	2.65E-02
CC>AG	1.09E-02	2.27E-03	1.10E-02	7.39E-03	8.47E-03	5.84E-03	4.06E-07	2.17E-02	1.48E-06	8.17E-07	1.71E-02	1.29E-02	1.01E-02	1.02E-02	9.53E-03
CC>AT	1.44E-02	4.31E-03	1.49E-02	5.66E-03	2.40E-02	5.36E-03	0.00E+00	3.03E-02	4.54E-07	1.45E-02	9.92E-03	2.55E-02	1.77E-02	1.86E-02	2.08E-02
CC>GA	3.10E-03	1.83E-07	1.58E-02	1.86E-02	1.65E-02	2.21E-02	4.27E-07	4.37E-03	6.59E-07	7.08E-07	2.00E-02	6.76E-03	1.26E-02	6.78E-03	1.18E-02
CC>GG	4.25E-07	1.70E-07	4.69E-07	2.75E-07	1.94E-07	7.06E-03	6.09E-07	8.65E-03	3.98E-07	8.61E-07	1.98E-06	1.74E-06	4.57E-07	2.22E-06	4.92E-07
CC>GT	0.00E+00	1.35E-02	2.60E-26	7.68E-03	8.23E-03	8.30E-39	2.54E-02	3.50E-07	2.60E-02	3.69E-03	2.49E-02	1.58E-02	5.26E-03	4.58E-02	1.55E-02
CC>TA	9.80E-03	1.57E-02	4.06E-03	6.47E-03	5.84E-03	2.97E-07	5.81E-07	1.59E-02	1.31E-02	1.31E-02	3.90E-07	2.23E-06	1.85E-07	1.45E-06	3.03E-06
CC>TG	9.80E-03	4.06E-03	5.52E-07	3.01E-07	5.83E-03	5.10E-07	3.34E-07	5.39E-07	9.15E-07	9.49E-07	2.17E-06	2.02E-06	2.04E-07	2.42E-06	8.11E-07
CC>TT	8.00E-03	5.26E-02	6.81E-03	2.55E-02	9.65E-03	6.20E-03	1.70E-02	5.23E-03	1.51E-02	1.16E-01	1.74E-02	9.68E-03	9.84E-03	1.36E-02	6.91E-07
