MutationType	PD3851a_non-exome	PD3890a_non-exome	PD3904a_non-exome	PD3905a_non-exome	PD3945a_non-exome	PD4005a_non-exome	PD4006a_non-exome	PD4085a_non-exome	PD4086a_non-exome	PD4088a_non-exome	PD4103a_non-exome	PD4107a_non-exome	PD4109a_non-exome	PD4115a_non-exome	PD4116a_non-exome	PD4120a_non-exome	PD4192a_non-exome	PD4194a_non-exome	PD4198a_non-exome	PD4199a_non-exome	PD4248a_non-exome
AC>CA	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
AC>CT	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
AC>GA	0	0	0	1	2	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0
AC>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>GT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>TA	0	0	0	0	0	2	0	0	0	0	2	0	0	2	1	0	1	0	0	0	0
AC>TG	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>TT	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0
AT>CA	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AT>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>GA	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>TA	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CC>AA	2	2	12	10	16	3	12	0	1	0	0	20	2	12	20	3	1	0	1	1	2
CC>AG	0	2	2	0	3	5	2	0	0	0	0	5	1	3	2	1	0	0	0	0	0
CC>AT	0	2	3	0	5	3	6	0	0	0	0	9	1	3	9	3	0	0	1	2	0
CC>GA	0	1	1	0	1	1	2	1	0	0	0	4	1	4	1	0	1	0	0	0	1
CC>GG	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CC>GT	1	2	0	1	1	0	0	0	0	1	1	1	1	0	0	4	0	1	1	1	1
CC>TA	0	0	0	0	1	2	0	0	0	0	0	1	0	0	3	5	0	0	0	1	0
CC>TG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CC>TT	0	2	2	1	3	1	1	1	0	1	2	7	2	2	1	26	0	0	0	4	0
CG>AT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
CG>TA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0
CG>TC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
