MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AC>CA	4.02E-07	9.48E-04	1.47E-03	1.93E-03	8.33E-03	1.30E-06	2.61E-03
AC>CG	5.40E-07	4.14E-07	1.79E-03	4.25E-03	7.13E-07	1.71E-03	1.36E-07
AC>CT	4.90E-06	2.66E-03	9.97E-08	4.59E-03	1.04E-02	2.81E-03	4.51E-03
AC>GA	6.18E-03	1.43E-02	4.90E-06	3.08E-03	3.83E-03	4.70E-07	1.49E-02
AC>GG	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
AC>GT	8.58E-04	1.38E-03	2.52E-07	4.01E-07	1.47E-06	1.66E-03	5.22E-03
AC>TA	2.49E-07	5.91E-03	2.23E-07	3.92E-03	6.42E-03	1.36E-02	6.51E-03
AC>TG	2.12E-06	2.42E-03	1.90E-07	3.32E-07	3.82E-03	4.98E-03	2.05E-06
AC>TT	1.04E-06	3.55E-03	5.38E-03	1.89E-03	6.38E-03	2.81E-03	2.17E-03
AT>CA	3.13E-06	4.18E-07	1.80E-07	9.19E-08	3.71E-03	1.90E-02	3.64E-03
AT>CC	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
AT>CG	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
AT>GA	4.78E-03	5.25E-07	1.21E-03	3.55E-07	3.19E-03	5.64E-03	4.58E-03
AT>GC	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
AT>TA	4.78E-03	1.80E-03	1.10E-07	2.13E-03	9.65E-07	5.64E-03	4.23E-03
CC>AA	1.66E-02	3.62E-02	2.32E-03	1.84E-02	2.40E-02	7.96E-03	2.99E-02
CC>AG	1.06E-02	7.26E-03	4.64E-03	1.01E-02	1.61E-02	3.00E-02	1.33E-02
CC>AT	1.72E-02	2.57E-02	1.05E-02	5.98E-03	1.53E-02	9.49E-03	2.04E-02
