MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
AC>CA	2.26E-07	1.24E-06	7.46E-03	3.00E-03	8.72E-07	3.94E-03	2.49E-03	6.25E-03
AC>CG	1.48E-07	2.86E-03	5.19E-03	2.40E-03	6.67E-07	7.02E-07	5.85E-07	1.13E-06
AC>CT	1.89E-03	2.37E-07	6.15E-03	2.31E-03	1.14E-03	5.56E-03	7.69E-07	3.19E-03
AC>GA	5.01E-03	8.35E-07	4.07E-07	4.08E-03	1.42E-02	1.29E-02	5.98E-03	8.33E-03
AC>GG	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
AC>GT	2.15E-07	2.60E-07	3.79E-03	3.30E-03	2.62E-06	8.46E-07	7.95E-07	1.10E-06
AC>TA	1.46E-03	2.31E-07	6.98E-03	3.74E-03	5.17E-03	1.27E-03	8.75E-03	8.33E-03
AC>TG	1.89E-03	1.99E-07	2.74E-06	2.63E-07	5.00E-07	9.66E-03	9.25E-07	5.11E-03
AC>TT	5.01E-07	5.43E-03	1.74E-03	5.46E-03	1.82E-03	3.88E-03	8.01E-03	8.07E-03
AT>CA	1.70E-07	2.47E-06	3.94E-03	5.52E-07	8.18E-03	5.56E-03	6.42E-07	1.12E-06
AT>CC	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
AT>CG	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
AT>GA	2.11E-03	1.13E-06	8.27E-07	2.04E-03	3.95E-03	5.19E-04	2.82E-03	2.50E-02
AT>GC	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
AT>TA	3.74E-03	7.57E-08	2.98E-03	3.78E-03	4.18E-03	8.52E-04	2.71E-07	8.93E-03
CC>AA	1.99E-02	5.61E-03	1.97E-02	3.18E-02	2.20E-02	1.39E-02	2.61E-02	1.37E-02
CC>AG	6.26E-03	6.54E-03	6.75E-03	9.01E-03	6.92E-03	6.64E-03	2.29E-02	7.10E-03
CC>AT	1.94E-02	9.39E-03	9.29E-03	8.45E-03	2.27E-02	1.31E-02	1.38E-02	2.65E-02
CC>GA	4.36E-03	1.63E-07	1.53E-02	1.12E-02	8.82E-03	1.03E-02	7.72E-03	4.10E-02
CC>GG	2.09E-07	1.30E-07	2.11E-03	3.78E-03	3.39E-03	5.59E-07	6.02E-03	9.50E-07
CC>GT	8.00E-03	1.05E-02	1.04E-02	1.70E-02	4.79E-03	1.14E-02	1.56E-02	5.54E-03
CC>TA	1.17E-02	1.05E-02	9.08E-07	1.21E-06	2.60E-03	4.18E-03	7.13E-03	4.72E-03
CC>TG	3.02E-07	2.59E-03	6.70E-07	6.59E-07	6.01E-07	5.22E-07	8.54E-07	1.17E-06
CC>TT	7.68E-03	1.97E-02	5.51E-03	8.27E-03	1.27E-02	3.37E-02	1.66E-02	1.40E-02
CG>AT	2.48E-07	9.17E-08	5.22E-07	3.50E-07	3.43E-03	3.83E-03	6.75E-07	1.79E-02
