MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
AC>CA	3.226105718567851e-07	2.7788918032456423e-06	0.011744204865840402	0.004750071097714681	2.271843345624802e-06	0.00393815559992845	0.0024900128236822637	0.008933451433131267
AC>CG	9.61095690854563e-07	0.008538238470589477	0.007005138891236129	0.003911798527497012	1.5840353626117576e-06	1.7457843284773844e-06	2.015296402646527e-06	4.187813647149596e-06
AC>CT	0.0030186543197373793	1.2530078493000473e-06	0.010142544974041812	0.00376931461006593	0.0011462363422651833	0.008495134360282463	2.6207198061456437e-06	0.003192104730965184
AC>GA	0.015222097252296863	1.2721739835797052e-06	6.521913746837527e-07	0.004078742845729266	0.016835241625403796	0.03344979919493198	0.0059818625069056	0.008332907729072758
AC>GG	1.22573675298554e-06	1.4524437801810563e-06	3.513203728289227e-06	2.6899170507022065e-06	3.0218539677662195e-06	3.2467417213410953e-06	3.909687256964389e-06	4.89923318127694e-06
AC>GT	6.51435152576596e-07	1.218607974351471e-06	0.00600939278176611	0.00536971863313056	5.783963592875807e-06	3.5033615745305725e-06	3.373911567905452e-06	4.295547660149168e-06
AC>TA	0.002381701690671889	5.561754733207636e-07	0.014778004109484755	0.0037376369396156404	0.008274520790405405	0.0012671753054291912	0.017462395108532293	0.008330822791754145
AC>TG	0.0030196406529853447	9.640104849495402e-07	5.513194628292694e-06	1.6071786149041145e-06	2.572299058556382e-06	0.015747859098939897	3.576250719561358e-06	0.005114546251434149
AC>TT	8.253146802417177e-07	0.026360201835632324	0.0017422928036239683	0.007647510566209803	0.0018175012007077384	0.004151459619095641	0.01581925917416811	0.011459522801851562
AT>CA	5.971289636197419e-07	3.630241121754807e-06	0.005675938215222232	1.4522816110584812e-06	0.0176708267378217	0.0085018313613773	1.7032007917805458e-06	4.160787602813798e-06
AT>CC	1.22573675298554e-06	1.4524437801810563e-06	3.513203728289227e-06	2.6899170507022065e-06	3.0218539677662195e-06	3.2467417213410953e-06	3.909687256964389e-06	4.89923318127694e-06
AT>CG	1.22573675298554e-06	1.4524437801810563e-06	3.513203728289227e-06	2.6899170507022065e-06	3.0218539677662195e-06	3.2467417213410953e-06	3.909687256964389e-06	4.89923318127694e-06
AT>GA	0.004671980924297259	2.071387700652849e-06	1.7608379039302235e-06	0.0020403583328288733	0.006427554162291927	0.00052219910076019	0.0028193079293487243	0.024989590310360653
AT>GC	1.22573675298554e-06	1.4524437801810563e-06	3.513203728289227e-06	2.6899170507022065e-06	3.0218539677662195e-06	3.2467417213410953e-06	3.909687256964389e-06	4.89923318127694e-06
