MutationType	ID83A
1:Del:C:0	0.0006968924775719642
1:Del:C:1	0.102939423173666
1:Del:C:2	0.09836887096365293
1:Del:C:3	0.09105728566646576
1:Del:C:4	0.06274195748070875
1:Del:C:5	0.024106645522018275
1:Del:T:0	0.0001677185270030653
1:Del:T:1	0.0740433064599832
1:Del:T:2	0.08949996009469033
1:Del:T:3	0.09047336454192798
1:Del:T:4	0.07348114500443141
1:Del:T:5	0.07152856811881066
1:Ins:C:0	0.0008124590890171627
1:Ins:C:1	0.003303215086149673
1:Ins:C:2	0.0022357394259112577
1:Ins:C:3	0.0017187411547638475
1:Ins:C:4	0.0028652874015582105
1:Ins:C:5	0.006499700496594111
1:Ins:T:0	0.0024334405665285886
1:Ins:T:1	0.012043733118722836
1:Ins:T:2	0.0036681885986278454
1:Ins:T:3	0.002916977209194253
1:Ins:T:4	0.0009493115455067406
1:Ins:T:5	0.018941626821955045
2:Del:R:0	0.025115276997288067
2:Del:R:1	0.0013294652686454355
2:Del:R:2	8.256315110581151e-05
2:Del:R:3	8.864618008980566e-05
2:Del:R:4	0.000201171194824686
2:Del:R:5	6.533011295080845e-06
3:Del:R:0	0.012165506773938736
3:Del:R:1	0.0008672071649925783
3:Del:R:2	0.0001798825833096392
3:Del:R:3	6.533009582199156e-06
3:Del:R:4	6.533011295080845e-06
3:Del:R:5	6.533009582199156e-06
4:Del:R:0	0.0068858129438012835
4:Del:R:1	0.0001646760812491266
4:Del:R:2	6.533011295080845e-06
4:Del:R:3	6.533009582199156e-06
4:Del:R:4	6.533009582199156e-06
4:Del:R:5	6.533011295080845e-06
5:Del:R:0	0.04079052296777566
5:Del:R:1	6.533011295080845e-06
5:Del:R:2	6.533011295080845e-06
5:Del:R:3	6.533011295080845e-06
5:Del:R:4	6.533009582199156e-06
5:Del:R:5	6.533011295080845e-06
2:Ins:R:0	0.0014845615757318835
2:Ins:R:1	0.002789252724808951
2:Ins:R:2	0.0017461047779458265
2:Ins:R:3	0.00011601796283381798
2:Ins:R:4	0.00026807893512644415
2:Ins:R:5	0.00038060576407588086
3:Ins:R:0	0.0009797218216893574
3:Ins:R:1	0.000794213170108075
3:Ins:R:2	0.0005904493412041726
3:Ins:R:3	6.5330086727044545e-06
3:Ins:R:4	0.00017684109002402693
3:Ins:R:5	0.00030457266790714737
4:Ins:R:0	0.0005661183308499555
4:Ins:R:1	0.001308175096831595
4:Ins:R:2	0.00019508820238722062
4:Ins:R:3	6.533009582199156e-06
4:Ins:R:4	6.533011295080845e-06
4:Ins:R:5	0.00013122474156261886
5:Ins:R:0	0.0012534287913391988
5:Ins:R:1	0.002570277681419005
5:Ins:R:2	6.533009582199156e-06
5:Ins:R:3	6.533009582199156e-06
5:Ins:R:4	8.256379408824918e-05
5:Ins:R:5	7.952194813090804e-05
2:Del:M:1	0.007743493188172579
3:Del:M:1	0.009653435243914524
3:Del:M:2	0.0035252718798195323
4:Del:M:1	0.004379818751476705
4:Del:M:2	0.0014115819125436247
4:Del:M:3	0.00041405378506169653
5:Del:M:1	0.0218368590498964
5:Del:M:2	0.006925347276652853
5:Del:M:3	0.0017096179886721074
5:Del:M:4	0.0007120938011212274
5:Del:M:5	0.00038972335072079054
