MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AC>CA	0.00868115	0.00597680	0.00520801	0.00544212	0.00074573	0.00355478	0.00317702
AC>CG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AC>CT	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AC>GA	0.02684694	0.01828347	0.01239237	0.00925085	0.00681948	0.00383985	0.01398605
AC>GG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AC>GT	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AC>TA	0.00462477	0.01281238	0.02228421	0.00807201	0.01128303	0.01050456	0.02581178
AC>TG	0.00101315	0.00846875	0.00504539	0.00079086	0.00068650	0.00326469	0.00244208
AC>TT	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AT>CA	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AT>CC	0.00435678	0.01202482	0.00507363	0.00235757	0.01010783	0.00144350	0.00006352
AT>CG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AT>GA	0.00495943	0.00358837	0.00771322	0.00323955	0.00282504	0.00715175	0.00217105
AT>GC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
AT>TA	0.01952116	0.00005548	0.00376346	0.00948334	0.00406616	0.00878885	0.01002251
CC>AA	0.00002294	0.00001714	0.00001934	0.01052517	0.00001182	0.46826211	0.00001378
CC>AG	0.00002073	0.24028889	0.00001664	0.00001897	0.02296512	0.05348473	0.03094161
CC>AT	0.01253474	0.03912292	0.08563970	0.01473121	0.00002616	0.00912216	0.01711114
CC>GA	0.01645592	0.02437849	0.02723746	0.00174252	0.02782765	0.00492949	0.03538885
CC>GG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
CC>GT	0.04097830	0.02112948	0.01293015	0.00914036	0.00223635	0.00305794	0.01412941
CC>TA	0.15910614	0.00686262	0.02744289	0.00507364	0.00001785	0.01450408	0.00381502
CC>TG	0.01962332	0.01007467	0.01121296	0.00672815	0.00409532	0.00929713	0.00656622
CC>TT	0.00269559	0.00004602	0.22013969	0.04060284	0.02587759	0.02806707	0.02030386
CG>AT	0.00707828	0.00659554	0.00279320	0.00364023	0.00211473	0.00648029	0.00370986
CG>GC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
CG>GT	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
CG>TA	0.01098649	0.00734734	0.00359079	0.00360884	0.00103167	0.00349221	0.00322582
CG>TC	0.00315812	0.03470824	0.01668956	0.00735370	0.01660927	0.01155197	0.00986118
CG>TT	0.00554333	0.01355345	0.01001676	0.01542538	0.00572815	0.00005575	0.01001070
CT>AA	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
CT>AC	0.00379573	0.00543726	0.00624888	0.00236493	0.00492167	0.00387776	0.00539788
CT>AG	0.03043845	0.02090102	0.00341547	0.01041569	0.00347574	0.00726645	0.01891253
CT>GA	0.01083664	0.00005418	0.01093453	0.00923933	0.00223384	0.00694632	0.01956474
CT>GC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
CT>GG	0.01706807	0.01822339	0.01193356	0.00231385	0.01805161	0.00493345	0.02053634
CT>TA	0.01044122	0.01581391	0.03055278	0.01556585	0.01488989	0.01761150	0.02132904
CT>TC	0.00599552	0.00396036	0.00583121	0.00321738	0.00214091	0.00331266	0.00626107
CT>TG	0.03132636	0.05878896	0.01035898	0.00298642	0.01213427	0.00245051	0.01802849
GC>AA	0.00002071	0.00001414	0.00002187	0.62150886	0.00001230	0.00001695	0.00001905
GC>AG	0.04284438	0.00801190	0.02601900	0.00723493	0.01309251	0.02054742	0.00644598
GC>AT	0.02163145	0.04869580	0.03351603	0.01463781	0.07553231	0.01228689	0.00684537
GC>CA	0.02067566	0.02007056	0.01002214	0.00449176	0.02421867	0.00487264	0.00961313
GC>CG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
GC>TA	0.01278146	0.00403980	0.01407530	0.00337382	0.01533422	0.00529564	0.00319411
TA>AT	0.01152323	0.02501265	0.02687787	0.00503737	0.00835860	0.00378270	0.01876404
TA>CG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TA>CT	0.00945632	0.01658487	0.00923160	0.01386330	0.01302698	0.01451486	0.01132728
TA>GC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TA>GG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TA>GT	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TC>AA	0.00002041	0.00001597	0.00001636	0.00001368	0.01625835	0.00848329	0.37941337
TC>AG	0.07826737	0.03372097	0.02950873	0.00852505	0.07997060	0.01131313	0.02629053
TC>AT	0.00002797	0.00002284	0.00001844	0.00000981	0.38390087	0.07912310	0.00001760
TC>CA	0.02915676	0.01053302	0.03148764	0.00102655	0.00822197	0.01370311	0.01473978
TC>CG	0.00911194	0.02726392	0.00982798	0.01708811	0.01074574	0.00490351	0.00424675
TC>CT	0.05233608	0.01879631	0.05428994	0.01650921	0.01111821	0.00488592	0.01071659
TC>GA	0.04901738	0.05458123	0.03155348	0.01040276	0.01823653	0.01919093	0.04344814
TC>GG	0.00768251	0.00185173	0.01282128	0.00738430	0.00847996	0.01033892	0.01609492
TC>GT	0.04053194	0.00949657	0.01151481	0.00155668	0.02064397	0.01188330	0.01278213
TG>AA	0.03228422	0.01398364	0.02708654	0.01869909	0.00636493	0.01384823	0.01904151
TG>AC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TG>AT	0.02105356	0.03203312	0.03490967	0.00335338	0.02728010	0.01645979	0.03003417
TG>CA	0.00370273	0.00391116	0.00548712	0.00165421	0.00256113	0.00481236	0.00897157
TG>CC	0.00500973	0.00761581	0.00451159	0.00473088	0.00403953	0.00096138	0.00267832
TG>CT	0.01303488	0.03845895	0.02509853	0.00532014	0.01851939	0.00953201	0.02405850
TG>GA	0.01087252	0.00441603	0.01114726	0.00460326	0.00118148	0.00576726	0.00245212
TG>GC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TG>GT	0.02477751	0.00651576	0.00838670	0.00777780	0.01076411	0.00563693	0.00354508
TT>AA	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TT>AC	0.02350799	0.00494844	0.00189752	0.00902922	0.00966182	0.00749895	0.00755307
TT>AG	0.00945207	0.00552163	0.00464071	0.00228662	0.00420122	0.00297217	0.00438396
TT>CA	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TT>CC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TT>CG	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TT>GA	0.00193330	0.00807884	0.00868926	0.00233170	0.00069343	0.00577485	0.00472357
TT>GC	0.00007112	0.00007062	0.00007009	0.00007473	0.00006488	0.00007241	0.00007336
TT>GG	0.00939878	0.00552488	0.00710552	0.00235081	0.00303557	0.00253199	0.00398392
