MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	6.855441606982519e-09	0.0004291514861892646	0.0018367689325415881	0.0038316638463939514	0.00023026224577051834	0.0019691779703862266	0.00424059573492741	0.002940721156695266
1:Del:C:1	0.007933818005489002	0.014090211523504573	0.8061718374490738	0.02281169208869566	5.467952552370055e-07	5.771844382707059e-06	1.0914478063265657e-05	8.075826768087306e-06
1:Del:C:2	0.1284434045654507	0.0683642086778131	0.05099212617205921	0.05647898985863928	6.055672007695041e-07	8.456261908425706e-06	0.042821363159555405	0.036742223001514654
1:Del:C:3	0.17259318104564347	0.03681967082667891	0.00465847474884716	0.027977503541914455	0.01591867012618877	1.7828439685748285e-06	0.014384441763534046	0.0552502793640213
1:Del:C:4	0.1160243364344448	0.013524371063385842	0.0003516537101631911	0.01244591769758993	0.07109312010094679	9.428446931754782e-06	0.03563176085425539	0.008751098251946133
1:Del:C:5	0.022559778923740243	0.0024126124546114624	1.076451796393485e-05	1.631278132663283e-05	0.17075948938727378	7.88335495401545e-06	0.001946948441021353	0.0002691789647163508
1:Del:T:0	6.49273905158528e-08	0.00033466535197158956	0.0003267149334741741	0.0009379167390482242	0.00019984549730101738	0.0011844324306972945	0.00039221382577257676	0.00018088963510152212
1:Del:T:1	0.04192105830532758	0.44190162295398067	0.05271822661995316	0.015892241377620544	0.0007195466271525675	8.32904372221795e-06	0.008170404919578307	1.0260227986691461e-05
1:Del:T:2	0.06360120501591761	0.16667551806873082	0.027930280911338437	0.13347349834026925	0.00014596730469994176	4.636205267161181e-06	0.013300641465578049	3.106835730098586e-05
1:Del:T:3	0.22561507903640934	0.027104480384127782	2.1768304228923323e-05	0.021753249631694872	0.023544714181972872	4.494070606379334e-06	1.098538192062885e-05	8.629407771347057e-06
1:Del:T:4	0.13314821854704254	0.03067466463025994	2.1263408191411295e-05	0.008901173898104157	0.06718655108046126	9.591339518048396e-06	0.017636734314373827	0.010961361163701137
1:Del:T:5	0.0881095926311294	0.010012473100706252	6.112191268433283e-06	0.0019575296149246433	0.3875190049409866	2.673428620407018e-07	0.007516385709773961	1.0972810846017941e-05
1:Ins:C:0	7.955750902511062e-09	0.0016066797315014666	5.678644392996072e-06	0.007925006827045422	1.0767680757695075e-06	0.0024536772120882233	0.005545666888459285	0.002577892349412044
1:Ins:C:1	1.1517938069971479e-08	0.00466987671812391	5.290263265678163e-06	0.021156377050552067	0.0014453189329374301	0.013067536083720672	0.008932502788851101	0.014284030694347648
1:Ins:C:2	7.68521708669628e-09	8.031076416477577e-06	3.605745276284248e-06	0.00860254931468513	0.0014542063262060385	0.007525194965865012	0.012024451734253698	0.017089760352975956
1:Ins:C:3	9.340862957193015e-09	0.006067631665636451	0.0009740866648716206	0.013135057547333417	0.002807046497565461	0.0011738531540383217	0.013443503284148998	0.0063549081711168276
1:Ins:C:4	1.436142082293183e-08	0.0039014450498216988	0.002711425726394623	0.021735676829343832	0.004143299872039089	0.010784576810192448	0.014278075034826542	0.005974234698987857
1:Ins:C:5	6.569265131872726e-09	6.026975796184312e-06	3.2680565387484724e-06	0.012920206996960105	0.044955747584512554	0.004648475232043362	0.05384582448217164	0.009216103885364646
1:Ins:T:0	1.542287411856099e-08	9.226564773712199e-06	0.0014552031439327114	0.015460123938845645	0.0029473428889190247	0.0071483906091240595	0.01099189956560925	0.01377140348505203
1:Ins:T:1	5.185480548656595e-09	0.04205612900430206	0.008838479968600647	0.02853740534338094	0.004533202724414624	0.026137412947029284	0.06400240082313081	0.06107160711722466
