MutationType	DBS1	DBS2	DBS13	DBS19
AC>CA	0.00004970	0.00037408	0.00215512	0.00501909
AC>CG	0.00002640	0.00003170	0.00005150	0.00061483
AC>CT	0.00429109	0.00012603	0.00285340	0.01625202
AC>GA	0.00012703	0.00023705	0.00276230	0.00336921
AC>GG	0.00005710	0.00000000	0.00146431	0.00077943
AC>GT	0.00296075	0.00028006	0.00443944	0.01190477
AC>TA	0.00120031	0.00148031	0.00257991	0.00623322
AC>TG	0.00017204	0.00000636	0.00428449	0.00101695
AC>TT	0.02650674	0.00292062	0.01573974	0.06681847
AT>CA	0.00048212	0.00003780	0.00420812	0.00432227
AT>CC	0.00029708	0.00000000	0.00100803	0.00204798
AT>CG	0.00000398	0.00000000	0.00000233	0.00029790
AT>GA	0.00212054	0.00016804	0.00213368	0.01019143
AT>GC	0.00017404	0.00000585	0.00030030	0.00233955
AT>TA	0.00234060	0.00045810	0.01051729	0.01228166
CC>AA	0.00001060	0.72415324	0.00000051	0.02058981
CC>AG	0.00001230	0.07261537	0.01167958	0.00628912
CC>AT	0.01870475	0.10002116	0.04328139	0.08444124
CC>GA	0.00013403	0.01770375	0.00001040	0.00385878
CC>GG	0.00009820	0.00045010	0.00076944	0.00106943
CC>GT	0.00692176	0.00110023	0.02345453	0.01206748
CC>TA	0.01040264	0.01600339	0.04135706	0.03627715
CC>TG	0.00255065	0.00023705	0.00954473	0.00560341
CC>TT	0.85821813	0.00000000	0.00009970	0.07785601
CG>AT	0.00000060	0.00115024	0.00041279	0.00025401
CG>GC	0.00000542	0.00036908	0.00117069	0.00004540
CG>GT	0.00000170	0.00128027	0.00236357	0.00009180
CG>TA	0.00035609	0.00000000	0.00065557	0.00189504
CG>TC	0.00001260	0.00215045	0.00221426	0.00029690
CG>TT	0.00012403	0.00556118	0.00164313	0.00162672
CT>AA	0.00002770	0.00321068	0.06168987	0.01014864
CT>AC	0.00041911	0.00000000	0.02589689	0.00667946
CT>AG	0.00000000	0.00058712	0.01328834	0.00264642
CT>GA	0.00008920	0.00001810	0.00109409	0.00317645
CT>GC	0.00025206	0.00013403	0.00388039	0.00336438
CT>GG	0.00001080	0.00008980	0.00264999	0.00100974
CT>TA	0.00781198	0.00338071	0.03108580	0.07139611
CT>TC	0.01050267	0.00003840	0.00851099	0.04576679
CT>TG	0.00224057	0.00039008	0.00391349	0.01352827
GC>AA	0.00158040	0.00508108	0.00000003	0.01319082
GC>AG	0.00010703	0.00032507	0.01696915	0.00396411
GC>AT	0.00004870	0.00095320	0.01737239	0.00392525
GC>CA	0.00005760	0.00106022	0.01039921	0.00104302
GC>CG	0.00000515	0.00006690	0.00086487	0.00018421
GC>TA	0.00000083	0.00073616	0.00003390	0.00091551
TA>AT	0.00050513	0.00275058	0.00624589	0.00984956
TA>CG	0.00000755	0.00001890	0.00024471	0.00058524
TA>CT	0.00070218	0.00028006	0.01638484	0.00932465
TA>GC	0.00002010	0.00008220	0.00012677	0.00025387
TA>GG	0.00007030	0.00007890	0.00059345	0.00114915
TA>GT	0.00115029	0.00130028	0.00614737	0.00771774
TC>AA	0.00001090	0.00145031	0.06810894	0.01303892
TC>AG	0.00000309	0.00020004	0.06721666	0.00281933
TC>AT	0.00246063	0.00000000	0.15791239	0.08989049
TC>CA	0.00000442	0.00068214	0.03750799	0.00452828
TC>CG	0.00003300	0.00000389	0.00722690	0.00063517
TC>CT	0.00190048	0.00335071	0.03250165	0.01819522
TC>GA	0.00006420	0.00088519	0.01158433	0.00320404
TC>GG	0.00041110	0.00000987	0.01538438	0.00120030
TC>GT	0.00510130	0.00008570	0.03331173	0.02589739
TG>AA	0.00137035	0.00296063	0.01924088	0.00919602
TG>AC	0.00023706	0.00022005	0.00442355	0.00192367
TG>AT	0.00241061	0.00429091	0.01851971	0.01560671
TG>CA	0.00027907	0.00014403	0.02863780	0.00701356
TG>CC	0.00010303	0.00005940	0.00520651	0.00187295
TG>CT	0.00185047	0.00307065	0.01650479	0.01681309
TG>GA	0.00040710	0.00147031	0.00610512	0.00328371
TG>GC	0.00008890	0.00027206	0.00219436	0.00136497
TG>GT	0.00190048	0.00640136	0.01916183	0.00955730
TT>AA	0.00549140	0.00431091	0.01318549	0.05289704
TT>AC	0.00072018	0.00034507	0.00147249	0.00962546
TT>AG	0.00041811	0.00021505	0.00579217	0.00941347
TT>CA	0.00072518	0.00000000	0.00380848	0.02206237
TT>CC	0.00542138	0.00000298	0.00000105	0.03399029
TT>CG	0.00008380	0.00001520	0.00085676	0.00370662
TT>GA	0.00186047	0.00004790	0.00282684	0.01643581
TT>GC	0.00106027	0.00000154	0.00075511	0.00966584
TT>GG	0.00161041	0.00000000	0.00000232	0.01059150
